CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,130,2340.9,2923.35,130,23000,65,9.6,10.25,260,-14.45,9.55,18.86,1010,348,352
-,-,-,-,-,-,130,2249.7,3415.2,130,23100,325,10,11.9,260,-27.15,11.45,18.77,23,16,16
-,-,-,-,-,-,130,2062,2744.7,130,23200,130,10,13,65,-31.9,11.1,18.06,2,2,2
-,-,-,-,-,-,130,2173.35,3215.3,130,23300,130,10.3,26.4,130,-,-,-,-,-,-
-,-,-,-,-,-,130,1975.5,2524.6,130,23400,65,11.55,15.95,260,-41.65,11.3,16.87,2,2,2
-,-,-,-,-,-,130,1983.7,2378.05,130,23500,390,13.55,15.15,195,-43.05,15.55,17.14,161,74,74
-,-,-,-,-,-,130,1666.25,2915.6,130,23600,130,11.55,30,65,-,-,-,-,-,-
-,-,-,-,-,-,130,1583.45,2816.1,130,23700,130,12.5,25,65,-,-,-,-,-,-
-,-,-,-,-,-,130,1474.9,2716.95,130,23800,130,10.55,27.45,325,-,-,-,-,-,-
-,-,-,-,-,-,130,1521.3,2376,1755,23900,130,16,33.65,325,-,-,-,-,-,-
26,-,-,-,1850,-2.4,130,1555.95,1882.05,130,24000,9750,23.65,26.05,65,-26,24,15.12,878,398,400
-,-,-,-,-,-,130,1386.1,1971.95,130,24100,130,21.05,80,390,-,-,-,-,-,-
-,-,-,-,-,-,130,1243.3,2298.7,130,24200,130,32,79,390,-,-,-,-,-,-
-,-,-,-,-,-,130,1152.4,1756.3,130,24300,65,35,80.95,390,-,124,-,-,-,1
-,-,-,-,-,-,130,1060.9,1651.15,130,24400,130,27.05,79.5,260,-,-,-,-,-,-
-,-,-,-,-,-,130,1032.45,2031.55,130,24450,130,5.65,114.05,130,-,-,-,-,-,-
-,-,-,-,-,-,130,1044.2,1431.3,130,24500,260,36.25,53.05,65,-100.15,47,13.68,586,240,240
-,-,-,-,-,-,130,924.4,1493.9,130,24550,130,15.15,126.8,130,-,-,-,-,-,-
-,-,-,-,-,-,1755,904.8,1359.6,1755,24600,260,46.65,61.55,260,-28.3,63.35,14.04,241,55,60
-,-,-,-,-,-,195,857.05,1342.6,130,24650,260,43.8,67.6,260,-102.35,67.6,13.9,17,5,5
-,-,-,-,-,-,1755,818.3,1525.1,130,24700,130,35.05,342.6,130,-,-,-,-,-,-
-,-,-,-,-,-,130,636.2,1565.5,130,24750,130,26.65,362.3,130,-,-,-,-,-,-
-,-,-,-,-,-,195,961.45,1415.9,130,24800,130,38.15,382.85,130,-,-,-,-,-,-
-,-,-,-,-,-,130,579.5,1406.55,130,24850,130,37.65,318.65,130,-,-,-,-,-,-
-,-,-,-,-,-,195,869.1,1157.55,65,24900,130,39.65,238.95,130,-,-,-,-,-,-
-,-,-,-,-,-,130,523.9,1100,130,24950,130,45.65,163.6,130,-,-,-,-,-,-
30,16,25,10.05,861,-74.75,260,834.05,931.9,260,25000,260,100.7,115.95,130,2.9,111,13.05,2989,1064,1175
-,-,-,-,-,-,130,472.5,1381.8,130,25050,130,53.9,497,130,-,-,-,-,-,-
6,6,6,11.38,804.65,-1982.85,325,724.65,826.95,260,25100,130,60.45,160.5,520,-,-,-,-,-,-
-,-,-,-,-,-,130,424.3,1135.7,130,25150,130,67.65,271.7,130,-,-,-,-,-,-
33,33,34,14.92,814.75,-1892.65,65,640.3,795.95,65,25200,130,75.3,179.6,520,-,-,-,-,-,-
-,-,-,-,-,-,130,379.3,985.05,130,25250,130,83.35,302.45,130,-,-,-,-,-,-
8,8,8,13.74,715.4,-1912.95,65,557.7,688,260,25300,130,92.15,200.2,520,-,-,-,-,-,-
-,-,-,-,-,-,130,337.25,745.3,130,25350,260,154.65,194.8,260,-183.85,196.85,12.82,162,55,55
6,6,8,11.4,585.75,-1964.65,260,502.3,589.4,260,25400,130,111.2,242.25,130,-,-,-,-,-,-
