CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1550,172.3,182.15,1550,740,775,0.35,1.15,775,-,1.25,-,-,-,3
1,-,-,-,160,-,1550,152.55,164,3100,760,5425,0.35,3.9,775,-,-,-,-,-,-
-,-,-,-,-,-,1550,133.55,142.7,1550,780,6975,0.35,1.8,775,-,-,-,-,-,-
-,-,-,-,-,-,3875,123.15,134.35,3100,790,8525,0.4,4.35,775,-,-,-,-,-,-
-,-,-,-,-,-,3100,114.9,122.7,3100,800,775,1.45,1.75,775,-0.9,1.6,29.58,66,7,27
-,-,-,-,-,-,3875,105.05,112.8,3100,810,775,2,2.05,775,-2.65,2,28.84,37,26,31
1,-,-,-,104,-,3875,95.65,103.5,3100,820,775,2.1,2.95,775,-0.45,2.55,28.24,3,1,5
1,-,-,-,90.5,-,3875,86.15,94.3,3100,830,775,2.85,3.25,775,-0.65,3.1,27.32,15,-1,10
-,-,-,-,-,-,3100,76.6,86,3100,840,775,3.7,4.05,775,-1.35,3.95,26.74,23,19,21
5,1,11,-,71.6,1.05,775,71.5,73.25,775,850,775,4.95,5.1,775,-1.1,5.1,26.33,64,-11,88
5,5,7,25.04,68.45,27.5,775,62.15,64.15,775,860,775,6.15,6.55,775,-1.2,6.8,26.31,47,12,52
15,15,16,24.34,60,8.95,775,54.45,56.1,775,870,775,8.1,8.4,775,-1.3,8.75,26.09,65,15,115
2,-,-,-,56.5,-,1550,43.5,51.3,2325,880,775,10.35,11.3,775,-2.05,10.5,25.17,92,34,75
-,-,-,-,-,-,5425,36.55,43.3,2325,890,775,13.15,13.6,775,-2.25,13.6,25.32,144,49,52
236,3,196,19.24,33.95,-0.4,775,34.3,34.85,775,900,775,16.7,17.05,775,-2.1,17.35,25.55,283,-1,320
57,16,71,19.33,27.85,-0.7,775,28.5,29,1550,910,1550,20.9,21.3,775,-2.65,21.6,25.71,130,45,87
184,69,433,20.02,23.15,-0.8,775,23.5,23.85,1550,920,1550,25.7,26.15,775,-3.45,26.1,25.57,189,85,123
25,11,39,20.35,18.8,-1.1,775,18.85,19.4,1550,930,1550,30.15,31.7,775,-4.3,31.6,25.84,21,2,25
300,118,294,20.45,14.9,-0.95,775,15,15.3,775,940,775,36.75,37.6,775,-5.15,37.4,25.87,35,7,38
263,-7,263,20.75,11.85,-1.15,775,11.85,12.55,775,950,775,43.7,44.4,775,-3.45,44.45,26.61,18,1,21
319,106,375,20.67,9,-1.3,775,9.15,9.55,775,960,775,49.7,51.7,775,-1.3,51.75,27.17,18,4,15
23,-,49,21.02,7.05,-3.95,775,7.15,7.45,775,970,775,56.55,63.3,5425,-,-,-,-,-,-
39,18,42,21.3,5.45,-0.95,775,5.5,5.8,775,980,1550,63.35,71.35,3100,-,-,-,-,-,-
29,8,11,21.6,4.2,-3.1,775,4.3,4.45,775,990,1550,71.8,80.35,1550,-58,79.7,33.56,1,1,1
146,34,181,22.04,3.3,-0.95,775,3.35,3.45,1550,1000,775,84.45,86.15,775,-0.4,81.6,25.5,6,1,3
2,-,-,-,3,-,775,1.3,4.15,775,1010,1550,89.35,100.95,3100,-,-,-,-,-,-
73,40,67,22.28,1.8,-0.95,775,1.85,2.15,1550,1020,3100,99.05,107.65,3100,-,-,-,-,-,-
-,-,-,-,-,-,6200,0.35,5.3,775,1030,3100,108.5,119.05,3100,-,-,-,-,-,-
2,-,-,-,2.8,-,3875,0.6,2.65,775,1040,1550,117.6,127.95,3100,-,-,-,-,-,-
14,-,2,27.45,1.45,-,1550,0.55,1.4,775,1060,1550,138.35,146.5,3100,-,-,-,-,-,-
-,-,-,-,-,-,8525,0.15,2.1,775,1080,1550,157.1,166.9,3875,-,-,-,-,-,-
