CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,12600,32.95,34.8,6300,140,18900,0.05,0.2,3150,-,-,-,-,-,-
-,-,-,-,-,-,12600,27.9,29.85,6300,145,25200,0.05,0.3,3150,-,-,-,-,-,-
8,-,-,-,22.15,-,44100,23.05,24.95,6300,150,9450,0.2,0.3,40950,-0.05,0.25,30.01,31,19,69
-,-,-,-,-,-,6300,20.75,23.25,12600,152.5,63000,0.15,1.35,12600,-,-,-,-,-,-
45,21,32,-,19.35,0.65,3150,19.2,19.35,6300,155,6300,0.4,0.45,15750,-0.2,0.4,27.26,59,32,166
39,6,17,-,17,1.7,3150,16.85,17,3150,157.5,3150,0.5,0.6,3150,-2.55,0.65,27.58,12,6,6
142,10,21,14.53,14.65,1.6,3150,14.6,14.8,3150,160,3150,0.75,0.85,18900,-0.3,0.8,25.98,138,30,323
36,10,19,18.33,12.5,1.55,3150,12.45,12.6,3150,162.5,6300,1.05,1.15,9450,-0.35,1.1,25.25,25,4,53
90,22,44,17.66,10.25,1.2,3150,10.4,10.55,3150,165,12600,1.5,1.55,6300,-0.5,1.55,24.88,261,38,353
162,10,49,19.58,8.5,1.2,3150,8.5,9,3150,167.5,6300,2.05,2.15,9450,-0.7,2.1,24.29,116,17,162
464,29,303,19.99,6.8,0.95,12600,6.8,6.9,9450,170,28350,2.85,2.9,3150,-0.8,2.9,24.23,452,5,805
285,49,310,20.19,5.3,0.75,6300,5.3,5.4,9450,172.5,6300,3.85,3.95,6300,-0.9,3.95,24.48,249,57,289
890,136,960,20.69,4.1,0.6,3150,4.05,4.15,15750,175,3150,5.05,5.15,9450,-1.2,5.05,24,341,55,794
299,24,227,20.79,3.05,0.45,3150,3.05,3.1,9450,177.5,6300,6.5,6.6,3150,-1.2,6.6,24.77,40,-6,212
1160,55,621,21.08,2.25,0.35,22050,2.2,2.3,22050,180,6300,8.15,8.3,3150,-1.45,8.25,25.16,43,-2,657
199,78,174,21.48,1.65,0.3,18900,1.6,1.7,12600,182.5,3150,10,10.15,3150,-1.45,10.2,26.36,19,2,96
612,94,572,21.54,1.15,0.1,44100,1.15,1.25,154350,185,3150,12.05,12.5,6300,-1.5,12.2,27.19,34,-4,373
108,3,57,22.6,0.9,0.15,15750,0.85,0.9,3150,187.5,3150,14.2,14.4,3150,-1.75,14.4,28.71,15,2,83
553,79,433,23.52,0.7,0.1,15750,0.65,0.7,28350,190,3150,16.45,16.65,3150,-1.7,16.7,30.53,35,21,212
6,2,2,24.43,0.55,0.05,6300,0.45,0.6,3150,192.5,3150,18.75,19,3150,-0.4,18.85,30.85,2,1,21
273,14,155,25.51,0.45,0.1,22050,0.35,0.45,47250,195,3150,21.1,21.35,3150,-1.8,21.35,33.71,26,-2,269
-,-,-,-,-,-,154350,0.15,1.45,3150,197.5,12600,22.65,25.1,3150,-,24.25,-,-,-,1
1647,576,901,27.42,0.3,0.05,75600,0.25,0.3,352800,200,3150,26,26.25,3150,-1.7,25.85,34.23,9,2,607
112,-,4,29.08,0.2,0.05,6300,0.15,0.2,28350,205,6300,30.2,31.85,47250,-,32.1,-,-,-,660
131,-226,404,29.26,0.1,-0.05,122850,0.1,0.15,129150,210,6300,35.2,36.65,12600,-,37.2,-,-,-,140
