CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
3,-,-,-,272.8,-,1500,238.4,260.6,1500,1680,3750,1.5,4.5,375,-,5.5,-,-,-,3
-,-,-,-,-,-,1500,200.8,222.3,1500,1720,375,5.8,6.85,375,-1.1,6.2,29.32,68,18,96
39,6,6,30.22,187,-9,375,166.15,174.4,375,1760,375,9.5,10.75,375,-0.6,9.7,28.31,69,18,120
-,-,-,-,-,-,1500,144.55,173.35,375,1780,-,-,20.65,375,-,-,-,-,-,-
25,-4,13,25.53,147.8,-13.05,375,137.5,139.75,375,1800,375,15.2,16.05,375,0.2,15.4,27.66,132,6,181
-,-,-,-,-,-,750,113.35,129.55,1125,1820,375,19.35,26.55,750,-1.55,17.5,26.31,9,4,11
2,2,3,22.8,112.1,13.15,375,103.4,108.85,375,1840,375,24.05,25.5,375,0.4,24,27.21,4,2,13
7,-,-,-,116.7,-,375,87.5,99.55,375,1860,375,29.9,32.95,750,0.65,29.65,27.07,76,25,84
-,-,-,-,-,-,5250,66.3,89.75,375,1880,375,26.8,48.1,375,-165.65,37.4,27.5,3,3,3
66,10,53,22.25,70.2,-14.85,375,68.4,70.4,750,1900,375,44.55,46.1,375,3.55,45.9,27.78,371,37,364
16,5,15,22.61,59.7,-15.3,375,57.7,59.4,375,1920,375,53.85,55.9,750,4.9,54.1,27.46,51,16,53
108,45,157,22.61,49.65,-15.3,375,49,49.6,375,1940,375,64.45,66.25,375,3.6,63.35,27.17,148,-,179
283,60,211,23.37,42.5,-12.45,375,40.2,41.7,375,1960,375,75.85,80.3,1125,3.15,74,27.06,19,3,97
65,12,57,23.01,34,-11.6,375,33.4,34.7,375,1980,375,88.5,92.1,750,5.95,87,27.56,29,9,42
395,-17,547,23.22,27.85,-12.4,375,27.65,34.2,375,2000,375,102.45,106.25,375,8.55,105.15,30.05,66,38,125
38,21,48,23.9,23.55,-9.95,375,22.6,23.65,375,2020,375,117.2,121.65,750,4.65,114.55,28.08,13,5,20
27,-2,23,23.81,18.6,-10.05,375,18.45,19.25,375,2040,1125,126.05,142.65,750,-,-,-,-,-,-
-,-,-,-,-,-,-,-,23.8,750,2060,1500,131.45,168,375,-,143.3,-,-,-,25
-,-,-,-,-,-,750,8,18.65,375,2080,375,152.85,179.1,375,-,160.4,-,-,-,25
287,3,249,25.56,11,-6,375,10.5,10.8,375,2100,750,171.5,194.85,750,2,174,-,-,-,41
93,28,71,26.28,9.45,-4.8,375,8.3,9.4,375,2120,1500,190.05,210.5,1875,-,-,-,-,-,-
-,-,-,-,-,-,375,4.5,17,375,2140,1500,207.65,237.7,1500,-,-,-,-,-,-
-,-,-,-,-,-,375,5.3,9.95,375,2160,1500,225.5,251.6,1875,-,-,-,-,-,-
8,8,9,28.1,5.9,-123.6,375,4.75,6.6,375,2180,1500,245.35,267.25,1500,-,225,-,-,-,1
534,121,379,28.59,5,-3.55,375,4.7,5.3,375,2200,1500,264.05,286.9,1500,-,255.8,-,-,-,18
-,-,-,-,-,-,375,2.45,7.85,11250,2220,1500,283.8,306.7,1500,-,-,-,-,-,-
215,21,194,30.02,3.9,-2.5,375,3.45,3.95,375,2240,750,302.3,325.65,1500,-,-,-,-,-,-
6,-,6,30.43,2.6,-0.75,375,1.2,3.05,375,2280,750,342.7,365.05,1500,0.5,338,-,-,-,3
60,41,61,31.59,2,-0.65,375,1.8,2.75,375,2320,750,381.5,403.4,1500,-,364,-,-,-,35
