CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,27900,12.15,12.95,27900,74,125550,0.05,0.15,69750,-,-,-,-,-,-
16,-,-,-,11.2,-,27900,10.3,11.05,27900,76,76725,0.15,0.25,174375,-0.05,0.2,30.23,29,24,41
1,-,-,-,9.9,-,6975,8.45,9.2,27900,78,6975,0.25,0.35,6975,-0.1,0.25,27.02,2,-,5
-,-,-,-,-,-,62775,7.3,8.4,97650,79,48825,0.2,0.6,34875,-1.05,0.4,28.02,2,2,2
1,1,1,21,7.25,-3.2,13950,6.75,7.35,27900,80,55800,0.45,0.5,13950,-0.05,0.5,27.25,136,26,149
9,8,9,-,5.95,-1.85,6975,6,6.15,6975,81,13950,0.55,0.6,13950,-0.1,0.6,26.12,36,27,42
3,2,5,13.14,5.15,-3.55,6975,5.2,5.3,6975,82,13950,0.7,0.75,6975,-0.05,0.8,26.07,33,22,43
9,9,9,25.14,5.05,-5.35,6975,4.4,4.55,6975,83,6975,0.95,1,6975,-0.1,0.95,24.82,44,30,33
5,5,11,22.24,4.1,-4.15,6975,3.7,3.85,6975,84,13950,1.2,1.25,6975,-0.1,1.3,25.47,43,25,65
57,35,135,18.57,3.1,-0.5,13950,3.1,3.15,13950,85,20925,1.55,1.6,20925,-0.05,1.65,25.42,153,-5,292
82,73,162,18.74,2.5,-0.5,20925,2.5,2.55,6975,86,20925,1.95,2.05,20925,-0.05,2.05,25.29,177,34,107
162,86,262,19.08,2,-0.5,20925,2,2.05,13950,87,13950,2.45,2.5,6975,-,2.6,26.05,170,58,118
158,20,293,19.12,1.55,-0.5,34875,1.55,1.6,6975,88,20925,3,3.05,13950,-,3.15,26.21,168,10,130
93,24,90,19.39,1.2,-0.4,27900,1.2,1.25,13950,89,6975,3.65,3.7,6975,-,3.7,25.8,25,12,55
853,206,867,19.45,0.9,-0.4,132525,0.9,0.95,20925,90,6975,4.35,4.4,13950,0.1,4.45,26.88,95,-6,485
78,25,79,20,0.7,-0.3,13950,0.7,0.75,13950,91,13950,5.1,5.2,6975,0.1,5.25,28.08,13,10,19
332,240,344,20.63,0.55,-0.25,41850,0.5,0.6,34875,92,6975,5.9,6.05,6975,0.2,6.1,29.49,15,2,62
444,207,352,20.7,0.4,-0.25,6975,0.4,0.45,48825,93,13950,6.6,6.9,6975,0.05,6.75,28.08,9,-,218
73,40,59,22.01,0.35,-0.2,209250,0.3,0.4,27900,94,6975,7.6,7.85,6975,1.4,7.75,30.75,7,1,2
1018,252,798,23.09,0.3,-0.15,1311300,0.3,0.35,585900,95,6975,8.6,8.75,6975,1.05,8.9,35.36,20,12,86
113,100,139,22.65,0.2,-0.3,369675,0.2,0.25,13950,96,6975,9.25,10,27900,-4.1,9.25,27.85,1,1,1
82,16,50,24.46,0.2,-0.1,34875,0.2,0.25,76725,97,13950,10.5,10.65,6975,0.85,10.55,35.24,8,1,6
273,10,73,26.21,0.2,-0.05,146475,0.15,0.2,62775,98,27900,11.15,12,34875,-,9.4,-,-,-,30
86,77,85,26.29,0.15,-0.05,27900,0.15,0.2,69750,99,27900,12.15,12.95,6975,-,-,-,-,-,-
422,114,214,27.9,0.15,-0.05,3257325,0.1,0.15,132525,100,27900,13.1,13.9,27900,-,12.55,-,-,-,15
10,-,-,-,0.25,-,13950,0.1,0.2,111600,101,27900,14,15,27900,-,-,-,-,-,-
27,-,9,28.8,0.1,-0.6,1381050,0.05,0.15,139500,102,13950,15,15.95,97650,-,-,-,-,-,-
46,-,3,31.65,0.1,-0.05,781200,0.05,0.1,348750,104,27900,17,17.85,34875,-,15,-,-,-,17
