CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1000,203.05,214.65,2000,1040,1000,1.4,1.6,1500,0.1,1.4,34.54,63,9,14
-,-,-,-,-,-,2000,183.4,197.15,1000,1060,500,0.5,3.15,5000,-,-,-,-,-,-
-,-,-,-,-,-,1000,164.7,177.8,2000,1080,15000,0.75,3.9,500,-0.4,5.6,38.73,1,1,1
1,-,-,-,164,-,1000,146.05,157.6,2000,1100,1500,3.15,3.3,1500,0.7,3.3,30.84,485,229,242
-,-,-,-,-,-,1000,127.35,138.75,2000,1120,500,4.2,4.45,1000,-34.75,4.45,29.7,48,29,29
1,-,-,-,145,-,1000,109.15,119.55,1500,1140,500,5.9,6.05,500,0.65,5.95,28.51,462,120,295
3,2,11,14.31,98.25,-17.75,500,92.9,99.45,500,1160,500,8.05,8.45,500,1.55,8.75,28.26,241,49,116
9,8,15,25.6,87.95,-14.05,500,75.4,81.4,500,1180,500,11.35,11.85,500,1.6,11.95,27.46,434,81,154
31,10,76,18.09,64.75,-5.9,500,64.45,66.3,500,1200,500,16.3,16.8,500,2.4,17,27.4,889,66,186
27,18,94,19.19,51.05,-2.75,500,51.8,52.85,500,1220,500,22.45,23,500,1.45,22.65,26.76,874,48,89
88,51,908,20.47,40.05,-2.95,500,40.1,40.8,500,1240,500,30.45,31.15,500,1.9,30.7,26.82,1996,83,124
306,124,2073,21.02,30.3,-2.65,1000,30.05,30.85,500,1260,500,40.6,41.55,500,2.75,40.85,27.23,876,-15,94
364,176,2628,21.26,22.1,-2.35,500,22,22.95,500,1280,500,50.75,53.6,500,4.4,54.15,28.74,226,13,87
437,186,2795,21.88,16.25,-1.35,500,16,16.55,500,1300,500,65.7,67.15,500,7.75,67.9,29.64,55,15,51
188,78,1123,22.2,11.5,-1.15,500,11.45,11.85,500,1320,1000,77.65,88.5,2500,-,-,-,-,-,-
163,29,412,22.62,8.1,-0.3,500,7.9,8.35,500,1340,1000,95.7,98.6,500,-5.05,99.9,32.5,10,8,8
143,55,456,22.98,5.6,-0.35,500,5.7,5.85,500,1360,1500,112.7,121.15,3500,-,91.6,-,-,-,4
69,41,258,23.83,4.15,-0.4,500,4,4.2,500,1380,2000,128.15,139.95,2500,-,-,-,-,-,-
188,47,547,24.49,3,-0.35,1000,2.9,3.05,1000,1400,1000,146.65,157.95,1000,-60.15,152.15,36.29,2,2,2
64,49,143,25.5,1.5,-1.45,500,1.5,1.75,1000,1440,1000,185.4,197.85,1000,-,-,-,-,-,-
