CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,-,-,-,580,-,550,443.75,463.8,1100,1500,550,1.25,1.65,1100,-,2.85,-,-,-,5
1,-,-,-,490,-,1100,347.25,365.85,1100,1600,275,1.4,3.4,275,-6.3,2.2,36.75,8,8,8
26,17,39,-,260.8,-36.95,275,260.35,263.4,275,1700,275,6.55,6.75,550,1.15,6.6,34.53,375,101,159
5,5,15,26.11,216.5,-183.2,275,214.85,218.75,275,1750,550,10.65,11.15,275,1.85,10.5,33.04,112,52,80
37,5,27,27.65,173.9,-35.75,275,172.75,175.3,275,1800,275,17.45,18.4,275,4.45,18.25,32.82,446,98,347
-,-,-,-,-,-,1925,124.4,142.15,825,1850,275,27.8,28.85,275,6.9,28.65,32,281,81,231
224,47,161,28.23,100.6,-25.7,275,100.3,103.3,1650,1900,550,43.4,44.55,275,10.5,44.65,31.85,720,82,717
264,157,658,28.33,72.15,-21.6,275,72.45,73.6,275,1950,275,65.1,66.15,275,14.4,66.25,31.89,1042,100,381
1020,392,1775,28.78,50.5,-18.25,550,50.55,51.45,275,2000,825,93,94.75,550,16.55,93.1,31.89,763,71,1115
427,175,681,29.19,34.25,-14.6,275,34.05,34.7,275,2050,275,124.95,127,275,21.15,126.6,32.63,122,8,207
1202,131,1087,29.82,23,-10.75,275,22.4,23.3,550,2100,825,162.55,165.85,275,23.25,164.55,33.56,77,6,287
340,108,734,30.13,14.75,-8.15,275,14.55,15.4,275,2150,275,203.05,207.2,275,28.55,206.45,34.96,20,2,256
1101,193,1115,30.86,9.7,-6.05,275,9.7,10,2200,2200,275,249.3,252.05,275,32.6,252.6,37.86,28,14,253
41,41,75,31.88,6.6,-102.5,275,6.4,7.35,275,2250,550,292.9,306.8,1925,-,256.55,-,-,-,3
66,65,139,32.99,4.6,-2.4,275,4.5,4.85,275,2300,275,342.9,346.05,275,35.05,345.75,42.1,31,6,128
84,-46,295,34.28,3.35,-1.6,275,3.35,3.6,275,2350,1100,385.15,403,1100,-,354.8,-,-,-,9
400,155,377,35.61,2.5,-1.05,550,2.45,2.65,9625,2400,825,436.75,452.85,1100,-,411,-,-,-,65
192,-26,97,37.95,1.4,-0.9,1375,1.4,2.2,275,2500,275,536.9,543.65,275,35.2,540.2,52.7,2,1,130
