CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1000,493.25,520.65,500,2280,250,0.65,2.9,250,-,1.75,-,-,-,39
-,-,-,-,-,-,1250,453.85,481.9,500,2320,250,0.35,3.5,250,-,-,-,-,-,-
-,-,-,-,-,-,1000,415.35,442.25,500,2360,10000,0.4,3.95,250,-,-,-,-,-,-
-,-,-,-,-,-,1250,373.75,398.2,1250,2400,250,1.2,2.95,250,-1,2,26.9,1,-1,-
-,-,-,-,-,-,1250,335.55,363.35,500,2440,250,0.5,4.5,250,-,-,-,-,-,-
-,-,-,-,-,-,1250,316.55,343.95,500,2460,7500,0.6,4.95,250,-,-,-,-,-,-
-,-,-,-,-,-,1000,295.3,325.7,500,2480,7500,0.8,6.95,250,-,-,-,-,-,-
-,-,-,-,-,-,1250,279.15,305.1,500,2500,250,3.65,4.3,250,-0.4,3.9,23.57,94,34,91
-,-,-,-,-,-,1000,258.5,294.35,500,2520,250,3.2,8.9,2500,-,6,-,-,-,42
-,-,-,-,-,-,1000,238.2,267.2,500,2540,250,2.3,10.5,2500,-1.5,5,22.07,3,1,6
-,-,-,-,-,-,1000,220.45,247.75,1000,2560,1250,4.15,9.35,2500,-30.6,6.7,22.18,7,4,4
-,-,-,-,-,-,1000,199.7,229.9,1000,2580,250,2.1,10.9,2500,-37.65,7.5,21.33,4,-,-
12,-,-,-,230,-,1250,185.8,211.5,500,2600,2500,9.5,10.15,250,-1,10,21.51,154,19,292
-,-,-,-,-,-,1250,163.85,194.5,1000,2620,250,8.9,16.65,2500,-,-,-,-,-,-
-,-,-,-,-,-,500,148.15,179.85,500,2640,250,11.95,15.95,250,-2.95,15.05,21.01,16,12,14
1,1,1,22.89,164.55,-19.35,500,133.65,161.55,500,2660,250,15.45,21.9,2500,0.8,18.3,20.75,31,8,13
-,-,-,-,-,-,500,115.35,142.1,750,2680,250,19.15,31.35,2500,0.6,25.8,-,-,-,11
47,17,31,13.08,111.1,-21.15,250,111,114.9,250,2700,250,23.3,27.75,250,0.15,26.95,20.38,289,30,289
1,-,-,-,130,-,500,82.95,106.9,750,2720,250,17.9,33.35,250,-0.4,33.6,20.63,1,-,4
10,-,1,21.04,103.7,-11.95,500,73.4,95.55,250,2740,250,35.9,41.55,250,-3.2,34.8,18.75,82,-1,187
1,-,-,-,113.05,-,500,61.9,83,750,2760,250,41.55,50.5,250,3.65,46.2,20,101,8,20
32,32,94,15.63,63.05,-55.6,250,57.2,63.3,250,2780,5250,47.45,56.25,250,1.5,56.2,20.44,129,19,31
353,80,900,15.24,51.25,-15.05,250,51.2,54,500,2800,500,59.2,66.65,250,2.1,66.6,20.69,405,53,301
129,21,189,15.52,42.9,-13.6,250,42.05,54.05,750,2820,250,72.9,78.85,500,6.15,78.05,20.98,133,26,82
102,-2,118,15.67,35.3,-14.65,250,35.25,40,250,2840,250,82.9,101.05,1750,-6.75,81.6,18.55,1,1,24
85,49,272,15.9,29.05,-19.85,250,29,34.5,1250,2860,250,96.1,115.1,1750,-4.95,99.05,20.14,4,3,16
41,-,-,-,42.25,-0.1,250,15,32.3,250,2880,750,100.65,133.7,750,-,103,-,-,-,3
529,107,1033,15.81,17.95,-10.15,250,17.95,21.8,500,2900,2500,123.85,142.2,250,-1.55,122.65,18.85,2,1,241
-,-,-,-,-,-,-,-,23.5,250,2920,1000,126.3,177.4,1000,-,-,-,-,-,-
41,33,61,17.76,14.75,-4.6,250,11.65,17.05,5000,2940,500,149.45,178.3,1000,-71.05,152.35,18.37,1,1,1
25,25,56,17.03,10.2,-143.45,250,9.6,13.95,5000,2960,500,163.3,195.75,1000,-11.35,171.6,19.66,2,2,2
1,-,-,-,27.5,-,2250,2.55,11.3,250,2980,1000,181.5,216.75,1000,-,-,-,-,-,-
318,40,317,17.69,6.85,-4.4,250,6.6,7.1,3000,3000,2500,202.65,231.75,2500,1,141.5,-,-,-,3
-,-,-,-,-,-,250,3.3,12.8,250,3020,500,219.5,258.8,1000,-,-,-,-,-,-
16,13,23,18.09,4.35,-10.05,250,4.2,4.85,250,3040,1000,240,265.6,1000,-,-,-,-,-,-
12,12,18,18.49,3.65,-29.35,7500,2.7,4.75,250,3060,1000,258.55,286.9,1000,-,-,-,-,-,-
-,-,-,-,-,-,250,2.65,10.6,250,3080,500,278.45,310.5,1000,-,-,-,-,-,-
313,187,381,19.09,2.45,-1.7,500,2,2.5,250,3100,500,302.5,324.75,2500,-,280,-,-,-,40
2,1,1,19.53,2.1,-1.7,250,1.7,3.45,250,3120,500,318.05,344.35,1250,-,-,-,-,-,-
5,-,1,22.8,3,-1,2500,1.6,3.5,250,3160,500,357.7,384.8,1000,-,-,-,-,-,-
146,8,22,22.56,1.75,-0.4,250,0.9,1.8,250,3200,500,401.25,422.85,1000,-,-,-,-,-,-
6,-,2,24.08,1.65,-3.8,750,1,1.95,250,3240,500,434.9,462.45,1000,-,-,-,-,-,-
-,-,-,-,-,-,250,0.65,1.95,250,3280,500,475.8,504.15,1000,-,-,-,-,-,-
