CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
3,3,3,36.24,780,-536.75,150,760.5,769.6,150,3600,150,4.5,4.7,150,-0.8,4.65,35.11,551,46,162
-,-,-,-,-,-,450,550.9,587.25,450,3800,150,8,9.2,300,-1.8,8.95,30.48,620,74,455
40,-,-,-,494.3,6.25,300,455.8,489.75,150,3900,150,13.8,14.35,150,-2.35,14.15,28.96,540,-7,173
180,20,38,21.88,387.65,-9.75,150,382.65,387.4,150,4000,300,22.6,22.8,150,-2.4,22.8,27.67,3184,-56,3352
113,60,101,23.01,303.85,-10,150,298.85,303.4,150,4100,150,38,38.6,150,-3.05,38,26.92,1469,145,637
316,79,275,23.37,228.45,-13,150,226.3,229.2,150,4200,150,62.45,63.55,150,-3.1,63.5,26.82,2660,59,3146
1029,178,2715,24,166.45,-12.75,150,165.1,166.7,150,4300,150,99.75,101.1,150,-4.45,100,26.87,3970,74,1968
3177,742,6694,24.53,117,-12.75,150,116.3,117,300,4400,150,149.5,151.5,150,-4.9,150,27.34,2935,433,2725
5957,625,6710,25.05,79.75,-11.7,450,79.35,79.95,150,4500,150,211.15,213.55,150,-1.1,212.8,28.18,724,61,2871
3398,304,5060,25.43,52.3,-8.9,150,51.65,52.35,300,4600,150,278.4,291,150,7.85,291.85,30.58,130,7,1144
2326,222,3572,25.92,33.7,-7.35,150,33.55,34,600,4700,150,363.65,367.05,150,0.8,364.95,30.04,55,-,712
2439,297,3155,26.7,22.1,-4.95,150,21.7,22.1,150,4800,150,450.65,454.5,150,4.35,452.45,31.68,116,81,716
785,42,1227,27.29,14.05,-4.2,150,13.95,14.6,150,4900,3450,535.05,547.8,150,3.6,543,33.23,29,-1,560
3363,275,2602,28.62,10.05,-3.25,300,10,10.5,300,5000,150,635.05,643.4,150,4.75,637.85,35.58,52,21,964
539,20,1026,29.75,7.1,-2.8,150,7.05,7.95,150,5100,3000,726.65,756.25,600,-6.15,723.65,-,-,-,160
453,124,1411,30.76,5,-2.15,300,4.9,5.1,300,5200,300,805.05,853.6,600,-,825,-,-,-,397
188,-22,301,33.54,3.05,-1.45,2850,3,3.1,150,5400,4050,1001.55,1037.75,150,21.55,1041.55,52.83,6,2,276
