CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1000,282.5,300.75,1000,1240,2000,0.3,1.5,1000,-,-,-,-,-,-
-,-,-,-,-,-,1000,242.65,265.9,1000,1280,2000,0.5,5.6,500,-,-,-,-,-,-
3,-,-,-,237,-,5000,222.4,239.7,2000,1300,1000,0.75,1.75,500,-,1,-,-,-,1
-,-,-,-,-,-,5000,202.1,222.15,1000,1320,2000,0.85,1.5,1000,-,-,-,-,-,-
-,-,-,-,-,-,1000,184.05,200.7,1000,1340,500,1.15,2,1000,-1.35,1.15,24.62,3,2,9
-,-,-,-,-,-,2000,163,182.2,2000,1360,5000,1.55,3.65,500,-0.1,2.75,-,-,-,9
-,-,-,-,-,-,5000,145.9,164,2000,1380,500,3.2,3.45,500,-0.6,3.15,24.68,54,32,56
5,-,-,-,143.5,-,2500,130.7,141.35,2500,1400,500,4.2,4.6,500,-0.9,4.3,23.86,68,16,202
-,-,-,-,-,-,3500,108.45,122.6,1500,1420,500,5.95,6.35,500,-26.55,6.2,23.44,43,23,23
1,1,1,22.26,106.05,-86,500,93,105.15,1500,1440,500,8.4,8.75,500,-1.05,9.15,23.35,88,25,66
18,-,-,-,86.6,-,1000,76.5,88.8,500,1460,500,11.7,14.65,500,-1.6,12.4,22.73,233,-8,210
8,-,-,-,68.6,-,1000,60.2,74.85,1000,1480,500,16.45,17.15,500,-1.9,17.4,22.64,86,10,80
76,13,89,17.46,54.1,0.55,500,55.8,57.5,1000,1500,500,22.35,23.4,500,-1.95,24.1,22.77,434,32,232
45,13,225,18.87,44,0.45,500,43.8,45.4,500,1520,500,29.85,31.4,500,-3.3,31.6,22.5,245,22,105
122,27,437,19.18,34.05,0.75,3000,34.05,35.6,500,1540,500,39.55,41.5,2500,-4.55,41.3,22.62,239,54,134
278,124,577,19.5,25.9,0.65,500,25.8,26.8,500,1560,500,51.4,58.95,2000,-0.4,55.05,24.16,45,13,83
185,99,231,19.48,18.85,0.15,500,19.15,19.85,500,1580,500,62.35,66.1,500,0.7,66,23.33,11,1,114
303,2,417,20.18,14.4,0.55,500,13.95,14.7,500,1600,500,76.5,88.55,1500,1.1,81.1,24.18,2,1,74
63,10,51,20.21,10.15,0.15,500,10.1,10.6,500,1620,500,92.3,97.6,500,-37.95,99.55,26.67,10,4,4
96,18,131,20.49,7.25,0.05,500,7.2,7.55,500,1640,500,109,120.3,1000,1.1,120.45,-,-,-,11
128,24,142,20.74,5.1,-0.15,500,5.1,5.4,1000,1660,2000,122.2,139.25,2000,-,-,-,-,-,-
11,6,15,21,3.55,-0.4,500,3.45,3.85,500,1680,2000,141.5,157.65,2000,-,-,-,-,-,-
151,57,123,21.44,2.55,-0.35,500,2.45,2.75,500,1700,500,163.55,172.25,500,1.15,169.2,30.16,17,5,74
4,1,1,20.81,1.4,-2.15,500,1.2,2.75,500,1720,2000,179.35,196.5,2500,-,157,-,-,-,1
-,-,-,-,-,-,2000,0.75,3,2000,1740,1000,199.5,218.85,1000,-,190,-,-,-,1
6,-,1,20.39,0.45,-1.6,500,0.65,1.4,500,1760,1000,217.65,234.95,2500,-,200,-,-,-,1
3,2,3,23.61,0.5,0.2,500,0.5,0.6,500,1800,1000,258.05,274.5,2500,-,272,-,-,-,2
