CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2450,254.1,268,1750,1200,350,1.05,1.15,1400,-0.75,1.05,33.53,58,44,75
-,-,-,-,-,-,700,214.8,229.35,700,1240,1750,1,1.75,350,0.65,2,32.17,12,11,11
-,-,-,-,-,-,700,195.1,209.75,700,1260,350,0.95,1.95,350,-,-,-,-,-,-
-,-,-,-,-,-,700,176.35,191.3,700,1280,350,1.45,1.65,700,-1.45,1.6,25.94,525,392,446
45,10,25,-,161.8,2.15,350,162.65,167.2,350,1300,350,2.3,2.5,700,-1.65,2.4,25.45,498,131,410
-,-,-,-,-,-,1400,137.4,151.25,1400,1320,700,3.2,3.4,350,-1.85,3.35,24.63,230,27,114
-,-,-,-,-,-,1750,119,134.35,1400,1340,350,4.55,4.75,350,-2.1,4.7,23.87,362,14,171
1,-,-,-,105.7,-,1400,103.45,111.7,350,1360,700,6.55,6.75,350,-2.5,6.65,23.22,321,121,301
53,11,78,18.51,90.95,1.5,350,91,91.9,350,1380,700,9.45,9.7,350,-2.95,9.65,22.89,358,38,276
299,47,227,18.82,74.9,1.3,350,74.65,77.95,350,1400,350,13.4,13.65,350,-3.25,13.55,22.47,1252,75,964
108,33,201,19.16,60.5,1.35,350,60.75,61.45,350,1420,350,18.65,19.1,350,-2.7,20.05,22.98,798,47,465
192,7,754,19.34,47.7,0.6,350,47.9,48.45,350,1440,350,25.7,26.15,350,-4.35,26,22.15,1680,12,399
780,152,2480,19.86,37.35,0.75,350,36.9,37.35,1750,1460,700,34.5,35,350,-5.05,34.65,22.06,2003,110,851
890,89,2314,19.64,27.6,-0.15,350,27.65,27.95,350,1480,350,45.1,45.75,350,-4.8,45.95,22.55,623,16,528
2353,159,3240,19.89,20.45,-0.5,350,20.3,20.65,350,1500,350,57.4,58.2,350,-4.55,58.65,22.96,380,21,1000
841,70,1479,19.89,14.5,-0.85,350,14.55,14.85,350,1520,350,71.35,72.4,350,-3.85,74,24.2,107,-7,209
945,208,1664,20.02,10.15,-1,350,10.3,10.5,350,1540,350,84.6,88.3,350,-4.2,89.6,24.94,51,-10,388
582,-16,784,20.29,7.1,-0.95,350,7.15,7.3,1750,1560,1050,102.2,105.3,350,-3.95,106.6,26.09,13,2,160
215,35,293,20.74,5.05,-0.9,700,5.1,5.2,350,1580,700,118.45,123,350,-3.2,124.2,27.25,30,7,91
1313,192,1042,21.22,3.6,-0.9,350,3.65,3.7,1400,1600,1750,133.9,141.15,350,-2.4,142.65,28.77,47,1,385
235,78,315,21.57,2.5,-0.9,700,2.55,2.7,350,1620,700,154,165.65,1050,0.1,166.45,-,-,-,18
366,235,438,22.33,1.9,-0.7,1050,1.85,1.95,700,1640,350,177.35,179.05,350,-4.55,180,31.45,68,45,84
229,40,58,23.61,1.65,-0.25,700,1.05,1.7,350,1660,700,191.35,204.65,700,-,188.1,-,-,-,4
14,-,4,24.06,1.2,-0.4,700,0.85,1.35,350,1680,350,215.25,219.05,350,-,223,39.87,38,-18,44
206,-2,5,25.01,0.65,-0.35,350,0.3,1,700,1720,700,249.05,263.65,1400,-,256,-,-,-,94
-,-,-,-,-,-,4200,0.25,1,2100,1760,700,288.75,303.15,1750,-,298,-,-,-,11
1,-,-,-,0.55,-,350,0.15,1.6,1400,1920,-,-,-,-,-,-,-,-,-,-
