CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
2,-,-,-,1062.95,-,300,882.3,939.05,300,4600,150,1.6,4.45,150,-1.5,4.45,31.57,1,1,3
2,-,-,-,865,-,300,689.2,743.65,300,4800,150,7.25,8.5,150,-223.65,8.5,28.43,45,32,32
70,-2,29,-,507.8,-169.55,450,522.85,531.5,150,5000,150,15.6,18.15,150,3.75,18,25.8,596,50,163
5,5,9,36.29,494.65,-214.1,300,431.45,453.05,150,5100,150,27,28,150,6.85,28,25.01,157,8,80
5,-,-,-,510,-,300,331.9,375,300,5200,150,42.25,43.8,150,-8.85,44.85,24.73,392,126,131
5,1,2,18.11,257.75,-270.25,300,272.85,296,750,5300,150,64.9,67.05,150,-96.25,69,24.5,63,29,29
32,18,58,22.15,211,-77.4,150,211.2,219.7,150,5400,150,93.95,99.7,300,27.95,100.2,24.02,1083,161,451
579,77,759,22.35,156,-69.15,150,155.55,157,150,5500,150,139.6,143.35,150,38.25,143.4,23.97,2296,138,639
262,139,847,22.57,112,-58.8,150,110.7,113.85,150,5600,300,193.2,198.5,150,43.85,193.2,23.36,592,-12,231
443,59,829,22.6,77,-46.4,150,76.75,78.85,150,5700,150,252.55,264.4,150,64.3,265.35,24.81,219,-29,215
401,109,788,22.88,52.3,-35.6,150,52.35,54,150,5800,150,323.45,343.6,150,79.3,348.65,27.01,80,-6,207
490,57,884,23.3,35.3,-26.2,450,35.55,37.25,150,5900,450,408.45,423.8,150,77.85,419.65,25.76,29,3,58
469,18,1365,23.88,24,-18.95,150,24.45,24.95,150,6000,150,499.1,512.75,150,86.25,515,28.7,27,1,86
-,-,-,-,-,-,150,10.1,34.25,150,6100,450,574.65,641.55,600,-,-,-,-,-,-
473,118,546,25.28,11.5,-8.9,150,12,15.15,3150,6200,300,666.15,724.35,300,-,599.5,-,-,-,21
-,-,-,-,-,-,150,5.1,18.1,150,6300,600,755.4,824.4,300,-,-,-,-,-,-
25,22,23,27.13,6.2,-11.8,150,5.6,8.85,150,6400,300,861.2,913.4,300,-,-,-,-,-,-
92,9,37,28.92,3.5,-1.25,150,3.1,3.95,3000,6600,300,1056.55,1117.1,300,-,-,-,-,-,-
