CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,1,1,-,137,-274,2200,136.2,144.05,2200,820,44000,0.3,0.8,1100,-,-,-,-,-,-
21,-,-,-,125,-,2200,116.7,123.55,2200,840,35200,0.45,0.5,2200,-0.3,0.45,22.41,193,86,189
3,-,-,-,116.8,-,2200,97,103.9,2200,860,1100,0.75,0.8,2200,-0.35,0.75,20.75,485,192,293
-,-,-,-,-,-,1100,87.25,95.55,2200,870,2200,1,1.05,1100,-0.3,1,20.01,420,246,258
32,21,23,-,80.8,-5.8,1100,80.8,81.2,2200,880,7700,1.35,1.45,1100,-0.4,1.45,19.62,379,84,266
33,31,84,13.3,71.5,-5.5,1100,71.4,71.85,1100,890,2200,1.9,2,8800,-0.5,1.9,18.81,266,59,175
324,51,264,14.19,62.2,-5.65,1100,62.2,62.6,1100,900,5500,2.65,2.7,7700,-0.5,2.7,18.38,2411,522,1847
79,73,99,14.82,53.35,-6.65,1100,53.3,53.6,2200,910,7700,3.65,3.75,7700,-0.6,3.7,17.81,1260,105,1002
79,39,109,14.96,44.85,-5.7,1100,44.6,45.15,1100,920,74800,5,5.05,7700,-0.65,5.05,17.25,1888,373,815
174,110,317,14.86,36.8,-5.3,1100,36.75,37.25,2200,930,1100,6.85,6.9,2200,-0.75,6.9,16.76,1404,153,861
231,70,543,14.82,29.5,-5.75,1100,29.35,29.6,1100,940,1100,9.4,9.45,8800,-0.6,9.45,16.4,2772,145,861
814,383,2402,14.7,22.95,-4.9,1100,22.8,22.95,1100,950,3300,12.7,12.85,8800,-0.4,12.85,16.17,4054,176,1694
2322,815,7714,14.53,17.25,-4.7,1100,17.25,17.35,4400,960,3300,17.05,17.2,1100,-0.1,17.15,16.02,4557,656,1910
1845,705,4843,14.59,12.75,-4.1,1100,12.75,12.85,6600,970,1100,22.45,22.65,1100,0.5,22.65,16.18,2342,263,1451
2336,436,5427,14.78,9.3,-3.3,1100,9.2,9.3,2200,980,1100,28.85,29.05,1100,1.3,29.1,16.46,1176,224,1531
2321,373,3440,14.93,6.6,-2.7,2200,6.6,6.7,5500,990,1100,36.05,36.45,4400,2.1,36.45,16.93,253,46,799
5936,1330,7659,15.29,4.75,-2.1,13200,4.7,4.8,17600,1000,1100,44.05,44.35,1100,2.35,44.3,17.32,411,31,1204
1180,227,2374,15.59,3.35,-1.5,15400,3.3,3.4,11000,1010,1100,52.45,52.9,1100,4.45,53.85,19.29,68,1,598
1305,184,1700,16,2.4,-1.1,6600,2.4,2.45,8800,1020,1100,61.35,61.9,1100,6.45,64.35,22.33,56,14,79
789,-27,766,16.48,1.75,-0.75,3300,1.7,1.75,8800,1030,1100,70.85,71.15,1100,3.85,71.25,20.11,125,54,358
618,174,833,16.87,1.25,-0.65,2200,1.25,1.3,22000,1040,1100,80.2,80.8,1100,4.25,81.5,22.61,8,2,308
1619,139,1918,17.47,0.95,-0.5,24200,0.95,1,41800,1050,1100,89.7,90.5,1100,7,92.95,27.04,15,8,241
410,88,423,18.15,0.75,-0.4,4400,0.75,0.8,8800,1060,2200,96.3,103.25,1100,-,-,-,-,-,-
492,227,528,19.08,0.65,-0.2,9900,0.6,0.65,9900,1070,2200,104.2,113,1100,-,-,-,-,-,-
435,145,514,19.89,0.55,-0.2,49500,0.45,0.55,8800,1080,1100,118.85,121.05,1100,12,118,21.31,1,1,10
8,3,9,21.2,0.55,-0.3,1100,0.45,0.55,3300,1090,2200,124.05,132.7,1100,-,-,-,-,-,-
865,93,686,21.43,0.4,-0.2,64900,0.4,0.45,45100,1100,1100,138.9,139.8,1100,8,141,33.29,29,19,122
-,-,-,-,-,-,68200,0.25,0.6,2200,1110,2200,145.55,152.45,1100,-,-,-,-,-,-
96,26,75,23.84,0.4,-0.1,4400,0.35,0.4,7700,1120,2200,153.7,162.35,1100,-,-,-,-,-,-
1,1,1,25.18,0.3,-28.55,1100,0.3,0.4,1100,1140,2200,175.3,183.7,5500,-,-,-,-,-,-
166,-20,58,26.75,0.25,-0.2,38500,0.25,0.3,60500,1160,-,-,-,-,-,-,-,-,-,-
