CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2200,151.85,160.45,4400,620,12100,0.25,0.4,8800,-0.25,0.25,33.88,3,-,13
-,-,-,-,-,-,2200,133.25,140.2,4400,640,1100,0.25,0.9,4400,-,-,-,-,-,-
2,-,-,-,134.35,-,2200,113.55,120.95,4400,660,1100,0.3,1.25,1100,-,-,-,-,-,-
-,-,-,-,-,-,2200,103.6,110.5,4400,670,1100,0.3,0.95,4400,-,-,-,-,-,-
-,-,-,-,-,-,2200,93.8,100.9,2200,680,1100,0.45,1,1100,-4.9,0.8,26.07,3,3,3
-,-,-,-,-,-,2200,83.85,91.3,2200,690,1100,0.8,1.45,1100,-0.9,1.35,26.37,7,6,7
23,3,9,-,77.8,-3.2,1100,77.7,78.5,1100,700,1100,1.2,1.3,2200,-0.35,1.3,23.7,382,221,264
-,-,-,-,-,-,2200,65.05,72.65,4400,710,1100,1.6,1.95,3300,0.25,2,23.52,21,12,26
2,-,-,-,77,-,2200,55.4,61.6,3300,720,1100,2.6,2.75,2200,-0.15,2.9,23.12,75,34,108
1,1,1,18.62,52.95,0.8,2200,49.15,53,3300,730,1100,3.85,4,1100,-0.35,4,22.47,116,13,141
8,3,10,12.52,41.75,-11.35,1100,42.6,43.2,1100,740,2200,5.6,5.85,1100,-0.2,5.8,22.36,246,29,178
37,5,15,16.28,35,-3.15,1100,34.9,35.6,1100,750,1100,7.9,8.2,1100,-0.15,8.2,22.29,167,10,159
38,8,33,16.68,27.85,-5.95,1100,28.1,28.75,1100,760,1100,10.95,11.3,1100,-0.25,11.4,22.39,186,19,142
52,19,129,18.11,22.6,-2.2,2200,22.15,22.7,4400,770,1100,14.95,15.3,1100,-0.05,15.25,22.39,242,43,156
440,103,528,18.04,17.1,-2.4,2200,17.05,17.55,2200,780,2200,19.65,20.1,2200,0.05,20.05,22.59,311,42,294
234,39,264,18.54,13.05,-2.1,1100,12.8,13.3,2200,790,2200,25.25,25.75,1100,0.15,25.7,22.9,48,-6,75
622,43,927,18.5,9.4,-1.95,1100,9.4,9.65,1100,800,1100,31.65,32.3,1100,-,31.75,22.85,62,-12,482
224,48,324,18.71,6.75,-1.85,1100,6.75,6.9,1100,810,2200,37.7,43.05,2200,-,35.75,-,-,-,55
214,53,265,18.91,4.75,-1.45,1100,4.8,4.9,1100,820,2200,45.8,49.3,1100,-,45.65,-,-,-,12
147,16,142,19.33,3.4,-1.15,2200,3.35,3.5,1100,830,1100,55.25,56,1100,6,56.25,26.49,19,12,22
156,31,150,19.47,2.3,-1.1,1100,2.3,2.4,2200,840,1100,64.2,64.9,1100,3.2,65.05,27.67,7,7,7
255,-19,203,19.83,1.6,-0.95,1100,1.55,1.7,1100,850,2200,69.95,78.05,2200,-,71,-,-,-,12
296,255,378,20.15,1.1,-0.8,1100,1.1,1.2,1100,860,4400,80.05,87.5,2200,10,84.65,32.55,1,1,1
35,5,16,20.95,0.85,-0.7,1100,0.65,1,1100,870,4400,89.2,97.15,2200,-,-,-,-,-,-
140,111,123,21.93,0.7,-0.55,1100,0.65,0.85,4400,880,2200,99.3,106.4,4400,-,-,-,-,-,-
104,7,22,23.91,0.5,-0.25,1100,0.4,0.55,3300,900,2200,119,126.85,2200,-,111,-,-,-,6
1,-,-,-,1.4,-,22000,0.15,1.45,1100,920,4400,139.1,146.9,4400,-,-,-,-,-,-
