CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,6300,1364.4,1680.25,6150,3600,150,0.25,2.65,600,-,-,-,-,-,-
-,-,-,-,-,-,750,1385.7,1439.1,600,3700,150,0.25,6,600,-,-,-,-,-,-
-,-,-,-,-,-,300,1286.8,1351.9,150,3800,150,0.75,10.8,900,-,-,-,-,-,-
-,-,-,-,-,-,300,1237.4,1285.65,600,3850,150,0.25,7.2,900,-,-,-,-,-,-
-,-,-,-,-,-,300,1185.75,1238.9,600,3900,6000,0.3,5.5,300,-,-,-,-,-,-
-,-,-,-,-,-,300,1133.9,1195.1,150,3950,6000,0.6,7.55,900,-,-,-,-,-,-
27,-,-,-,1060,-3.15,300,1090.6,1139.65,600,4000,150,2.95,3.65,300,-0.4,3.4,40.59,24,4,132
-,-,-,-,-,-,300,1040.2,1090.75,600,4050,2700,1.15,8.15,450,-,-,-,-,-,-
-,-,-,-,-,-,300,991.45,1042.05,600,4100,150,3.15,3.95,150,-2.2,2.8,36.09,2,-,9
-,-,-,-,-,-,300,941.4,992.8,300,4150,2700,1.25,8.9,150,-,-,-,-,-,-
8,-,-,-,935,-,300,891.7,942.2,600,4200,150,4,5,900,-,-,-,-,-,-
-,-,-,-,-,-,300,840.7,895.1,150,4250,150,1.6,10.05,600,-,-,-,-,-,-
6,-,-,-,812,-,300,794.1,844.05,600,4300,300,5,7.75,150,-2.1,4.8,32.09,8,5,11
-,-,-,-,-,-,300,745.45,792.55,150,4350,150,6.05,8.6,150,-1.7,5.35,30.92,6,2,39
10,-,-,-,755,-,300,693.05,743.45,300,4400,300,7.9,8.95,150,-1.1,8.5,31.79,54,21,233
2,-,1,-,680,-5,150,665.8,699.7,300,4450,150,4.8,14.55,150,-,9.9,-,-,-,2
172,-,-,-,627,-,300,604.75,645.25,300,4500,150,10.55,13.7,150,-2.3,11.5,29.93,313,65,492
-,-,-,-,-,-,1500,550.65,606.05,600,4550,150,11.95,15.95,150,-3.35,14.3,29.43,39,4,63
33,-8,26,-,531,-4.3,150,525,536.75,150,4600,150,16.05,17.95,300,-2.55,18.15,29.12,368,102,392
18,-,-,-,503.05,-,750,462.15,512.6,600,4650,150,21.1,22.55,150,-3.55,22.6,28.72,55,17,50
158,2,16,-,436.3,-6.7,150,436.85,448.15,150,4700,150,27.05,27.65,150,-4.45,27.65,28.2,482,35,459
4,-,-,-,424,-,600,379.3,425.35,600,4750,150,34.1,34.9,150,-5.35,34.55,27.93,95,18,121
114,2,37,13.21,354,-2.6,450,339.55,361.5,150,4800,150,42.7,43.7,150,-4.8,44.4,28.06,719,56,489
30,-,-,-,326.75,4.45,1050,299.9,333.65,150,4850,150,49.75,54.25,150,-4.85,54.85,27.89,264,58,133
184,4,16,19.65,283,0.5,150,278.3,284.7,150,4900,150,63.35,66.75,150,-7.35,67.2,27.75,853,101,480
75,16,46,19.81,245.35,-7.15,150,244.65,251.15,150,4950,150,80.75,83.05,150,-8.45,81.75,27.65,640,46,178
709,28,418,20.95,215.8,-5.05,150,215.2,218,150,5000,450,97.95,100.7,150,-9.85,99.55,27.75,2809,532,1185
144,32,472,21.69,187.9,-4.15,150,185.2,188,150,5050,300,107.1,120.4,150,-12,119.15,27.76,1023,4,180
987,125,3072,22.01,160.85,-5.65,450,159,161.3,150,5100,150,139.2,142.7,300,-11.95,143.1,28.11,1975,78,506
530,151,1979,22.11,135.6,-7.9,300,135.25,137.35,150,5150,150,155.85,168.9,150,-14.5,167,28.06,429,11,217
1664,9,5400,22.43,114.6,-8.1,150,114.5,116,150,5200,150,195.45,198.2,300,-12.9,198.05,28.81,416,5,303
289,77,1305,22.88,97.1,-6.35,150,95.65,97.55,150,5250,150,226.3,230.15,150,-10.05,230.2,29.38,45,1,64
1128,359,2623,23.03,80.4,-7.1,150,79.65,80.95,150,5300,150,257.6,265.35,150,-11.35,262.35,29.61,30,-5,36
174,39,567,23.33,66.9,-7.8,150,66.2,67.75,150,5350,150,284,318.05,150,-0.05,310.1,-,-,-,39
637,-29,1614,23.62,55.4,-6.75,150,54.6,55.7,300,5400,150,332.1,341.45,150,-6.9,340.1,31.53,14,3,29
117,4,199,23.76,45,-7.15,150,43.95,46.15,150,5450,150,346.9,400.65,300,-,-,-,-,-,-
933,-56,1758,24.2,37.6,-6.15,150,37.6,38.3,150,5500,300,412.15,424.55,150,-11.8,418.75,32.6,3,3,63
90,20,224,24.49,30.85,-5.5,150,30.85,31.7,150,5550,600,445.65,481.95,600,-,-,-,-,-,-
430,77,716,25.03,26.1,-4.45,150,25.7,26.25,150,5600,600,478.3,526.3,600,-,-,-,-,-,-
95,-10,196,25.29,21.3,-4.6,150,21.3,22.05,150,5650,600,523.45,573.1,750,-,-,-,-,-,-
287,8,493,25.81,18.05,-3.35,150,17.6,18.7,300,5700,600,569.45,617.8,600,-,-,-,-,-,-
1063,247,1526,26.79,12.95,-2.9,150,12.6,13,3600,5800,600,663.25,712.1,600,-,674,-,-,-,3
