CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,58050,14.75,16.05,25800,55,12900,0.15,0.25,25800,-0.05,0.2,51.32,5,5,7
5,5,47,29.88,10.5,-19.05,6450,10.25,10.45,6450,60,58050,0.45,0.55,32250,-0.1,0.5,45.82,187,81,134
15,15,57,34.83,8.35,-7.15,6450,8.05,8.35,6450,62.5,12900,0.8,0.9,12900,-0.15,0.8,43.61,52,12,80
37,25,74,34.59,6.3,-0.25,6450,6.1,6.4,6450,65,12900,1.35,1.4,12900,-0.1,1.4,43.79,153,29,200
19,10,94,36.1,4.65,-,6450,4.5,4.6,6450,67.5,12900,2.1,2.2,12900,-0.2,2.15,42.61,133,14,76
418,129,1054,35.11,3.15,-0.1,6450,3.15,3.2,19350,70,12900,3.25,3.3,38700,-0.15,3.2,41.96,572,-14,458
282,135,502,36.24,2.15,-0.05,25800,2.1,2.15,12900,72.5,12900,4.6,4.7,6450,-0.1,4.6,42.18,148,37,128
666,51,502,36.81,1.4,-0.05,12900,1.35,1.45,19350,75,6450,6.3,6.55,6450,-0.1,6.3,42.95,54,2,245
168,25,68,36.78,0.85,-0.05,6450,0.8,0.9,12900,77.5,6450,8.35,8.55,6450,-0.25,8.2,43.56,35,-3,108
574,59,201,39.05,0.6,-,90300,0.5,0.6,25800,80,12900,10.45,10.65,6450,-,10.4,46.52,42,-8,212
74,14,56,39.01,0.35,-0.05,19350,0.3,0.35,12900,82.5,6450,12.75,12.95,6450,0.6,12.6,47.8,18,6,11
189,36,123,39.11,0.2,-,51600,0.2,0.25,116100,85,6450,14.95,15.35,6450,-0.65,14.25,-,5,1,175
122,4,15,38.28,0.05,-0.05,1593150,0.05,0.1,32250,90,12900,19.5,20.15,6450,0.15,20.2,68.4,4,4,258
45,8,13,57.13,0.1,-,251550,0.05,0.1,70950,100,-,-,-,-,-,-,-,-,-,-
