CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2800,143.9,149.5,5600,560,35000,0.25,0.4,9800,-0.05,0.4,37.48,11,2,48
-,-,-,-,-,-,2800,124.15,130.85,2800,580,1400,0.4,0.5,2800,-0.15,0.5,33.73,13,-,58
17,1,3,-,107,4,1400,106.2,108.15,1400,600,7000,0.6,0.7,5600,-0.05,0.65,30.1,65,40,121
-,-,-,-,-,-,2800,94.4,100.3,5600,610,4200,0.6,0.95,1400,-,0.95,-,-,-,13
2,-,-,-,87.7,-,5600,84.95,91.2,5600,620,2800,1,1.15,1400,-0.25,1.05,27.46,43,12,67
25,1,1,-,78.8,0.65,2800,76.8,80.1,1400,630,1400,1.35,1.5,1400,-0.3,1.4,26.37,78,39,80
3,1,7,12.17,69.6,-1.85,1400,68.75,69.45,1400,640,1400,1.85,2.05,2800,-0.4,1.95,25.54,108,28,121
19,3,5,17.51,60.3,2.55,1400,59.55,60.3,1400,650,1400,2.7,2.8,4200,-0.45,2.75,24.83,294,25,330
14,2,10,-,49.75,-1.25,1400,50.85,51.5,1400,660,2800,3.8,3.95,4200,-0.7,3.85,24.15,289,43,200
26,3,7,19.85,43.25,2.7,1400,42.55,43.15,1400,670,2800,5.4,5.55,4200,-0.95,5.5,23.76,961,100,232
117,1,86,19.7,35.25,2,1400,34.85,35.45,1400,680,1400,7.6,7.8,1400,-1.2,7.8,23.55,928,57,487
69,15,260,19.5,27.95,1.2,1400,28,28.5,1400,690,1400,10.55,10.8,1400,-1.75,10.75,23.33,1680,83,409
540,-31,1439,20.37,22.35,1.35,1400,22.05,22.35,2800,700,1400,14.45,14.65,5600,-2.05,14.65,23.36,1976,101,740
956,441,2917,20.39,17.05,0.8,2800,17,17.1,5600,710,1400,19.15,19.5,1400,-2.45,19.2,23.21,599,60,343
659,150,1252,20.33,12.6,0.3,1400,12.55,12.8,2800,720,1400,24.8,25.2,2800,-2.55,25.1,23.73,329,-6,141
301,3,589,20.75,9.4,0.25,1400,9.1,9.45,1400,730,1400,31.2,31.6,1400,-3,31.4,23.82,97,6,41
382,96,1012,20.61,6.55,-0.1,1400,6.6,6.7,1400,740,1400,38.55,39.05,1400,-3.95,38,23.36,28,16,49
611,17,719,21.15,4.8,-,1400,4.75,4.8,2800,750,1400,46.45,49.55,1400,-3.25,46.9,25.4,11,3,74
357,75,354,21.27,3.3,-0.1,4200,3.25,3.3,1400,760,4200,52.9,58.35,2800,-,-,-,-,-,-
157,21,148,21.72,2.35,-0.1,2800,2.25,2.4,1400,770,1400,63.85,67.4,1400,-3.15,65.85,30.27,10,2,12
248,-63,270,22.11,1.65,-0.15,16800,1.65,1.7,2800,780,2800,73.05,73.85,1400,-2.15,72.4,26.33,7,4,13
89,46,116,22.69,1.2,-0.15,1400,1.15,1.3,1400,790,2800,79.65,86.5,7000,-29.65,79.2,15.11,1,1,1
380,-10,147,23.86,1,-0.2,2800,0.9,1,1400,800,1400,90.75,96.4,2800,-26.95,90.15,24.46,1,1,1
198,21,42,25.67,0.65,0.05,4200,0.5,0.65,7000,820,2800,108.55,115.65,5600,-,111.5,-,-,-,5
