CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,4050,56.7,60.45,8100,320,-,-,0.7,2025,-,-,-,-,-,-
-,-,-,-,-,-,8100,48.25,51.35,8100,329.5,4050,0.7,0.9,8100,0.2,0.85,31.09,26,10,37
-,-,-,-,-,-,8100,47.65,51.75,8100,330,2025,0.6,1,2025,-2.05,0.7,29.58,1,1,1
-,-,-,-,-,-,2025,38.7,41.9,8100,339.5,4050,1.3,1.45,2025,0.3,1.2,28.07,17,12,13
34,33,48,20.44,39.85,-14.15,2025,39.65,40.15,2025,340,4050,1.35,1.45,2025,0.4,1.5,29.47,70,52,117
-,-,-,-,-,-,2025,34.1,36.8,8100,345,4050,1.85,1.95,4050,0.55,1.9,28.46,14,12,14
-,-,-,-,-,-,8100,30.05,33.3,8100,349.5,4050,2.4,2.5,2025,0.5,2.55,28.34,29,12,70
16,4,8,22.14,30.85,-7.15,2025,30.8,31.25,2025,350,6075,2.5,2.55,2025,0.35,2.5,27.82,156,69,335
8,-,-,-,35.5,-,8100,25.85,28.85,8100,354.5,2025,3.2,3.3,4050,0.6,3.3,27.65,20,-13,67
-,-,-,-,-,-,8100,25.45,28.45,8100,355,4050,3.25,3.4,2025,0.75,3.5,27.96,24,7,28
1,-,3,29.06,25.2,-11.3,4050,23.1,24.5,2025,359.5,4050,4.2,4.3,2025,0.7,4.2,26.86,42,3,135
-,-,-,-,-,-,20250,21.9,23.3,2025,360,4050,4.35,4.45,2025,0.95,4.45,27.21,125,62,128
3,-,-,-,32.2,-,4050,18.4,20.55,6075,364.5,4050,5.55,5.65,2025,1.15,5.6,26.82,18,6,37
1,1,1,29.42,21.55,-20.45,2025,18.75,20.6,4050,365,2025,5.7,5.85,2025,0.95,5.8,26.93,132,73,91
4,4,14,23.05,16.1,-48.05,2025,16.35,16.6,2025,369.5,2025,7.15,7.35,2025,2.3,7.4,27.03,31,10,29
48,35,51,23.95,16.15,-6.45,2025,16,16.35,2025,370,2025,7.35,7.55,2025,1.25,7.4,26.57,202,36,196
1,1,1,28.5,15.45,-35.35,6075,12,14.05,2025,374.5,2025,9.2,9.4,2025,2.3,9.45,27.05,67,22,41
