CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,600,542.75,567.2,1200,2120,2400,0.05,1.2,900,-,-,-,-,-,-
-,-,-,-,-,-,1200,504.55,530.8,600,2160,900,0.3,1.3,300,-,-,-,-,-,-
4,-,-,-,435,-,1500,466.65,485.15,1500,2200,900,0.85,0.95,300,-0.65,0.85,29.59,39,-1,68
-,-,-,-,-,-,600,425.7,452.15,600,2240,300,0.8,2.45,1800,-,-,-,-,-,-
-,-,-,-,-,-,600,405.95,431.9,600,2260,300,0.9,2.6,600,-,-,-,-,-,-
-,-,-,-,-,-,600,386.25,411.2,600,2280,300,1.05,2.65,300,-,-,-,-,-,-
3,-,-,-,330,-,1500,369,383.95,3000,2300,900,1.3,1.75,300,-0.4,1.6,26.01,111,59,101
-,-,-,-,-,-,600,346.65,369.7,600,2320,600,1.4,2.7,300,-1.35,1.45,24.38,8,-,31
-,-,-,-,-,-,1200,327,354.2,600,2340,300,0.65,4.45,300,-,-,-,-,-,-
2,-,-,-,343,-,600,307.65,330.4,600,2360,600,2,2.9,6000,0.15,2.55,24.12,29,20,22
4,-,-,-,290,-,600,288.15,312.45,600,2380,300,1.65,3.25,900,-30.8,2.2,22.19,2,1,1
98,-,14,-,274.85,7.7,300,275.35,281.9,300,2400,1200,3.1,3.3,300,-0.75,3.15,22.36,615,366,822
1,-,-,-,260,-,1200,247.6,272.6,1200,2420,300,3.05,4.95,300,-0.85,4.1,22.18,50,13,45
24,-3,14,-,240.35,6.35,300,236.6,243.15,300,2440,300,4.65,4.85,300,-1.05,4.75,21.45,358,-59,152
10,-,-,-,227.7,-,600,212.75,231.65,300,2460,600,5.7,6.1,300,-1.1,6.05,21.19,860,122,279
30,-,-,-,198,-,1200,193.2,220.35,600,2480,900,7.3,8,300,-1.6,7.5,20.82,425,48,189
282,3,47,15.87,185.3,10.2,300,183.8,187.1,300,2500,300,9.15,9.55,300,-2.35,9.3,20.46,1534,270,937
38,14,28,15.92,167.15,-19.75,300,166.65,169.9,300,2520,300,11.5,11.9,300,-2.45,11.9,20.34,426,96,123
32,9,17,16.48,150.4,9.35,600,149.5,152.35,300,2540,300,14.55,14.85,300,-2.85,14.9,20.14,501,66,202
92,2,27,17.05,134.75,8.1,300,133.4,135.75,300,2560,300,18.05,18.45,300,-3.2,18.4,19.89,643,71,277
24,9,34,17.27,119.45,8.85,300,118.6,120.6,300,2580,300,22.7,23.1,300,-4.45,23.05,19.84,653,35,147
424,49,1036,17.08,104.15,6.65,300,104.9,113.45,600,2600,300,28.1,28.6,600,-5.1,28.45,19.76,3327,302,979
71,33,388,17.46,91.35,5.8,300,91.4,92.45,300,2620,300,34.45,34.95,300,-6.1,34.7,19.67,1134,64,196
250,37,1342,17.89,79.9,5.8,300,79.1,80.1,300,2640,300,41.85,42.4,300,-7.1,42,19.62,1901,89,260
492,202,3143,17.93,68.45,4.7,600,67.4,68.7,300,2660,300,50.35,51.05,300,-8.1,50.35,19.58,2387,85,335
442,15,3594,17.98,58.15,3.75,300,57.85,58.45,300,2680,300,60.2,60.9,300,-8.5,60.7,19.87,1847,104,251
2630,944,13616,18.16,49.4,3.05,300,49,49.45,300,2700,300,71.15,72.65,300,-9.15,71.45,19.96,2844,119,551
1114,402,3984,18.48,42.1,2.75,300,41.55,42.1,300,2720,300,83.25,84.35,300,-8.75,84.45,20.46,535,15,122
470,145,3376,18.63,35.3,2.3,300,34.85,35.4,600,2740,300,96.2,97.6,300,-10.35,96.65,20.41,157,6,100
490,212,2430,18.75,29.3,1.3,300,29.3,29.75,300,2760,300,110.2,113.05,300,-4.6,112,21.14,29,2,37
292,107,1573,19.09,24.75,1.35,600,24.55,24.9,300,2780,600,125.05,127.8,300,-12.85,127.15,21.57,35,12,37
2244,393,8144,19.27,20.5,0.75,600,20.6,20.9,300,2800,300,141.35,143.45,300,-15.85,142,21.64,155,5,142
308,62,1323,19.59,17.2,0.8,300,17.25,17.45,300,2820,300,157.45,162.15,300,-3.95,155.8,20.99,28,11,39
488,62,1037,19.84,14.3,0.55,300,14.45,14.75,300,2840,600,173.75,185.4,300,3.85,180.5,24.78,34,20,45
336,56,722,20.28,12.2,0.6,300,12.1,12.4,300,2860,300,192.45,196.25,300,-130.65,193.25,23.3,53,37,37
1054,141,1644,20.63,10.3,0.4,300,10.2,10.4,600,2880,600,193.95,222.45,1500,-,-,-,-,-,-
850,424,2409,20.92,8.6,0.3,300,8.45,8.8,300,2900,300,228.35,231,300,14.05,231.05,25.44,47,42,77
440,25,891,21.25,7.25,0.25,2400,7.15,7.3,900,2920,1200,234.65,259.15,600,-,-,-,-,-,-
135,135,275,21.78,6.35,-1.3,300,6.1,6.25,300,2940,1200,253.4,278.35,600,-,-,-,-,-,-
234,71,399,22.04,5.3,0.2,900,5.2,5.4,600,2960,1200,272.45,297.4,600,-,-,-,-,-,-
1492,455,2775,22.98,4.05,-,600,3.95,4.1,600,3000,3900,312.6,336,3900,-,-,-,-,-,-
387,268,756,23.71,3,-0.15,900,3,3.05,300,3040,600,349.8,374.7,1500,-0.7,336.35,-,-,-,6
