CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2450,80.65,85,2450,340,6125,0.35,0.55,2450,-0.05,0.5,39.2,42,42,42
1,-,-,-,72,-,2450,60.7,64.55,4900,360,1225,0.65,0.85,1225,-0.2,0.8,33.26,3,1,4
1,1,1,38.93,55.45,-11.95,2450,52.45,54.7,3675,370,1225,1,1.15,1225,-0.35,1.05,30.39,75,25,105
10,10,12,42.63,48.3,0.25,1225,43.1,44.8,1225,380,1225,1.55,1.7,1225,-0.3,1.7,28.94,62,21,109
13,13,14,31.36,36.8,-16.7,1225,34.65,35.35,1225,390,2450,2.5,2.6,2450,-0.35,2.55,26.92,218,120,195
70,42,60,21.6,25.7,-3.55,1225,26.55,27.1,1225,400,1225,4.15,4.3,1225,-0.4,4.2,25.88,518,174,557
512,23,58,22.09,18.55,-3.3,1225,19.5,19.85,1225,410,3675,6.9,7.05,1225,-0.05,6.95,25.45,198,73,771
298,137,400,24.42,13.7,-1.95,1225,13.6,13.75,1225,420,1225,10.8,11.1,1225,-0.05,11,25.37,418,19,398
715,111,528,23.87,8.85,-1.4,1225,8.9,9,4900,430,1225,16.05,16.45,1225,0.85,16.7,26.13,224,82,556
2162,66,1544,23.95,5.55,-1,4900,5.55,5.7,1225,440,1225,22.55,23.1,1225,1.35,23.1,25.98,42,-3,561
941,123,594,23.59,3.15,-0.55,2450,3.1,3.2,2450,450,2450,29.95,30.55,1225,1.9,30.85,26.7,39,-,346
961,85,405,23.65,1.75,-0.35,4900,1.7,1.8,4900,460,1225,38.45,39.2,1225,-1.25,36.55,12.43,4,2,128
405,49,125,23.88,0.95,-0.35,2450,1,1.05,2450,470,3675,46.55,49.85,2450,-,45,-,-,-,63
205,16,65,24.98,0.6,-0.15,1225,0.6,0.7,2450,480,1225,57.2,57.9,1225,2.85,58.7,34.5,21,12,114
163,12,32,28.53,0.35,-,1225,0.3,0.4,7350,500,4900,75.7,79.2,1225,-,74,-,-,-,188
19,-,-,-,0.1,-,20825,0.05,0.3,3675,520,4900,95.1,98.8,4900,-,93.3,-,-,-,32
