CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,11100,32.85,35.3,11100,170,83250,0.05,0.8,2775,-,-,-,-,-,-
15,13,25,-,24.6,-3.7,2775,24.25,24.75,2775,180,5550,0.9,1.05,8325,0.1,1.05,36.68,205,142,164
8,8,20,-,20,-16.65,2775,19.9,20.25,2775,185,5550,1.5,1.6,8325,0.1,1.55,35.13,40,4,34
11,11,23,-,15.85,-45.4,2775,15.85,16.1,2775,190,8325,2.35,2.45,8325,0.2,2.4,34.42,197,70,166
18,18,50,20.64,12.25,-17.9,2775,12.2,12.45,2775,195,2775,3.65,3.7,2775,0.4,3.7,34.29,181,54,116
166,50,199,23.01,9.05,-1.05,2775,9.05,9.25,2775,200,2775,5.45,5.55,5550,0.35,5.45,34.24,789,71,328
129,83,308,25.19,6.65,-0.9,2775,6.5,6.6,2775,205,2775,7.75,7.95,2775,0.4,7.85,34.94,210,54,127
351,63,869,25.55,4.5,-0.85,11100,4.5,4.6,16650,210,2775,10.7,10.9,2775,0.9,10.85,36.18,133,-8,218
219,14,362,26.45,3.05,-0.65,8325,3,3.1,8325,215,2775,14.15,14.4,2775,0.6,14.5,38.45,38,-4,117
500,42,292,27.39,2.05,-0.5,11100,2,2.05,41625,220,2775,18.1,18.35,2775,1,18.45,40.68,29,-2,260
101,13,71,28.17,1.35,-0.45,2775,1.35,1.4,13875,225,2775,22.45,22.7,2775,5.1,22.75,43.5,9,4,14
192,10,64,28.65,0.85,-0.35,22200,0.8,0.95,13875,230,2775,26.9,27.2,2775,3.1,27.3,46.82,12,2,93
14,-1,7,31.09,0.7,-0.35,2775,0.55,0.65,5550,235,2775,31.55,31.95,2775,4.7,31.7,48.67,14,4,9
106,7,87,31.58,0.45,-0.2,16650,0.35,0.45,5550,240,2775,36.35,36.6,2775,2.5,36.65,53.26,12,4,46
-,-,-,-,-,-,2775,0.15,0.4,11100,245,5550,39.9,42.55,27750,-,-,-,-,-,-
44,4,4,33,0.2,-0.1,2775,0.2,0.25,5550,250,5550,44.95,47.25,11100,-,43,-,-,-,85
