CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1400,219.5,233.35,1400,1180,14000,0.05,0.6,700,-,-,-,-,-,-
-,-,-,-,-,-,1400,201.3,213.9,1400,1200,8400,0.35,0.4,12600,-0.65,0.35,23.72,330,132,188
-,-,-,-,-,-,1400,179.6,193.1,1400,1220,700,0.3,0.7,1400,-,-,-,-,-,-
8,-,-,-,185,-,1400,159.95,174.1,1400,1240,700,0.45,0.5,2800,-0.55,0.45,20.1,31,10,12
26,-,-,-,150,-,1400,141.05,153.85,1400,1260,2800,0.6,1,3500,-7.4,0.85,19.78,6,4,4
1,-,-,-,137.4,-,1400,121.7,134.85,1400,1280,700,1.05,1.15,1400,-0.9,1.1,18.23,595,356,367
-,-,-,-,-,-,1400,110.5,124.6,1400,1290,2800,1,1.65,700,-1.7,1.25,17.42,3,3,3
187,-4,21,-,107.3,-3.45,700,104.65,109.1,700,1300,2800,1.7,1.8,3500,-0.9,1.8,17.44,1236,223,672
-,-,-,-,-,-,3500,92.6,106.45,2800,1310,700,2.05,2.25,1400,-0.1,2.35,17.14,147,88,89
16,2,2,16.94,90.85,-,700,88.3,91.2,700,1320,2100,2.6,2.85,3500,-0.85,2.75,16.38,184,67,269
32,27,41,9.49,78.1,-20.75,700,79.75,80.85,700,1330,700,3.35,3.55,3500,-0.75,3.5,15.96,395,8,281
7,7,12,11.82,69.55,-73.45,1400,70.9,71.85,700,1340,700,4.4,4.55,2800,-0.65,4.5,15.6,489,83,348
41,24,48,14.66,63.15,-1.35,700,62.3,63.1,700,1350,700,5.7,5.85,1400,-0.55,5.85,15.33,1000,115,352
