CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,650,237.35,258.35,650,1600,325,1.05,3.6,325,-4.9,1.8,27.56,6,4,4
-,-,-,-,-,-,1300,200.3,218.1,1300,1640,325,3.15,4.15,325,0.45,3.45,26.99,19,16,19
-,-,-,-,-,-,650,178.7,206.05,1300,1660,3900,0.75,12.8,13000,-,-,-,-,-,-
-,-,-,-,-,-,1625,160,185.45,3250,1680,325,2.7,10.05,13000,-,4.3,-,-,-,1
-,-,-,-,-,-,650,144,163.35,1300,1700,325,6.8,7.3,325,0.6,7.2,25.03,122,51,124
-,-,-,-,-,-,1625,121.5,150.5,3250,1720,325,2.75,17.5,325,-,-,-,-,-,-
-,-,-,-,-,-,1300,108.4,122.3,975,1740,325,11.45,12,325,2.15,12,24.02,53,32,36
-,-,-,-,-,-,2275,91.65,106.85,650,1760,325,15.3,15.7,325,3.3,15.4,23.56,54,30,109
-,-,-,-,-,-,650,77.8,90.9,975,1780,325,18.25,20.4,325,2.2,20.45,23.6,16,9,34
4,-,-,-,92.65,-,325,64.9,77.55,650,1800,325,25.45,26.35,325,4.8,25.5,23.07,267,35,221
-,-,-,-,-,-,2275,50.5,65.35,975,1820,650,30.25,33.65,325,8.9,34.9,24.17,52,1,34
7,7,35,17.13,47.4,-202.3,325,47.55,48.85,325,1840,325,41.2,42.45,650,9.2,41.7,23.4,333,237,240
105,47,258,18.04,38.9,-14.85,325,38,39,325,1860,650,50.05,52.8,325,10,52.9,24.12,205,38,91
41,36,81,18.44,30.9,-13.5,325,30.1,33.1,325,1880,325,62.5,64.65,325,11.9,64.55,24.5,68,10,80
249,30,281,18.67,24,-11.45,325,23.35,24.3,650,1900,975,74.65,77.9,325,14.45,77.85,25.14,201,-12,208
131,16,100,18.87,18.35,-10.3,325,18.15,18.85,325,1920,325,88.1,92.5,325,16.3,92.5,25.96,20,6,71
158,20,118,19.42,14.45,-7.95,325,13.9,14.55,325,1940,650,105.75,108.2,325,18.35,108.35,26.99,19,-1,74
68,9,40,19.85,11.2,-7.3,325,10.8,11.75,325,1960,650,120.95,133.55,650,-,104.3,-,-,-,22
55,-9,99,20.26,8.65,-5.45,325,8.4,9.15,325,1980,325,133.5,151,650,-,106.5,-,-,-,25
314,-22,371,20.79,6.8,-4.65,325,6.7,6.9,325,2000,650,149.4,160.25,325,32.25,157.55,28.98,6,3,239
24,24,33,21.47,5.5,-56.5,325,4.7,5.9,325,2020,1300,168.8,187.45,650,-,78.65,-,-,-,3
11,11,11,23.72,5.9,-124.1,325,3.45,5,325,2040,1300,185.8,204.25,1300,-,-,-,-,-,-
10,10,14,23.18,3.95,-45.1,325,2.65,4.2,325,2060,1300,206.3,224.55,1300,-,-,-,-,-,-
37,-6,43,23.08,2.8,-2.6,325,2.65,2.95,325,2080,1300,226.45,244.1,1300,-,-,-,-,-,-
330,-69,647,24.07,2.5,-1.8,2600,2.4,2.55,650,2100,1300,245.9,263.5,1300,-,-,-,-,-,-
-,-,-,-,-,-,3900,0.45,9.15,325,2120,650,265.5,288.4,3250,-,-,-,-,-,-
-,-,-,-,-,-,3900,0.35,9.2,1300,2140,650,285.1,308.05,3250,-,-,-,-,-,-
3,-,-,-,6.05,-,325,0.4,3.3,975,2160,650,304.75,322.25,1300,-,-,-,-,-,-
19,2,5,28.48,1.45,-0.8,325,1.1,1.55,325,2200,650,341.35,361.6,1300,-,-,-,-,-,-
-,-,-,-,-,-,325,0.25,6.7,13000,2240,650,381.5,404.4,1625,-,-,-,-,-,-
