CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,3700,100.1,106.4,1850,500,925,0.5,0.7,1850,-0.35,0.5,32.9,17,1,16
-,-,-,-,-,-,3700,80.3,86.15,3700,520,4625,0.55,1.5,9250,-,-,-,-,-,-
-,-,-,-,-,-,4625,61.2,67.45,1850,540,925,1.7,1.85,1850,-3,1.7,27.54,34,29,29
-,-,-,-,-,-,6475,52.4,57.1,2775,550,925,2.4,2.55,1850,0.95,2.45,26.6,65,28,35
2,1,1,25.07,48.1,-14.9,925,45.4,46.2,925,560,925,3.65,3.7,925,1.15,3.65,26.03,29,20,21
-,-,-,-,-,-,6475,35,39.65,2775,570,2775,5.25,5.4,925,1.45,5.25,25.33,82,10,45
1,-,-,-,45.2,-,6475,28,32.8,2775,580,925,7.7,7.95,925,2.35,7.8,25.29,97,32,98
3,2,3,19.97,22.8,-20.4,925,23.2,23.85,925,590,925,10.95,11.25,925,2.85,10.9,24.9,93,33,80
110,44,167,21.14,17.65,-6.25,925,17.75,18.2,925,600,925,15.25,15.5,925,4.4,15.45,25.41,170,24,268
97,86,145,21.79,13.25,-5.25,925,13.1,13.45,925,610,925,20.5,20.9,925,5.1,20.45,25.29,235,-38,96
161,66,198,22.11,9.6,-3.95,925,9.5,9.75,925,620,925,26.65,27.25,925,6.45,27.15,26.41,69,7,115
145,51,219,22.41,6.8,-3.25,925,6.75,6.85,925,630,925,33.55,34.4,925,7.3,34.5,27.47,13,6,32
129,26,142,22.86,4.8,-2.5,1850,4.7,4.9,1850,640,925,41.55,42.3,925,10,42,27.83,1,1,17
207,35,200,23.54,3.45,-1.95,1850,3.3,3.45,925,650,1850,48.85,50.85,925,8.25,50.35,28.81,12,1,57
151,28,128,24.14,2.45,-1.2,1850,2.35,2.5,2775,660,925,58.5,59.85,925,16.35,59.35,30.44,14,13,15
10,8,21,24.77,1.75,-2.4,925,1.65,1.8,925,670,1850,66.15,71.25,3700,8.05,68.7,32.41,1,1,1
57,29,58,25.39,1.25,-0.75,1850,1.2,1.35,925,680,3700,72.5,80.45,3700,-,65,-,-,-,1
-,-,-,-,-,-,4625,0.55,1.5,925,690,3700,84.8,90.05,3700,-,-,-,-,-,-
94,12,48,27,0.7,-0.55,5550,0.65,0.8,925,700,1850,93.5,100.7,3700,-,70,-,-,-,4
-,-,-,-,-,-,925,0.25,4.45,925,720,1850,113.8,123.3,3700,-,-,-,-,-,-
-,-,-,-,-,-,74000,0.05,1.5,37000,740,1850,133.45,139.75,9250,-,-,-,-,-,-
