CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,-,-,-,-,2,-,-,0.05,15795975,-,0.05,242.26,1,1,112
-,-,-,-,-,-,142950,2.25,5.05,142950,3,-,-,0.05,6218325,-,0.05,-,-,-,2
5,-,-,-,2.8,-,142950,1.1,4.15,142950,4,-,-,0.05,12794025,-,0.05,112.04,1,1,2
71,14,36,45.6,1.55,-0.15,428850,1.5,1.6,571800,5,-,-,0.05,24944775,-,0.05,69.13,32,26,434
1975,66,1495,48.78,0.7,-0.15,19941525,0.65,0.7,1643925,6,62254725,0.1,0.15,4431450,-0.05,0.15,49.17,2336,833,2885
7339,436,3956,54.84,0.25,-0.15,34665375,0.25,0.3,34165050,7,2215725,0.7,0.75,2287200,-,0.75,63.14,1283,85,3083
3880,493,1367,63.43,0.1,-0.05,166608225,0.05,0.1,6575700,8,1358025,1.5,1.6,929175,0.05,1.55,67.41,159,30,1143
1887,321,875,72.34,0.05,-,-,-,0.05,14152050,9,714750,2.45,2.5,71475,0.1,2.5,80.82,96,56,498
1248,-,11,89.5,0.05,-,-,-,0.05,40311900,10,142950,3.4,3.5,71475,-0.05,3.3,-,60,-17,385
144,3,3,117.28,0.05,-,-,-,0.05,49532175,12,142950,3.95,6.85,142950,-,5.1,-,-,-,15
