CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,1,1,48.12,11.1,-1.65,37100,10.3,11.05,37100,58,92750,0.1,0.15,241150,-0.1,0.1,32.76,29,22,42
3,-,-,-,8.95,0.15,129850,8.25,9,37100,60,398825,0.15,0.2,324625,-0.05,0.2,31.68,163,23,288
-,-,-,-,-,-,18550,7.4,8,37100,61,37100,0.15,0.25,18550,-0.75,0.2,28.63,1,1,1
-,-,-,-,-,-,18550,6.5,7.05,37100,62,148400,0.25,0.3,306075,-0.05,0.25,27.13,60,11,71
21,18,31,14.19,5.65,-0.4,9275,5.85,5.95,9275,63,92750,0.35,0.4,46375,-0.05,0.35,26.48,96,21,72
17,13,23,18.3,4.8,-0.35,9275,5,5.1,18550,64,139125,0.45,0.5,157675,-,0.5,26.15,113,29,164
217,-,41,20.58,4.05,-0.2,37100,4.15,4.25,18550,65,55650,0.65,0.7,46375,-0.05,0.65,25.01,494,59,511
53,11,59,20.82,3.3,-0.25,18550,3.4,3.5,27825,66,129850,0.85,0.9,55650,-0.05,0.9,24.7,238,44,331
52,1,59,22.62,2.75,-0.25,18550,2.75,2.85,37100,67,74200,1.15,1.2,18550,0.05,1.25,24.83,435,52,435
296,116,460,22.41,2.15,-0.1,18550,2.15,2.25,37100,68,64925,1.55,1.6,27825,-0.1,1.55,23.34,583,17,354
373,91,603,22.39,1.65,-0.15,27825,1.65,1.7,64925,69,27825,2.05,2.1,18550,-0.05,2.1,24.04,248,17,227
1677,583,2608,22.55,1.25,-0.05,37100,1.25,1.3,343175,70,55650,2.6,2.7,18550,-0.05,2.7,24.36,306,14,874
480,65,410,22.31,0.9,-0.1,46375,0.9,0.95,129850,71,27825,3.25,3.35,9275,0.1,3.45,25.72,69,-4,168
687,-128,1315,21.66,0.6,-0.15,92750,0.6,0.65,268975,72,9275,4,4.1,18550,0.15,4.15,25.6,48,7,434
579,233,501,22.39,0.45,-0.1,417375,0.4,0.45,64925,73,9275,4.8,4.9,18550,0.1,5,26.97,37,2,270
408,76,310,23.37,0.35,-0.05,389550,0.3,0.35,371000,74,9275,5.65,5.75,18550,-0.15,5.6,22.85,18,5,109
750,49,492,22.33,0.2,-0.1,3051475,0.2,0.25,704900,75,9275,6.5,6.65,9275,0.1,6.7,27.97,34,7,268
161,29,89,24.75,0.2,-,315350,0.15,0.2,37100,76,37100,7.25,7.9,9275,-,7.6,-,-,-,34
144,12,37,25.34,0.15,-,788375,0.1,0.15,120575,77,37100,8.2,8.85,64925,-,8.25,-,-,-,2
176,10,52,25.32,0.1,-0.05,64925,0.1,0.15,593600,78,37100,9.2,9.85,37100,-,9.3,-,-,-,32
334,11,32,29.25,0.1,-,4860100,0.05,0.1,751275,80,9275,11.3,11.6,9275,-0.65,10.75,-,1,1,161
16,2,5,29.42,0.05,-0.05,-,-,0.05,9275,82,37100,13.05,13.8,37100,-,13.35,-,-,-,8
3,-,-,-,0.05,-,-,-,0.05,111300,88,-,-,-,-,-,-,-,-,-,-
