CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,15000,39.5,40.85,15000,100,52500,0.05,0.2,15000,-,-,-,-,-,-
-,-,-,-,-,-,18750,34.5,36.05,15000,105,15000,0.15,0.3,3750,-2.3,0.95,71.39,34,18,18
-,-,-,-,-,-,7500,29.55,31.05,15000,110,60000,0.1,0.4,37500,-,-,-,-,-,-
-,-,-,-,-,-,15000,26.95,28.8,15000,112.5,3750,0.1,0.65,3750,-,-,-,-,-,-
-,-,-,-,-,-,33750,24.7,26.15,15000,115,67500,0.15,0.5,67500,-,-,-,-,-,-
-,-,-,-,-,-,7500,22.2,24.3,15000,117.5,3750,0.1,0.9,3750,-,-,-,-,-,-
17,-5,8,25.09,20.75,-0.2,3750,20.55,20.85,3750,120,86250,0.45,0.5,11250,-0.2,0.5,37.97,291,101,310
-,-,-,-,-,-,3750,17.45,19.55,15000,122.5,90000,0.25,1.15,3750,-,-,-,-,-,-
15,1,1,38.2,16.85,0.55,3750,15.75,16.1,3750,125,11250,0.7,0.8,22500,-0.2,0.8,34.51,57,24,143
6,2,3,26.26,13.75,-0.35,3750,13.55,13.9,3750,127.5,7500,0.95,1.05,11250,-0.2,1,32.59,39,4,76
48,5,26,23.4,11.35,-0.6,3750,11.4,11.7,3750,130,15000,1.3,1.35,11250,-0.15,1.4,31.99,300,24,353
19,11,19,26.28,9.6,-0.55,3750,9.45,9.65,3750,132.5,7500,1.75,1.85,3750,-0.3,1.8,30.43,63,37,86
55,21,100,26.07,7.75,-0.45,7500,7.7,7.9,3750,135,7500,2.4,2.5,11250,-0.3,2.45,29.81,307,72,278
15,11,54,25.54,6.05,-0.5,3750,6.1,6.25,3750,137.5,11250,3.3,3.4,15000,-0.25,3.4,30.04,173,48,145
363,146,486,26.46,4.8,-0.55,11250,4.75,4.85,11250,140,3750,4.45,4.55,11250,-0.35,4.45,29.65,327,89,504
233,126,345,25.96,3.55,-0.65,15000,3.6,3.7,15000,142.5,7500,5.75,5.85,7500,-0.25,5.9,30.49,143,45,148
741,140,574,26.58,2.7,-0.5,11250,2.7,2.8,18750,145,3750,7.3,7.45,7500,-0.2,7.45,30.8,97,13,293
255,37,244,27.3,2.05,-0.4,7500,1.95,2.05,3750,147.5,3750,9.1,9.3,3750,-0.25,9.2,31.31,46,1,71
796,161,611,27.62,1.5,-0.35,52500,1.45,1.55,48750,150,3750,11,11.2,3750,-0.7,10.55,27.69,8,2,241
37,4,31,28.09,1.1,-0.35,22500,1.05,1.15,7500,152.5,3750,13.1,13.4,3750,-0.35,12.9,30.58,8,3,8
175,-5,140,29.09,0.85,-0.25,30000,0.8,0.85,30000,155,7500,15.3,15.55,3750,-0.15,15.35,34.01,17,5,129
47,18,29,29.93,0.65,-0.2,11250,0.6,0.7,7500,157.5,3750,17.55,17.85,3750,-0.25,17.55,34.74,23,21,31
569,29,180,30.77,0.5,-0.25,168750,0.45,0.5,3750,160,3750,19.9,20.15,3750,-0.05,19.95,37.1,16,7,123
5,3,5,31.83,0.4,-0.65,3750,0.35,0.45,3750,162.5,15000,21.9,22.75,3750,-8.95,22.45,40.4,2,2,2
59,15,24,32.38,0.3,-0.15,11250,0.3,0.4,15000,165,3750,24.7,25,3750,0.25,25,44.19,4,4,37
448,6,177,35.84,0.25,-0.1,480000,0.2,0.25,7500,170,3750,29.55,30.05,3750,-0.6,28.8,-,4,4,92
1,-,-,-,0.25,-,33750,0.15,0.25,45000,175,7500,33.9,35.4,33750,-,33,-,-,-,15
87,2,6,42.72,0.2,-0.05,67500,0.15,0.2,15000,180,15000,39,39.95,3750,0.6,39.5,54.63,1,1,167
-,-,-,-,-,-,-,-,-,-,185,15000,43.85,45.35,15000,-,43.25,-,-,-,23
-,-,-,-,-,-,-,-,-,-,190,37500,48.9,50.25,15000,-,49,-,-,-,109
499,182,241,54.93,0.15,-,127500,0.1,0.15,228750,200,37500,58.85,60,3750,-0.7,58.4,-,1,-1,222
