CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,13750,35.2,37.05,11000,170,13750,0.15,0.5,5500,-,-,-,-,-,-
1,1,1,-,27.5,-10.7,2750,25.75,27.15,2750,180,11000,0.45,0.55,5500,-0.15,0.65,34.24,21,12,140
2,2,6,-,21.2,-6.7,2750,21.75,22,2750,185,2750,0.8,0.85,2750,-5.1,0.9,31.76,13,6,6
4,2,6,-,17.5,-2.35,2750,17.25,17.7,2750,190,11000,1.35,1.45,16500,-0.35,1.4,30.3,93,33,174
1,1,1,18.78,13.85,-7.65,2750,12.6,14,8250,195,8250,2.25,2.35,5500,-0.35,2.35,30,66,46,89
118,29,95,19.74,9.95,-0.25,2750,9.7,10,2750,200,5500,3.7,3.8,8250,-0.55,3.7,29.61,155,37,201
165,4,84,21.21,6.95,-0.5,2750,7,7.15,2750,205,2750,5.8,5.9,2750,-0.55,5.8,30.31,95,46,107
571,7,565,23.03,4.85,-0.3,5500,4.75,4.85,5500,210,2750,8.4,8.65,2750,-0.35,8.6,31.63,85,22,269
336,34,309,23.71,3.15,-0.35,5500,3.1,3.2,8250,215,2750,11.7,12,2750,-0.2,11.3,30.42,15,6,65
396,54,415,24.96,2.1,-0.2,2750,2.05,2.15,13750,220,2750,15.55,15.9,2750,0.55,15.75,35.03,14,3,175
260,19,67,25.5,1.3,-0.25,5500,1.15,1.35,2750,225,2750,19.75,20.15,2750,0.5,19.9,37.17,5,2,50
188,32,126,26.58,0.85,-0.2,30250,0.8,0.9,16500,230,2750,24.25,24.65,2750,1.4,25.1,43.87,20,10,53
128,2,41,29.09,0.4,-0.1,2750,0.4,0.45,27500,240,2750,33.65,34.1,2750,4,34.15,48.71,4,1,5
