CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,6600,89.55,95.2,3300,340,6600,0.15,1.7,49500,-,-,-,-,-,-
-,-,-,-,-,-,6600,69.45,76.4,6600,360,6600,0.15,2.85,16500,-,-,-,-,-,-
3,3,4,59.44,60.25,-56.4,8250,51.6,55.05,4950,380,3300,2.45,2.55,1650,0.6,2.5,35.98,25,16,19
4,4,6,34.08,44,-56.1,1650,43.75,46.05,1650,390,3300,3.7,3.85,3300,-4.45,3.7,34.77,82,64,64
11,10,13,35.38,36.65,-4.05,1650,36.2,37.45,1650,400,3300,5.3,5.55,3300,0.55,5.35,33.48,103,26,115
-,-,-,-,-,-,3300,27.15,30.8,4950,410,1650,7.75,8.05,1650,1.5,8.1,33.35,87,47,58
19,7,17,30.03,20.95,-6.3,1650,21.9,22.8,1650,420,1650,11.15,11.55,1650,1.55,11.25,32.26,163,46,89
38,38,135,33.88,17.5,-53.35,1650,16.75,17.25,1650,430,1650,15.55,15.9,1650,2.35,15.75,32.1,208,26,97
130,114,248,32.85,12.6,-3.3,1650,12.15,12.65,1650,440,1650,20.85,21.35,1650,3.15,21.1,31.72,242,25,168
175,43,304,31.97,8.7,-2.85,1650,8.45,8.95,1650,450,1650,27.1,27.55,1650,3.35,27,30.51,54,3,87
195,6,134,31.84,6,-2.15,1650,5.85,6.15,1650,460,1650,32.9,34.8,1650,6,36,34.52,32,-4,127
170,1,93,32.13,4.15,-1.25,1650,3.95,4.2,1650,470,1650,41,42.85,1650,4.3,41.1,26.29,16,-,133
160,46,222,32.16,2.75,-1.2,1650,2.7,2.8,1650,480,1650,50.55,51.9,1650,6.9,52.75,36.44,37,18,95
34,29,52,32.53,1.85,-0.95,1650,1.8,1.95,3300,490,1650,59.7,60.6,1650,10.3,62.05,38.72,24,12,18
132,33,112,32.71,1.2,-0.7,1650,1.25,1.4,3300,500,1650,68.55,70.65,3300,6.9,70.1,34.75,12,4,33
16,4,22,34.31,0.95,-0.55,1650,0.85,1,1650,510,1650,78.4,79.45,1650,16.85,80.85,42.33,7,4,16
81,8,31,34.34,0.6,-0.5,3300,0.6,2.45,1650,520,1650,87.1,89.5,1650,15.6,89.1,35.64,2,2,13
3,-,1,35.41,0.45,-0.45,1650,0.2,1.2,1650,530,3300,95.95,100.45,14850,-,83.5,-,-,-,14
-,-,-,-,-,-,3300,0.15,1.85,4950,540,3300,105.45,111.15,6600,-,-,-,-,-,-
-,-,-,-,-,-,6600,0.05,2.45,49500,560,3300,125.45,131.55,6600,-,-,-,-,-,-
