CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2000,139.65,146.8,4000,620,6000,0.1,0.9,1000,-,-,-,-,-,-
-,-,-,-,-,-,2000,119.75,127.4,2000,640,2000,0.55,0.8,1000,0.1,0.9,33.24,3,1,12
-,-,-,-,-,-,2000,100.5,107.85,2000,660,1000,0.5,1.1,1000,-,1,-,-,-,21
-,-,-,-,-,-,2000,90.25,98.4,1000,670,1000,0.6,1.75,1000,-0.4,1,26.58,1,1,1
-,-,-,-,-,-,4000,80.8,88.6,4000,680,5000,0.55,1.8,2000,-,2.1,-,-,-,2
-,-,-,-,-,-,2000,71.5,81.4,2000,690,3000,1,4.35,1000,-,-,-,-,-,-
1,-2,6,30.16,71.1,-6.45,1000,65.3,67.6,2000,700,1000,2.8,2.9,3000,0.35,2.85,24.97,288,75,321
-,-,-,-,-,-,3000,53.65,58.95,3000,710,2000,3.8,3.95,2000,0.7,3.95,24.44,67,36,40
3,1,2,34.19,58.25,-4.2,1000,48,50.1,2000,720,1000,5.3,5.4,1000,0.6,5.35,23.83,169,54,214
6,1,3,35.47,52.4,5.2,1000,40.45,41.45,1000,730,5000,7.3,7.65,1000,1.15,7.5,23.69,501,101,232
24,15,30,19.32,33.25,-9.2,1000,32.95,34.75,1000,740,4000,10,10.25,1000,1.45,10.25,23.57,335,26,306
100,18,100,19.91,27,-4.9,1000,26.85,27.5,1000,750,1000,13.35,13.7,2000,2.05,13.8,23.6,504,80,433
181,68,474,20.4,21.6,-4.65,1000,21.3,21.7,1000,760,1000,17.65,18,3000,2.3,17.85,23.38,660,30,323
261,76,1108,20.8,17,-3.6,1000,16.7,17.1,1000,770,1000,22.75,23.45,1000,2.85,22.9,23.45,370,16,244
513,127,1154,20.95,13,-3.25,1000,12.7,12.95,2000,780,1000,28.15,29.4,1000,3.25,28.8,23.65,215,11,359
273,40,472,21.03,9.7,-2.9,1000,9.45,9.7,1000,790,1000,35.4,35.95,1000,4.35,36.05,24.66,119,7,216
1351,250,1406,21.11,7.1,-2.55,1000,7.15,7.35,1000,800,1000,42.7,43.75,1000,5.6,43.95,25.85,51,9,302
233,48,267,21.6,5.35,-1.8,1000,5.35,5.45,1000,810,1000,50.9,51.95,1000,7.1,52.55,27.44,12,7,50
501,132,675,22.05,4,-1.45,1000,4,4.1,1000,820,1000,59.25,61.95,1000,8.85,60,26.91,20,13,39
404,156,409,22.33,2.9,-1.2,1000,2.85,3,1000,830,1000,68.05,69.45,1000,5.4,68.7,27.69,16,3,20
704,-28,435,23.04,2.25,-0.9,1000,2.25,2.35,1000,840,1000,77.3,78.6,1000,6.65,78.8,30.62,26,9,188
375,-12,259,23.88,1.8,-0.7,1000,1.8,1.9,2000,850,4000,84.1,90.85,4000,-,76.5,-,-,-,2
250,27,125,24.88,1.5,-0.55,1000,1.45,1.6,1000,860,4000,93.7,100.5,1000,-,91.8,-,-,-,8
57,11,30,25.38,1.15,-0.4,2000,0.95,1.35,2000,870,4000,102.4,110.25,4000,-,-,-,-,-,-
109,10,36,26.23,0.95,-0.45,2000,0.9,1.05,4000,880,4000,112.2,120.4,2000,-,-,-,-,-,-
298,64,121,27.77,0.65,-0.3,4000,0.6,0.65,1000,900,1000,134.8,138.05,1000,35.95,125,-,1,-1,11
1,-,-,-,0.9,-,1000,0.3,0.5,1000,920,2000,151.4,159,4000,-,128.4,-,-,-,35
