CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,5000,126.3,132.7,2000,520,9000,0.2,0.75,1000,-,-,-,-,-,-
-,-,-,-,-,-,5000,106.4,112.95,2000,540,9000,0.2,0.95,1000,-,-,-,-,-,-
-,-,-,-,-,-,4000,87.6,93.5,4000,560,1000,0.95,1.5,1000,-0.7,1.15,32.35,2,1,10
-,-,-,-,-,-,5000,77.75,85.75,5000,570,9000,0.5,3.25,1000,-,-,-,-,-,-
1,1,1,-,66.1,-25,2000,68.8,74.7,4000,580,2000,2.25,2.35,1000,-0.65,2.1,30.38,17,5,26
-,-,-,-,-,-,3000,59.8,64.05,3000,590,1000,3.1,3.3,1000,-21.05,3.1,30.19,8,5,5
2,2,2,-,50.95,-27.95,7000,50.75,55.15,3000,600,1000,4.35,4.45,1000,-0.2,4.45,29.99,154,43,134
-,-,-,-,-,-,5000,42.65,46.8,3000,610,1000,5.85,6.2,1000,-27.15,5.4,28.17,2,2,2
-,-,-,-,-,-,5000,34.7,39.8,3000,620,1000,7.95,8.3,1000,0.3,8.4,29.41,53,37,113
-,-,-,-,-,-,7000,28.15,32.05,3000,630,1000,10.9,11.3,1000,-0.55,11.15,29.08,44,9,62
13,12,32,18.7,24,-4.05,4000,24.1,24.5,1000,640,1000,14.65,15,1000,-0.75,14.75,29.07,73,7,47
124,16,91,19.91,18.8,0.1,1000,18.45,19.05,1000,650,1000,18.95,19.6,1000,-0.4,19.35,29.46,65,25,79
128,50,133,20.72,14.4,0.2,2000,14,14.45,1000,660,1000,24.5,24.95,1000,-1,24.95,30.23,45,6,81
69,9,72,20.7,10.35,-0.1,1000,10.35,10.7,1000,670,1000,30.7,31.25,1000,-1.85,31.05,30.78,25,1,55
149,17,120,21.36,7.65,-0.25,1000,7.55,9.55,20000,680,3000,36.9,38.45,1000,0.25,38.25,32.02,12,3,15
61,18,91,21.72,5.45,-0.25,1000,5.5,5.75,1000,690,3000,44.05,48.65,7000,-,-,-,-,-,-
149,21,85,22.62,4.1,-0.1,1000,4.05,4.2,1000,700,1000,54,55.1,1000,5.1,54.1,34.64,6,1,19
76,53,91,23.26,3,-0.3,3000,3,3.15,3000,710,2000,60.7,65.65,5000,-37.1,59,29.84,1,1,1
85,3,42,23.91,2.2,-0.7,2000,2.15,2.35,1000,720,1000,68.75,74.85,4000,-31.85,69.55,34.22,2,2,2
-,-,-,-,-,-,1000,1.1,4.3,40000,730,4000,78.1,85.1,4000,-,-,-,-,-,-
31,-,-,-,1.5,-,2000,1,1.8,1000,740,4000,87.95,94,5000,-,-,-,-,-,-
-,-,-,-,-,-,10000,0.3,4.2,1000,760,2000,106.45,117.25,2000,-,-,-,-,-,-
-,-,-,-,-,-,6000,0.2,2.9,40000,780,2000,126.3,135,5000,-,-,-,-,-,-
