CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,750,723.6,779.15,300,4900,600,3.55,10.5,450,-,-,-,-,-,-
28,1,27,-,657,-109.6,150,641.45,651.45,150,5000,450,10,10.5,2700,-0.45,10.05,26.62,1240,166,504
-,-,-,-,-,-,1050,534.25,582.1,450,5100,150,14.55,18.65,150,1.3,15.5,25.68,289,71,77
38,20,34,16.48,464.6,-119.05,150,451.15,464.15,150,5200,150,24.05,25.45,150,4.05,24.25,24.94,1586,-177,512
34,-5,48,18.61,377.8,-99.9,150,372.7,377.4,150,5300,150,35.2,37.85,150,9.25,37.55,24.31,1990,392,711
37,28,108,20.49,302.95,-91.55,450,273.75,300.35,150,5400,150,55.25,56.85,150,16.55,56,23.56,2651,63,894
459,104,451,19.29,224,-84.35,150,222,225.05,150,5500,300,82,84,1200,25.35,83.05,23.07,3158,149,1644
607,486,1791,19.35,162.1,-73.9,450,160,162.95,150,5600,300,119.05,121.75,300,33.75,119.85,22.69,4937,264,1378
1607,565,4961,19.22,111,-62.75,150,110.15,111.9,150,5700,300,168.35,170.9,150,46.6,169.5,22.73,3606,329,1735
3242,771,7489,19.34,73.5,-53,150,73.3,74.45,300,5800,150,221.9,233.7,150,56.6,230,22.88,1278,-56,1226
1833,467,4250,19.72,48,-40.25,450,48,48.8,150,5900,300,287.8,312.05,150,70.3,306.9,24.3,694,-192,412
4000,946,7288,20.5,32.2,-28.7,150,31.6,32.2,4950,6000,150,383.1,399.15,150,71.9,382.35,24.25,195,-6,666
1550,192,3682,21.18,21.3,-19.8,150,21.05,22.3,150,6100,150,472.95,480.75,150,83.2,474.6,26.62,88,-3,398
1994,682,3107,22.14,14.8,-13.7,150,14.6,15,750,6200,150,562.9,572.6,150,84.1,566.8,28.47,65,-6,462
951,163,1193,22.95,10.15,-9.5,900,10,10.2,150,6300,1500,644.75,688.95,1500,-4.25,558.85,-,-,-,448
306,16,559,23.74,7,-7.8,150,7.1,7.6,150,6400,600,725.1,788.5,600,-,634.3,-,-,-,46
1872,217,2030,25.37,5.95,-5.9,600,5.95,6,150,6500,150,850.75,867.25,150,93.7,853,34.31,5,2,69
-,-,-,-,-,-,150,3.55,6.95,150,6600,300,915.95,980.2,1500,-,-,-,-,-,-
-,-,-,-,-,-,150,3.35,6.4,150,6700,300,1022.05,1078.75,1500,-,-,-,-,-,-
22,18,27,29.25,3.35,-2.15,150,2.9,3.3,150,6800,300,1111.45,1176.1,1500,-,-,-,-,-,-
362,7,300,31.72,2.45,-1.6,150,2.35,2.45,150,7000,300,1317.05,1373.95,600,-,890,-,-,-,7
