CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1400,121.5,127.45,2800,620,700,0.85,0.95,2100,-11.7,0.9,34.42,141,79,79
-,-,-,-,-,-,1400,102.05,109.75,7000,640,3500,1.2,1.35,7000,-0.35,1.35,31.86,144,67,185
-,-,-,-,-,-,3500,82.7,89.4,1400,660,700,2.15,2.3,8400,-0.2,2.2,29.79,320,100,249
-,-,-,-,-,-,1400,73.15,79.85,2800,670,700,2.75,2.9,700,-13,2.9,29,54,18,18
1,-,-,-,75.5,-,1400,64.45,71.25,1400,680,700,3.75,3.85,1400,-,3.8,28.21,506,127,582
-,-,-,-,-,-,4900,55.4,61.2,1400,690,700,5,5.1,700,0.1,5.1,27.7,160,20,135
226,96,166,21.19,50.45,-7.45,1400,50.7,52.1,700,700,1400,6.7,6.85,1400,0.3,6.85,27.33,800,164,747
40,33,53,23.47,43.8,-6.2,700,43.2,43.9,1400,710,700,8.85,9.2,700,0.65,9.2,27.18,188,40,140
128,22,118,23.54,36.65,-6.1,700,36.15,36.95,700,720,700,11.75,12,1400,0.75,11.85,26.69,704,174,1361
73,41,245,23.85,30.4,-5.55,700,30.05,30.5,1400,730,700,15.35,15.65,700,0.85,15.55,26.79,507,67,283
276,183,921,24.02,24.8,-5.1,700,24.5,24.85,1400,740,700,19.7,20,1400,1.65,19.85,26.82,1371,165,382
879,265,1985,24.08,19.85,-4.65,700,19.7,19.95,1400,750,700,24.7,25.15,700,2.15,24.9,26.93,1459,168,876
1437,163,1535,24.03,15.55,-4.2,700,15.6,15.8,700,760,700,30.5,31.2,700,2.7,30.7,27.15,1159,91,1236
1047,102,770,24.47,12.35,-3.45,700,12.15,12.35,1400,770,700,36.95,37.7,700,3.6,37.6,27.95,214,26,697
1775,166,1357,24.71,9.6,-2.9,700,9.6,9.8,2100,780,700,44.05,46,1400,4.05,44.35,27.91,120,30,526
285,36,234,24.98,7.4,-2.35,700,7.15,7.4,700,790,700,51.25,54.5,2100,4.5,52.15,28.6,9,2,150
1839,202,1716,25.07,5.55,-1.95,2100,5.5,5.6,1400,800,700,59.9,60.75,700,5.1,60.15,29.01,118,-5,1307
164,35,487,25.44,4.25,-1.5,1400,4.2,4.3,4900,810,700,67.1,72.15,2100,-,64.9,-,-,-,127
490,106,496,25.72,3.2,-1.3,700,3.2,3.3,2100,820,700,77.35,78.25,700,5.4,77.85,31.15,50,21,108
276,26,140,26.14,2.45,-0.9,700,2.4,2.6,1400,830,700,86.45,87.65,700,5.8,87.15,32.56,25,9,282
508,150,317,26.97,2,-0.7,700,1.9,2.05,1400,840,700,95.65,98.8,1400,-,91.6,-,-,-,100
304,56,183,27.24,1.5,-0.65,700,1.4,1.55,700,850,700,105.3,106.35,700,6.6,105.7,34.54,32,1,720
76,20,65,27.42,1.1,-0.6,1400,1.05,1.3,7000,860,700,113.8,116.1,700,8.7,118.05,42.11,9,4,30
-,-,-,-,-,-,7000,0.6,1.6,700,870,7000,122.15,128.8,2800,-,114,-,-,-,1
38,-28,44,29.86,0.9,-0.25,1400,0.7,0.95,700,880,700,133.55,138.35,700,-,129.35,-,-,-,33
-,-,-,-,-,-,4900,0.5,1.4,700,890,8400,141.45,148.55,2800,-,135.3,-,-,-,3
656,51,170,31.44,0.65,-0.35,3500,0.65,0.7,3500,900,700,154,156.55,700,8.75,156.65,48.56,3,-,434
2,-,-,-,1.9,-,7000,0.25,1.2,2800,910,1400,160.45,168.2,2800,-,-,-,-,-,-
60,-,-,-,0.7,-,700,0.35,1,2800,920,1400,171.5,178.3,3500,-,160.6,-,-,-,6
57,-,-,-,1,-,7000,0.25,1,2800,930,1400,181.3,188.25,2800,-,-,-,-,-,-
-,-,-,-,-,-,14000,0.2,0.9,2800,940,1400,191.2,198.15,3500,-,-,-,-,-,-
-,-,-,-,-,-,15400,0.2,0.9,2800,950,700,202.25,207.75,700,3,196,-,2,1,8
48,1,9,36.98,0.35,0.05,700,0.25,0.7,700,960,7000,211.1,216.8,700,1.75,209.5,-,42,42,454
