CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,6800,70.25,74.6,6800,270,1700,0.05,1.25,1700,-,-,-,-,-,-
-,-,-,-,-,-,6800,60.65,64.05,1700,280,3400,0.45,0.55,1700,-0.55,0.5,38.47,48,10,54
-,-,-,-,-,-,3400,50.8,55.5,6800,290,10200,0.65,0.8,1700,-0.75,0.75,35.65,121,44,150
-,-,-,-,-,-,3400,45.7,51.75,6800,295,1700,0.4,1.7,1700,-,-,-,-,-,-
23,2,11,-,42,-0.45,1700,42.65,43.5,1700,300,5100,1.2,1.3,8500,-1.1,1.25,33.62,594,-191,427
1,1,1,33.87,40.2,-25.05,6800,37.05,40.9,3400,305,3400,1.6,1.7,1700,-1.05,1.75,33.4,54,40,41
11,-5,22,-,32.75,-2.3,3400,33.55,35.85,1700,310,3400,2.1,2.2,5100,-1.4,2.15,32.01,439,202,388
2,2,5,17.8,28.8,-28.4,1700,29.25,30,1700,315,3400,2.75,2.9,3400,-1.75,2.8,31.25,65,25,69
19,4,25,21.9,24.95,-0.1,1700,25.15,26.45,1700,320,5100,3.6,3.7,1700,-2,3.65,30.6,321,35,771
43,12,45,22.1,20.9,-0.2,1700,20.95,21.95,1700,325,3400,4.7,4.85,5100,-2.45,4.65,29.77,237,53,148
149,12,209,25.59,18.3,1.8,1700,17.85,18.4,1700,330,1700,6,6.25,3400,-2.75,6,29.27,693,64,568
78,29,130,25.58,15.05,1.2,1700,14.75,15.15,1700,335,1700,7.75,8,3400,-2.6,8,29.74,249,32,205
586,142,1587,25.64,12.2,0.85,1700,11.95,12.3,1700,340,1700,9.85,10.2,1700,-3.35,10,29.35,1077,49,700
406,159,1463,25.88,9.8,0.65,1700,9.5,9.8,3400,345,1700,12.35,12.7,1700,-3.85,12.15,28.52,465,84,201
2139,98,2611,25.68,7.6,0.2,1700,7.5,7.7,1700,350,1700,15.25,15.7,1700,-4.15,15.15,28.98,509,25,1105
703,9,513,25.98,5.95,0.05,3400,5.8,6,3400,355,1700,18.4,18.9,1700,-4.6,18.25,28.89,103,11,174
1042,12,1524,25.96,4.5,-0.1,3400,4.4,4.5,3400,360,1700,22,23.1,1700,-3.25,23.15,32.95,139,-4,415
182,49,253,25.98,3.35,-0.25,5100,3.3,3.4,5100,365,1700,25.85,26.4,1700,-4.2,26.05,30.92,35,10,44
720,365,1102,26.17,2.5,-0.3,5100,2.45,2.55,6800,370,1700,29.95,30.55,1700,-3.05,31.2,35,31,4,84
230,130,323,26.61,1.9,-0.25,1700,1.85,1.95,5100,375,1700,34.25,34.85,1700,-4.25,34.15,31.49,38,7,57
582,111,555,27.36,1.5,-0.15,13600,1.4,1.45,1700,380,1700,38.65,39.4,1700,-4.5,38.65,32.61,49,8,127
71,4,113,27.24,1.05,-0.35,3400,1.05,1.15,3400,385,1700,43.3,44,1700,-2.95,44.75,39.86,21,9,18
561,36,267,27.75,0.8,-0.3,1700,0.75,0.85,1700,390,1700,47,49.8,6800,-,51.25,-,-,-,46
25,2,13,27.67,0.55,-0.3,1700,0.6,0.75,1700,395,6800,51.1,54.85,8500,-,56,-,-,-,15
581,40,316,29.11,0.5,-0.25,51000,0.5,0.55,10200,400,1700,57.55,58.7,1700,-3.4,58.75,44.26,100,31,215
161,55,104,31.61,0.4,-0.25,1700,0.4,0.45,6800,410,1700,67.35,68.35,1700,-2.75,66.8,38.23,2,1,85
