CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
2,1,1,45.62,284,-29,400,273.05,277.3,400,1200,1200,0.7,0.8,400,-0.35,0.8,33.59,71,35,102
-,-,-,-,-,-,800,230.15,243.8,800,1240,400,0.8,1,400,-0.45,1,30.02,5,2,24
-,-,-,-,-,-,800,210.3,223.2,800,1260,800,0.85,0.95,1600,-0.45,0.9,27.25,687,436,452
1,1,1,43.25,211.15,-150.75,1600,190.75,204.9,800,1280,800,1.2,1.55,400,-0.1,1.5,27.21,82,2,79
174,4,7,-,178,-30.8,400,176.85,178.7,400,1300,3600,2,2.05,1600,-0.15,2,26.18,906,191,691
-,-,-,-,-,-,1600,152.15,166.45,1600,1320,800,2.55,2.7,800,0.2,2.65,25.11,858,152,421
26,24,38,-,139,-69,400,138.75,141.1,400,1340,800,3.65,3.75,1600,0.55,3.65,24.24,1084,259,626
-,-,-,-,-,-,1200,115.3,125.4,1200,1360,2400,5.15,5.3,400,1.25,5.3,23.73,1378,259,843
46,19,35,16.88,103.5,-26.55,400,100.35,104.8,400,1380,800,7.4,7.6,800,2.25,7.6,23.25,1726,269,655
570,65,188,18.01,86.8,-28.1,400,86.7,87.85,400,1400,1200,10.55,10.7,800,3.25,10.6,22.68,3795,292,1817
101,7,56,19.2,72.1,-26.35,400,71.05,72.7,400,1420,400,14.85,15.05,400,5,14.95,22.39,2606,298,813
243,81,373,18.62,56.85,-25.75,400,57.35,58,400,1440,400,20.6,20.7,400,6.95,20.6,22.1,3185,239,939
560,195,1982,19.28,45.2,-22,400,44.65,45.25,800,1460,400,27.85,28.5,400,9.35,28,22,4974,340,1143
1402,1176,5955,19.22,34.3,-19.9,400,34,34.5,4800,1480,400,36.9,37.65,400,11.95,37.3,22.06,7267,622,1456
3222,1503,9522,19.28,25.45,-16.8,400,25.25,25.45,800,1500,400,48,48.4,400,14.5,48,21.99,5864,163,2559
3592,1524,7918,19.22,18.2,-13.85,400,18.05,18.3,1600,1520,400,60.35,61.15,400,17.6,60.8,22.23,1545,29,1310
2180,424,5027,19.26,12.75,-11,400,12.65,12.8,7600,1540,400,74.4,75.5,1200,20.95,75.85,23.05,569,-51,712
1632,627,4907,19.49,8.9,-8.35,1200,8.7,8.95,1600,1560,400,89.95,95.9,5200,22.9,90.85,23.07,343,45,797
1014,358,3140,19.66,6.05,-6.3,800,6.05,6.2,1600,1580,400,107.4,109.45,400,24.55,107.7,23.75,33,8,268
3648,922,7056,20.11,4.25,-4.45,3200,4.2,4.35,2400,1600,400,125.25,127.3,400,26.4,125.6,24.79,116,11,1252
565,72,1437,20.43,2.9,-3.25,2400,2.85,2.95,800,1620,4000,141,150.95,4400,0.7,117.5,-,-,-,145
791,117,1239,21.04,2.1,-2.25,800,2,2.1,3200,1640,400,162.85,169.8,400,30.55,164.05,28.58,16,8,211
678,327,842,21.56,1.5,-1.65,1200,1.5,1.55,800,1660,4000,181.3,189,400,-,152,-,-,-,91
657,-11,806,22.49,1.2,-1.05,14000,1.15,1.2,1600,1680,4000,200.35,208.55,400,-,169.1,-,-,-,84
337,180,483,22.7,0.8,-1,2000,0.75,0.8,6000,1700,400,221.05,224.45,400,31.5,223,34.74,5,5,200
427,-64,262,24.31,0.8,-0.6,2400,0.75,0.8,400,1720,400,240.65,244.75,400,21,229,-,1,1,324
-,-,-,-,-,-,400,0.5,0.9,400,1760,800,273.45,288.1,1600,-,250,-,-,-,2
389,17,108,28.55,0.5,-0.15,800,0.5,0.55,3200,1800,400,319.65,324.05,400,36.35,321.35,43.65,13,6,529
20,1,1,35.02,0.35,0.05,4000,0.3,0.7,400,1920,800,432.6,441.35,400,32.6,438.1,49.66,5,3,152
