CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,22904,28.5,29.9,9816,110,32720,0.1,0.4,3272,-,0.6,-,-,-,1
18,3,14,32.26,19.6,-2.8,6544,19.45,19.7,3272,120,13088,0.45,0.6,3272,-0.65,0.5,36.19,123,21,129
7,7,10,30,14.95,-16.4,6544,15,15.25,3272,125,6544,1,1.05,9816,-0.9,1,34.86,296,113,251
67,62,77,37.11,11.7,0.2,3272,11,11.35,3272,130,3272,1.9,2,3272,-1.15,2,34.61,209,94,226
80,53,110,32.63,7.75,0.05,3272,7.65,7.9,3272,135,3272,3.6,3.65,6544,-1.4,3.65,34.79,241,29,260
740,271,871,33.69,5.25,-0.15,3272,5.2,5.3,6544,140,3272,6,6.1,6544,-1.6,6.1,35.66,491,134,427
469,39,512,34.42,3.4,-0.15,6544,3.35,3.45,13088,145,3272,9.1,9.3,3272,-1.6,9.25,36.77,21,8,80
-,-,-,-,-,-,-,-,-,-,147.85,9816,10.3,12.55,13088,-,10.85,-,-,-,11
613,119,636,35.28,2.15,-0.05,26176,2.1,2.2,111248,150,3272,12.8,13.3,6544,-1.6,12.8,36.85,23,11,187
124,-7,83,35.84,1.3,-0.1,3272,1.25,1.35,3272,155,3272,16.9,17.15,3272,0.35,16.4,32.88,2,1,8
-,-,-,-,-,-,-,-,-,-,157.7,9816,18.7,20.45,22904,-,18.3,-,-,-,16
252,27,82,36.83,0.8,-,13088,0.8,0.85,3272,160,6544,21.35,21.55,3272,0.9,21.4,39.77,6,-,110
38,13,18,37.97,0.5,0.05,6544,0.45,0.55,22904,165,3272,25.9,26.2,3272,-1.75,25.25,-,6,-,23
115,-,36,38.74,0.3,-0.1,71984,0.25,0.35,6544,170,6544,30.15,31.55,16360,-,32.2,-,-,-,33
5,-,-,-,1,-,3272,0.05,0.3,3272,177.45,-,-,-,-,-,-,-,-,-,-
82,3,5,44.22,0.2,-,13088,0.15,0.2,22904,180,3272,40.3,41,3272,-0.95,40.9,56.43,1,-1,157
20,-,-,-,0.1,-,3272,0.05,0.3,6544,197.15,-,-,-,-,-,-,-,-,-,-
