CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,24375,20.15,21.35,9750,117,19500,0.1,0.15,39000,-0.05,0.1,28.54,6,-,27
57,-,-,-,20.55,-,19500,17.15,18.4,9750,120,24375,0.15,0.2,34125,-0.05,0.15,26.61,3,3,18
9,-,2,-,15.7,-3.2,4875,15.6,15.85,4875,122,34125,0.15,0.2,4875,-,0.2,25.38,19,7,94
-,-,-,-,-,-,43875,14.6,15.85,4875,122.5,146250,0.05,0.3,9750,-,-,-,-,-,-
-,-,-,-,-,-,19500,12.8,14.1,19500,124.5,4875,0.15,0.3,29250,-,1.3,-,-,-,1
4,-,-,-,15.55,-,19500,12.4,13.5,19500,125,39000,0.25,0.3,19500,0.05,0.3,23.33,108,14,108
14,-,-,-,12.75,-0.1,4875,10.65,12,19500,127,19500,0.35,0.45,43875,0.05,0.4,21.98,50,33,49
-,-,-,-,-,-,19500,10.05,11.5,48750,127.5,4875,0.35,0.45,4875,-1.65,0.4,21.22,3,2,2
-,-,-,-,-,-,19500,8.25,9.85,19500,129.5,4875,0.5,1.25,19500,-,-,-,-,-,-
61,48,62,15.61,8.3,-2.15,4875,8.2,8.45,4875,130,9750,0.7,0.75,58500,0.15,0.7,20.73,201,24,171
18,10,26,16.3,6.65,-2.25,4875,6.65,6.8,4875,132,24375,1.05,1.1,48750,0.25,1.05,20.27,86,28,138
17,17,25,17.2,6.35,-5.65,4875,6.25,6.45,4875,132.5,9750,1.15,1.2,14625,0.35,1.2,20.5,36,19,61
8,8,22,16.94,4.85,-8.7,4875,4.85,5,4875,134.5,9750,1.7,1.8,4875,0.5,1.75,20.2,30,11,27
116,52,216,17.88,4.65,-1.2,4875,4.55,4.65,14625,135,14625,1.9,1.95,39000,0.55,1.95,20.37,529,93,405
137,41,176,17.85,3.45,-1,4875,3.4,3.45,14625,137,9750,2.7,2.75,14625,0.65,2.7,19.96,348,65,220
81,51,220,17.95,3.2,-1,19500,3.1,3.2,4875,137.5,9750,2.95,3,9750,0.75,2.95,20.06,217,8,105
710,21,365,17.8,2.25,-0.85,78000,2.2,2.3,24375,139.5,14625,4,4.1,9750,0.95,4.05,20.35,232,-,554
765,153,1454,17.79,2.05,-0.85,14625,2.05,2.1,68250,140,4875,4.35,4.4,14625,1,4.4,20.72,512,17,574
258,57,422,18.27,1.45,-0.6,4875,1.4,1.45,9750,142,4875,5.7,5.8,4875,1.2,5.75,21.21,69,10,142
181,43,232,18.2,1.3,-0.6,4875,1.3,1.35,24375,142.5,4875,6,6.15,4875,1.1,6.05,20.91,26,14,47
62,22,77,19.11,0.95,-0.35,14625,0.85,0.95,9750,144.5,4875,7.55,7.75,4875,1.55,7.75,22.68,18,14,23
592,36,620,18.64,0.8,-0.4,219375,0.75,0.85,107250,145,4875,7.95,8.15,4875,1.2,7.95,21.24,87,25,341
274,13,152,19.18,0.55,-0.25,136500,0.5,0.6,19500,147,4875,9.7,9.85,4875,1.65,9.9,24.24,20,6,349
71,43,77,19.31,0.5,-0.25,4875,0.5,0.55,24375,147.5,4875,10.15,10.3,4875,-0.55,10.35,24.61,14,10,10
27,4,16,19.97,0.35,-0.15,180375,0.3,0.4,34125,149.5,4875,11.95,12.15,4875,0.7,11.95,23.7,16,8,8
549,68,326,19.81,0.3,-0.15,390000,0.3,0.35,48750,150,4875,12.4,12.65,4875,1.9,12.65,26.59,55,26,141
184,64,162,20.25,0.2,-0.1,9750,0.2,0.25,4875,152,4875,14.3,14.5,4875,0.95,13.45,-,10,1,38
-,-,-,-,-,-,34125,0.15,0.25,43875,152.5,19500,14.2,15.4,19500,-,-,-,-,-,-
-,-,-,-,-,-,19500,0.15,0.25,58500,154.5,19500,15.95,17.45,19500,-,-,-,-,-,-
182,6,137,22.16,0.15,-0.05,897000,0.1,0.2,175500,155,4875,17.2,17.5,4875,1.8,17.4,30.76,6,-,371
70,-1,13,22.48,0.1,-0.05,39000,0.1,0.15,78000,157,9750,18.6,19.8,19500,-0.35,16.9,-,-,-,21
4,4,6,22.94,0.1,-1.95,292500,0.05,0.15,82875,157.5,9750,18.85,20.35,24375,-,-,-,-,-,-
184,82,139,26.96,0.15,0.05,19500,0.1,0.15,287625,160,9750,21.6,22.85,43875,-,20.35,-,-,-,66
40,14,14,29.49,0.1,0.05,34125,0.05,0.1,297375,165,19500,26.6,27.8,19500,-0.35,24.85,-,-,-,182
