CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,3500,111.7,118.6,3500,580,875,0.15,0.95,6125,-,-,-,-,-,-
-,-,-,-,-,-,3500,92,98.6,3500,600,875,0.55,0.95,875,-0.05,0.9,29.24,10,7,34
1,1,1,30.3,79.95,-88.65,3500,72.75,79.5,1750,620,875,1.1,1.25,1750,-0.25,1.25,25.62,95,37,76
-,-,-,-,-,-,1750,63.45,70.1,1750,630,875,1.65,2,875,-4.65,1.7,24.53,11,8,8
-,-,-,-,-,-,1750,54.3,59.2,2625,640,875,2.3,2.45,875,-0.1,2.35,23.53,118,54,80
-,-,-,-,-,-,4375,45.65,51.3,4375,650,875,3.4,3.5,1750,-0.05,3.4,22.88,257,66,190
-,-,-,-,-,-,1750,37.25,43.15,1750,660,875,4.95,5,875,0.35,5,22.51,213,27,295
2,2,5,16.05,31.3,-46.25,875,31.75,32.75,875,670,875,6.95,7.25,875,0.5,7.2,22.18,252,35,216
32,14,40,18.4,25.5,-6.25,875,25.25,25.8,875,680,875,10.05,10.3,875,1.2,10.25,22.07,261,54,380
86,54,186,18.52,19.4,-5.6,875,19.4,19.85,875,690,875,13.95,14.2,14000,1.95,14.25,22.13,330,112,350
433,203,744,18.91,14.55,-4.9,875,14.5,14.7,875,700,875,18.85,19.3,875,2.75,19.5,22.65,531,66,882
439,78,466,18.98,10.45,-4.25,875,10.5,10.85,875,710,875,24.05,25.35,875,4.1,25.9,23.58,107,-2,225
671,132,758,19.09,7.3,-3.45,875,7.45,7.6,875,720,875,31.35,32.15,875,4.8,32.45,23.76,116,-,476
632,27,404,19.6,5.2,-2.4,2625,5.15,5.3,875,730,875,39.15,39.8,875,5.05,39.6,23.83,21,-2,378
536,74,512,19.96,3.6,-1.7,1750,3.55,3.65,2625,740,875,46.15,48.2,875,6.2,48.2,25.29,21,-3,149
595,152,839,20.53,2.55,-1.2,4375,2.5,2.6,875,750,875,56.25,57.05,875,6.5,57.6,27.63,16,1,245
409,85,351,21.09,1.8,-0.8,875,1.8,1.85,1750,760,2625,63.2,66.55,875,9.35,66.85,29.41,2,-2,186
126,-,113,22.1,1.4,-0.5,875,1.25,1.4,875,770,875,74.85,75.95,875,7.45,76.25,31.21,5,3,91
228,65,166,22.64,1,-0.4,1750,1,1.05,2625,780,875,84.4,85.35,875,3,79.95,-,5,2,78
50,-,-,-,1.25,-,1750,0.6,1,875,790,3500,91.65,98.4,3500,0.25,88,-,-,-,8
836,44,218,24.65,0.65,-0.2,3500,0.65,0.7,5250,800,875,102.5,105.75,875,8.35,105.3,37.32,8,1,405
33,-1,3,24.93,0.45,-0.3,2625,0.4,0.6,1750,810,1750,110.3,117.65,4375,-,98.15,-,-,-,23
46,-3,6,25.66,0.35,-0.1,2625,0.25,0.35,3500,820,1750,120.15,127.45,4375,-,113.5,-,-,-,9
99,-,-,-,0.25,-,3500,0.25,0.4,1750,840,1750,140.35,146.95,3500,-,133,-,-,-,223
8,-,-,-,0.1,-,875,0.2,0.5,1750,860,1750,160.25,167.2,4375,-,152,-,-,-,20
