CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,1,1,-,19.3,-35.8,3450,19.05,20.1,10350,120,13800,0.4,0.5,20700,-0.15,0.45,38.37,85,31,101
2,2,3,-,15.25,-12.3,3450,14.9,15.3,3450,125,13800,0.85,0.95,6900,0.05,0.95,37.93,88,10,67
6,3,11,-,11.05,-3.3,3450,10.9,11.15,3450,130,6900,1.75,1.8,3450,0.2,1.85,37.8,145,-1,215
25,22,37,17.08,7.5,-2.5,3450,7.55,7.75,3450,135,6900,3.3,3.4,13800,0.45,3.35,38.29,184,40,335
210,116,382,23.57,4.95,-1.45,10350,4.95,5.05,6900,140,10350,5.65,5.75,6900,0.9,5.75,40.52,372,18,304
558,197,654,27.03,3.2,-1,3450,3.2,3.25,17250,145,6900,8.75,8.9,3450,1.2,8.9,43.51,107,31,267
1356,155,989,28.92,1.95,-0.65,6900,1.9,1.95,3450,150,3450,12.4,13.15,10350,1.65,12.5,46.24,37,10,362
443,98,358,29.4,1.05,-0.45,3450,1.05,1.1,6900,155,3450,16.5,16.85,6900,2,16.85,51.59,6,5,102
545,32,302,30.71,0.6,-0.25,144900,0.55,0.6,24150,160,3450,20.95,21.4,3450,2.1,21.35,56.56,9,1,140
112,17,47,32.1,0.35,-0.2,106950,0.3,0.35,3450,165,3450,25.7,26.05,3450,1.15,25.3,55.9,4,-1,33
193,5,53,34.6,0.25,-0.1,24150,0.2,0.25,6900,170,3450,30.3,30.95,3450,-,28,33.91,1,1,157
-,-,-,-,-,-,-,-,-,-,180,13800,39.65,40.9,13800,-,37.95,-,-,-,79
