CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
5,5,9,-,18.15,-24.8,4250,18.25,18.45,4250,100,17000,0.25,0.35,8500,-0.05,0.3,37.73,33,21,28
-,-,-,-,-,-,4250,15.4,16.45,17000,102.5,170000,0.1,0.5,4250,-1.1,0.4,35.71,1,1,1
1,1,1,-,13.25,-25.5,4250,13.3,13.95,12750,105,21250,0.55,0.65,34000,-,0.6,34.77,88,35,100
-,-,-,-,-,-,29750,11,11.95,12750,107.5,4250,0.85,0.9,8500,-1.5,0.9,34.05,4,4,4
15,10,19,22.8,9.55,-0.75,8500,9.35,9.5,4250,110,8500,1.3,1.35,17000,0.1,1.3,33.18,304,70,222
7,7,10,25.61,7.75,-12.8,4250,7.45,7.6,4250,112.5,8500,1.85,1.95,4250,0.3,1.95,33.28,51,31,37
22,22,40,23.79,5.75,-25.2,8500,5.8,5.95,4250,115,12750,2.65,2.75,17000,0.25,2.7,32.64,263,67,244
93,79,198,25.99,4.5,-0.7,8500,4.4,4.5,8500,117.5,4250,3.75,3.85,12750,0.4,3.75,32.77,262,38,64
576,262,2092,26.34,3.3,-0.6,46750,3.25,3.35,46750,120,21250,5.05,5.15,21250,0.6,5.15,33.85,538,42,397
151,45,349,26.62,2.35,-0.5,12750,2.35,2.45,17000,122.5,4250,6.6,6.75,8500,0.75,6.75,34.91,70,-5,48
721,127,875,27.47,1.7,-0.35,17000,1.7,1.75,46750,125,4250,8.35,8.55,8500,0.6,8.4,35.01,69,1,352
209,40,130,28.58,1.25,-0.25,25500,1.15,1.25,8500,127.5,4250,10.3,10.5,4250,1.45,10.65,38.76,11,9,69
926,338,1050,28.84,0.85,-0.2,85000,0.8,0.85,38250,130,21250,12.45,12.6,4250,0.8,12.45,37.83,49,12,411
119,-26,124,29.57,0.6,-0.15,136000,0.6,0.65,17000,132.5,4250,14.7,15,4250,1.55,14.25,35.29,1,1,3
212,49,299,30.75,0.45,-0.1,144500,0.4,0.45,51000,135,4250,17,17.2,12750,0.9,17.1,43.44,5,-,39
4,2,7,32.09,0.35,-0.9,4250,0.25,0.4,4250,137.5,4250,19.35,19.6,4250,1.85,19.05,40.94,1,1,2
772,77,477,32.74,0.25,-0.1,1334500,0.2,0.25,110500,140,4250,21.75,21.95,4250,1.5,22,50.47,9,2,137
5,-,-,-,0.8,-,157250,0.1,0.35,4250,142.5,17000,23.8,25.05,17000,-,-,-,-,-,-
151,5,23,34.9,0.15,-0.05,174250,0.15,0.2,174250,145,17000,26.35,27.4,17000,-,24.9,-,-,-,30
103,-29,40,37.33,0.1,-,191250,0.1,0.15,140250,150,17000,31.25,32.35,17000,-,30.5,-,-,-,51
