CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,3200,69.5,73.25,3200,340,97600,0.05,0.15,8000,-0.2,0.15,29.62,1,1,1
-,-,-,-,-,-,3200,59.65,63.15,3200,350,27200,0.1,0.2,65600,-0.1,0.15,25.73,296,70,242
34,-,1,-,50.5,3.5,1600,50.8,51.3,1600,360,86400,0.15,0.25,17600,-0.3,0.15,21.88,237,61,272
-,-,-,-,-,-,3200,44.9,48.5,3200,365,8000,0.2,0.3,11200,-0.4,0.25,21.63,16,6,25
16,2,14,-,41,7,1600,41.1,41.55,1600,370,48000,0.3,0.35,14400,-0.4,0.35,20.8,533,83,427
28,14,42,-,36.2,7.15,1600,36.3,36.5,1600,375,12800,0.4,0.5,11200,-0.6,0.45,19.62,309,-36,173
128,-22,100,-,31.7,7.15,1600,31.4,31.7,1600,380,32000,0.6,0.65,24000,-0.8,0.65,18.87,2311,-743,1396
120,-8,46,-,27.2,7.5,1600,26.75,26.95,1600,385,16000,0.8,0.85,22400,-1.05,0.8,17.39,1129,-203,784
177,-73,427,-,22.35,6.6,1600,22.15,22.35,1600,390,16000,1.2,1.25,24000,-1.4,1.25,16.96,2518,97,1147
135,-20,499,5.01,17.95,6,1600,17.8,18.05,1600,395,11200,1.75,1.8,22400,-2.05,1.8,16.17,3118,56,636
1309,-768,4969,10.27,13.9,5.1,3200,13.75,13.85,4800,400,1600,2.7,2.75,41600,-2.95,2.7,15.69,8946,-348,2257
1323,-264,8179,10.92,10.2,4,4800,10.15,10.25,6400,405,6400,4.05,4.1,12800,-4,4.05,15.41,6246,138,1697
4197,999,18632,11.46,7.2,2.95,8000,7.15,7.3,8000,410,1600,6.05,6.1,30400,-4.95,6.05,15.54,5699,102,1944
1374,70,8841,12.36,5.1,2.2,1600,5.05,5.1,11200,415,1600,8.8,8.9,1600,-5.8,8.8,16.14,963,10,681
3985,1148,9362,13,3.5,1.55,1600,3.5,3.55,14400,420,1600,12.2,12.35,1600,-6.6,12.15,17,523,21,1050
1389,703,4187,13.68,2.4,1.15,142400,2.4,2.45,3200,425,1600,16.1,16.25,1600,-6.8,16.1,18.35,154,33,200
1935,844,4290,14.52,1.7,0.8,12800,1.7,1.75,65600,430,1600,20.35,20.6,1600,-7.5,20.35,19.82,173,-10,453
921,756,1835,15.28,1.2,0.55,16000,1.2,1.25,14400,435,1600,24.75,25,1600,-6.8,24.75,21.21,33,6,73
1246,592,2667,15.99,0.85,0.35,16000,0.85,0.9,32000,440,1600,29.45,29.6,1600,-8.1,29.45,23.11,35,2,130
109,69,212,16.94,0.65,0.3,9600,0.6,0.7,4800,445,1600,34.15,34.4,1600,-10.1,31.9,14.28,1,1,43
1183,505,2764,17.45,0.45,0.1,113600,0.45,0.55,81600,450,1600,38.85,39.2,1600,-8.4,38.8,26.08,7,-3,452
85,84,87,18.79,0.4,-0.15,3200,0.35,0.45,8000,455,3200,41.95,45.25,8000,-,50.5,-,-,-,1
388,245,654,19.99,0.35,0.15,17600,0.3,0.35,35200,460,3200,46.6,50.1,6400,-,56.65,-,-,-,11
87,59,221,21.94,0.25,-,16000,0.2,0.25,3200,470,1600,57.95,59,1600,-8.35,57.65,29.93,9,-5,79
97,-10,134,23.1,0.15,-0.1,8000,0.15,0.2,1600,480,1600,67.35,69.15,1600,-7.4,68.25,37.23,10,1,144
