CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,-,-,-,175,-,1250,149.35,157.65,2500,800,625,0.95,1.25,2500,-0.1,1.25,33.78,183,96,137
-,-,-,-,-,-,1250,129.35,139.7,1250,820,625,1,2.3,2500,-18.1,1.3,30.1,5,5,5
-,-,-,-,-,-,1250,110.35,121.6,1250,840,625,2.1,2.5,625,-0.7,2.1,28.95,40,13,20
-,-,-,-,-,-,1250,91.55,101.9,1250,860,625,3.25,3.55,1250,1.2,3.6,28.36,59,27,56
-,-,-,-,-,-,1250,82.5,93.45,1250,870,625,4.1,4.35,625,1.25,4.5,27.81,24,6,22
-,-,-,-,-,-,1250,74.85,84.95,1250,880,625,5.2,5.4,625,3.2,5.5,27.09,14,11,18
-,-,-,-,-,-,1250,65.85,76.5,1250,890,625,6.5,6.85,625,1.85,6.8,26.49,25,14,38
12,1,2,17.19,59.5,-42.55,625,61.3,63.3,625,900,625,8.2,8.5,625,2.4,8.6,26.19,223,8,144
-,-,-,-,-,-,1250,50.1,57.65,625,910,625,10.3,10.75,625,4.55,11,26.14,55,39,45
1,-,-,-,91,-,1250,42.5,50,1875,920,625,13,13.35,625,2.75,13,25.21,93,8,60
4,2,2,21.95,40.25,-37.45,625,39.8,41.45,625,930,625,16,17,625,4.15,16.2,25.08,123,41,92
3,3,4,21.06,33.05,-57.55,625,34.2,34.95,625,940,625,20.1,21.1,625,4.1,20,25.03,111,9,181
106,105,211,22.82,29.35,-27.65,625,28.7,29.3,625,950,1875,21.9,27,6250,5.95,25.2,25.75,465,-2,812
148,142,363,22.31,23.8,-6.95,625,23.85,24.45,625,960,625,29.5,30.5,625,5.4,29.4,25.06,335,83,135
279,239,432,22.63,19.8,-7.3,625,19.75,20.3,625,970,625,35,36.35,625,8.75,36.85,26.79,73,-3,62
247,122,306,22.37,15.75,-6.85,625,16,16.5,625,980,625,41.3,42.8,625,7.75,42.2,26.19,24,3,133
116,4,87,22.52,12.7,-5.7,625,12.85,13.25,625,990,625,47.4,49.75,625,2.8,40.55,17.99,4,-2,45
571,47,447,22.61,10.1,-5.15,625,10.1,11.7,1250,1000,3750,52.9,58.5,625,9.25,57.05,27.57,30,5,359
75,43,114,22.59,7.85,-4.55,625,8,8.65,625,1010,1875,61,68.1,3125,-,47.95,-,-,-,4
154,-11,236,23.27,6.55,-3.45,625,6.4,6.8,625,1020,1250,65.85,76,2500,-,62,-,-,-,1
241,110,254,23.45,5.15,-3.2,625,5.1,5.3,625,1030,1250,77.3,84.65,1875,-,65.9,-,-,-,116
100,44,128,23.84,4.15,-2.5,1250,4.1,4.3,625,1040,1250,83.35,93.55,1250,-,68.95,-,-,-,9
550,-7,453,24.34,3.4,-1.85,1250,3.35,3.5,625,1050,1250,94,103.7,1250,-,79,-,-,-,21
74,27,46,24.41,2.6,-1.7,625,2.5,2.7,625,1060,1250,103.1,112.35,1250,-,92.1,-,-,-,10
4,-,1,28.06,3.5,-0.55,625,1.8,2.85,625,1070,1250,111.55,122.05,1250,-,-,-,-,-,-
27,2,6,26.12,2,-1.2,625,1.4,2.65,625,1080,1250,123.25,131.5,1250,-,-,-,-,-,-
2,-,-,-,2.75,-,625,0.45,1.95,625,1090,1250,130.8,141.95,1250,-,-,-,-,-,-
357,120,280,26.57,1.25,-1.1,3125,1.25,1.3,1875,1100,1875,141.35,149.9,625,-,126.5,-,-,-,27
3,-,-,-,6.25,-,625,0.25,2.95,625,1110,1250,150.65,161.8,1250,-,-,-,-,-,-
5,-,-,-,2.85,-,625,0.35,1.2,3125,1120,1250,159.95,170.95,1250,-,-,-,-,-,-
10,-,-,-,1.95,-,3125,0.65,1.55,625,1140,1250,180.95,190.4,2500,-,-,-,-,-,-
-,-,-,-,-,-,1250,0.2,1.5,1250,1160,1250,200.05,210.45,2500,-,-,-,-,-,-
