CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,-,-,-,-,260,63450,0.3,0.4,16450,-0.1,0.4,35.07,142,33,123
-,-,-,-,-,-,9400,41.75,44.45,4700,270,16450,0.6,0.7,11750,-6.7,0.65,32.07,176,81,81
64,13,37,26.25,34.45,0.65,2350,33.4,33.8,2350,280,44650,1.15,1.2,39950,-0.25,1.2,29.94,863,110,707
11,11,17,17.97,29,-22.55,2350,28.9,29.45,2350,285,30550,1.6,1.7,16450,-0.3,1.65,29.03,401,24,129
39,13,35,20.92,24.7,-0.15,2350,24.65,24.95,2350,290,25850,2.25,2.35,7050,-0.25,2.35,28.56,747,77,594
18,17,30,22.05,20.65,-1.85,2350,20.5,20.95,2350,295,11750,3.15,3.25,2350,-0.3,3.2,27.8,423,44,147
331,58,882,22.57,16.9,-0.15,2350,16.85,17.15,2350,300,11750,4.4,4.5,7050,-0.3,4.45,27.52,1935,174,1261
88,44,360,22.79,13.5,-0.25,2350,13.5,13.75,2350,305,2350,6,6.15,2350,-0.35,6.05,27.3,1455,67,470
625,174,2623,23.68,10.8,-0.1,2350,10.7,10.85,4700,310,2350,8.1,8.2,4700,-0.5,8.1,27.31,2851,50,889
999,252,5087,23.95,8.35,-0.15,2350,8.25,8.4,7050,315,2350,10.6,10.75,2350,-0.45,10.65,27.62,1776,127,917
2027,242,5476,24.24,6.35,-0.15,4700,6.25,6.35,2350,320,2350,13.55,13.75,2350,-0.5,13.7,28.25,871,2,1452
1087,115,3890,24.09,4.6,-0.3,14100,4.6,4.7,7050,325,2350,16.75,17.15,2350,-0.45,17,28.62,334,-3,574
2395,495,4589,24.33,3.35,-0.3,4700,3.4,3.45,2350,330,2350,20.55,21.55,4700,-0.3,20.9,29.9,132,12,795
533,29,1133,24.76,2.45,-0.2,14100,2.4,2.5,32900,335,2350,24.45,25.5,2350,1.4,24.7,30.11,16,3,172
2065,63,2854,25.07,1.75,-0.2,21150,1.7,1.8,58750,340,2350,28.75,29.2,2350,-0.25,29.25,32.27,39,10,496
338,122,753,25.73,1.3,-0.1,30550,1.2,1.25,4700,345,4700,32.2,33.55,4700,5.3,33.45,32.63,5,5,5
1983,270,1984,25.57,0.85,-0.2,28200,0.85,0.9,47000,350,4700,37.6,38.2,2350,1.3,38.1,34.37,118,2,1489
498,345,879,26.42,0.65,-0.15,30550,0.65,0.7,39950,355,9400,41.5,43.05,2350,7.4,42,31.72,13,8,8
832,101,953,27.25,0.5,-0.1,23500,0.5,0.55,51700,360,2350,47,47.85,2350,-0.45,47.55,37.73,29,17,400
107,24,143,27.55,0.35,-0.15,30550,0.35,0.45,9400,365,4700,50.45,54.05,9400,-,-,-,-,-,-
524,144,517,28.8,0.3,-0.1,209150,0.3,0.35,110450,370,2350,56.25,57.85,2350,-,58,45.86,1,1,97
623,145,283,31.69,0.25,-0.05,324300,0.2,0.25,25850,380,-,-,-,-,-,-,-,-,-,-
