CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2000,67.65,71.95,2000,420,1000,0.7,0.9,2000,-12.75,0.65,30.54,31,18,18
2,-,-,-,75,-,7000,48.85,52.95,3000,440,2000,1.75,1.85,1000,0.3,1.85,29.31,130,87,134
17,17,32,17.99,42.35,-40.35,1000,41.5,42.6,1000,450,1000,2.8,2.9,2000,-10.25,2.85,28.33,142,98,98
9,9,38,21.26,34.1,-41.85,1000,33.25,34.3,1000,460,2000,4.4,4.6,4000,0.95,4.5,27.86,147,30,107
22,20,39,18.74,25.05,-9,1000,26.1,26.75,1000,470,1000,6.8,7.15,1000,1.8,7.05,27.83,303,62,207
150,37,99,23.29,20.2,-7.5,1000,19.75,20.25,2000,480,2000,10.4,10.7,1000,2.65,10.55,27.92,780,322,1290
168,141,340,24.1,15,-6.45,1000,14.65,15.05,2000,490,2000,15.1,15.4,1000,3.65,15.25,28.42,947,51,283
708,342,1204,24.47,10.7,-5.65,2000,10.6,10.8,2000,500,2000,20.85,21.2,1000,4.95,21.15,29.33,549,94,535
704,215,748,24.97,7.5,-4.35,1000,7.35,7.6,1000,510,1000,27.45,28.05,1000,5.9,27.7,29.86,194,17,220
739,190,670,25.57,5.2,-3.15,2000,5.15,5.35,2000,520,1000,35.15,35.7,1000,7.75,35.75,31.9,185,-31,403
671,75,1022,26.52,3.7,-2.1,4000,3.65,3.7,101000,530,1000,43.3,44.25,2000,8.2,44.15,33.69,56,-,387
452,37,558,27.34,2.6,-1.45,1000,2.5,2.6,2000,540,1000,52.05,53.2,2000,8.95,52.6,34.71,207,-12,195
431,119,340,28.03,1.8,-1.1,2000,1.75,1.9,2000,550,1000,61.3,62.3,2000,9.35,61.9,37.16,184,-82,190
303,-44,205,28.73,1.25,-0.85,3000,1.2,1.35,2000,560,1000,70.65,71.9,1000,15.05,73.3,45.02,22,7,69
60,17,74,29.94,0.95,-0.6,2000,0.9,1.05,1000,570,4000,78.5,83.05,2000,-,67.95,-,-,-,3
109,29,70,30.46,0.65,-0.4,2000,0.65,0.75,1000,580,1000,89.6,91.45,1000,8.65,86.15,-,5,5,9
2,1,1,37.02,1.2,-1.5,1000,0.55,0.8,1000,590,2000,98.3,102.7,4000,-,-,-,-,-,-
135,-6,36,33.96,0.5,-0.4,5000,0.45,0.55,1000,600,1000,109.3,110.5,1000,9.55,106.1,-,4,2,57
-,-,-,-,-,-,1000,0.25,0.75,1000,610,2000,117.85,122.4,4000,-,-,-,-,-,-
26,3,9,37.93,0.45,-0.15,2000,0.3,0.4,3000,620,2000,127.7,132.2,4000,-,-,-,-,-,-
