CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1350,148.55,158.45,2700,880,675,0.3,0.65,2700,-,-,-,-,-,-
5,-,-,-,165,-,1350,128.9,138.95,1350,900,3375,0.75,0.95,1350,-0.9,0.85,25.37,251,245,248
1,-,-,-,170,-,3375,110,120.9,2700,920,1350,1.45,1.7,3375,-17.9,1.65,25.01,158,127,127
-,-,-,-,-,-,3375,100.6,110.6,2700,930,6750,1.45,2.85,1350,-,2.5,-,-,-,9
1,-,-,-,130,-,3375,91.15,101.2,2700,940,1350,2.55,2.75,675,-22.1,2.6,23.72,99,62,62
4,-,-,-,106.35,-,3375,82.35,92.15,2700,950,675,3.45,3.6,1350,-0.15,3.45,23.43,223,121,146
4,-,-,-,96.65,-,6750,72.6,83.1,2700,960,675,4.45,4.55,675,-0.1,4.5,23.09,34,27,28
-,-,-,-,-,-,1350,65.05,74.5,2700,970,675,5.8,6.05,1350,-,5.9,22.87,160,49,82
7,-,15,19.29,60.55,-14,1350,57.7,61.9,675,980,675,7.4,7.65,675,-,7.45,22.42,135,48,117
18,6,11,21,54.1,-16.25,675,51.5,54.1,675,990,675,9.5,9.8,675,0.3,9.6,22.24,176,59,163
164,5,65,19.61,45.45,-8.45,675,44.85,46.3,675,1000,675,12.25,12.95,675,0.7,12.4,22.26,540,110,528
11,3,24,21.51,40.7,-13.55,675,37.45,39.85,675,1010,675,15.3,15.8,675,1,15.5,22.07,115,32,97
44,21,82,20.73,33.7,-6.75,675,32.25,33.7,675,1020,675,19.05,19.6,1350,2.25,19.3,22.02,358,48,224
127,99,393,20.12,27.45,-6.9,675,27.4,28.1,1350,1030,675,23.6,24.2,675,1.35,23.65,21.94,391,61,217
403,124,748,20.5,23,-6.9,675,22.25,23.1,1350,1040,675,28.6,30.55,675,1.95,28.5,21.8,310,22,140
307,125,549,20.57,18.8,-6,1350,18.05,18.85,1350,1050,1350,34.25,35,1350,2.95,34.65,22.25,203,19,135
409,54,471,20.24,14.75,-6,675,14.7,15.2,675,1060,675,40.35,44.45,675,4.05,40.9,22.34,140,15,321
501,412,758,20.66,12.1,-5.05,20250,10.15,11.95,675,1070,675,46.9,50.8,2700,5.8,48.3,23,38,-1,402
369,92,484,20.52,9.35,-4.6,675,8.55,9.5,10125,1080,675,54.35,55.95,675,5.25,55.75,23.32,33,17,125
107,20,140,20.89,7.55,-3.7,675,7.2,7.55,675,1090,675,62.05,65.3,675,4.9,63.75,23.82,17,9,16
1365,74,751,21.16,6,-3.35,675,5.9,6.15,675,1100,675,70.4,73.2,675,11,72,24.26,29,19,145
122,20,63,21.29,4.65,-2.65,1350,4.6,4.7,675,1110,4050,75.15,84.4,1350,-,65.55,-,-,-,28
142,-60,312,21.62,3.7,-2.25,1350,3.6,3.7,675,1120,1350,83.95,92.1,675,-,72.8,-,-,-,6
34,8,57,22.26,3.1,-1.7,675,2.85,2.95,675,1130,675,93.35,101.8,675,-,81.15,-,-,-,5
86,42,122,22.32,2.35,-1.4,675,2.2,2.4,2025,1140,2700,102.4,112.9,2700,-,-,-,-,-,-
84,-1,76,22.6,1.85,-1.2,675,1.7,1.9,675,1150,2700,110.85,122,3375,-,99,-,-,-,4
79,33,77,23.02,1.5,-0.8,675,1.2,1.6,675,1160,2700,121.45,131.2,2700,-,-,-,-,-,-
148,120,169,23,1.1,-0.55,1350,1,1.3,675,1170,1350,131.1,140.95,3375,-,-,-,-,-,-
13,-2,3,24.49,1.15,-2.2,675,0.6,1.1,675,1180,1350,140.85,151.35,1350,-,-,-,-,-,-
249,86,186,23.96,0.55,-0.7,1350,0.5,0.65,675,1200,1350,160.3,170.25,3375,-,146,-,-,-,2
1,-,-,-,4.95,-,2025,0.25,0.85,675,1220,1350,180.5,191,1350,-,-,-,-,-,-
