CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2500,107.1,113.65,2500,520,5000,0.15,0.9,1250,-,-,-,-,-,-
-,-,-,-,-,-,2500,87.4,93.65,2500,540,5000,0.4,0.6,1250,-0.3,0.4,26.6,22,14,34
-,-,-,-,-,-,12500,77.3,84,2500,550,1250,0.85,0.9,2500,0.2,0.85,27.34,9,-,28
-,-,-,-,-,-,5000,68.85,74.45,5000,560,1250,1.2,1.4,1250,0.3,1.3,26.68,71,41,50
1,1,1,31.53,64.8,-33.7,5000,59.25,63.9,3750,570,2500,1.9,2.05,1250,0.05,1.8,25.48,68,38,61
1,1,1,30.41,56.05,-92.05,8750,50.25,54.75,3750,580,1250,3,3.05,1250,0.25,3.05,25.78,111,26,166
-,-,-,-,-,-,8750,42.05,46,2500,590,2500,4.35,4.5,2500,0.75,4.55,25.43,56,19,71
11,8,14,22.78,36.55,-20.95,1250,36.45,37.25,1250,600,1250,6.35,6.7,1250,0.8,6.5,24.92,175,12,171
17,17,25,22.85,29.4,-39,1250,29.4,30,1250,610,1250,9,9.35,1250,1.55,9.35,24.83,244,8,178
42,26,56,22.76,23,-8.3,1250,23.05,23.65,1250,620,1250,12.6,13,1250,2.3,13.15,24.97,143,16,118
167,39,180,22.8,17.6,-5.55,1250,17.75,18.25,1250,630,1250,17.05,17.6,1250,2.7,17.45,24.63,202,46,147
164,47,226,23.29,13.45,-4.35,1250,13.3,13.75,1250,640,1250,22.5,23.05,1250,3.15,23.05,24.91,76,14,130
470,41,331,23.34,9.85,-4.05,1250,9.7,9.9,1250,650,1250,28.7,29.3,1250,4.35,29.5,25.26,62,18,170
149,10,152,23.34,7,-3.4,2500,6.95,7.2,1250,660,1250,35.8,36.55,1250,5.85,37.15,26.37,4,3,46
94,16,89,23.54,4.95,-2.85,1250,4.85,5.05,2500,670,3750,42.7,46.8,1250,-,36.75,-,-,-,9
210,53,264,23.77,3.45,-2.1,1250,3.35,3.5,3750,680,5000,51.2,54.85,3750,-,45,-,-,-,27
91,54,214,23.8,2.3,-1.45,1250,2.35,2.45,2500,690,1250,60.9,62.3,1250,16.75,61.85,27.8,15,7,15
427,-42,322,24.75,1.75,-1.15,1250,1.65,1.75,2500,700,5000,68.05,72.55,2500,-,64.05,-,-,-,22
37,6,35,25.05,1.2,-1.1,1250,1,1.2,1250,710,1250,79.5,80.45,1250,12.5,80.35,29.91,11,4,4
127,6,157,25.82,0.9,-0.65,2500,0.7,0.95,1250,720,5000,86.7,92.95,5000,-,76,-,-,-,3
-,-,-,-,-,-,6250,0.35,1.1,1250,730,2500,96.25,102.4,6250,-,-,-,-,-,-
50,-2,27,27.59,0.55,-0.25,1250,0.5,0.55,1250,740,7500,105.55,112.35,5000,-,88.5,-,-,-,8
-,-,-,-,-,-,-,-,-,-,800,5000,164.9,170.15,1250,-,145.5,-,-,-,3
