CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,5875,84,90.8,4700,420,1175,1.55,1.65,2350,-0.65,1.5,41.47,135,48,152
-,-,-,-,-,-,5875,65.3,72.4,2350,440,3525,3.15,3.35,1175,-0.55,3,39.68,208,-12,129
-,-,-,-,-,-,11750,56.75,62.25,3525,450,2350,4.35,4.45,1175,-0.3,4.25,39.11,270,15,146
2,-,-,-,60,-,11750,48.35,53.85,3525,460,1175,5.85,6.15,1175,-0.05,5.9,38.55,241,4,204
1,1,1,43.72,47.8,-89.3,5875,40.4,45.45,3525,470,1175,7.95,8.3,1175,0.3,8.25,38.49,260,5,481
21,-4,69,33.78,36.05,-5.6,1175,35.05,35.95,1175,480,1175,10.4,11.05,1175,0.6,10.65,37.35,439,58,526
64,17,127,33.42,29.35,-5.9,1175,28.85,29.5,1175,490,1175,14.25,14.7,2350,1.1,14.45,37.73,442,27,158
298,30,714,33.58,23.7,-5.05,1175,23.25,23.85,1175,500,1175,18.45,18.95,1175,1.65,18.9,37.98,1225,56,606
433,118,1089,33.67,18.8,-4.5,1175,18.35,18.95,1175,510,1175,23.45,24,1175,2.1,23.8,37.8,469,16,218
840,16,1941,33.98,14.8,-3.75,1175,14.35,15,2350,520,1175,28.4,30,1175,2.8,29.7,38.15,281,4,525
822,269,1071,34.45,11.6,-3.3,1175,11.25,11.65,1175,530,1175,35.8,36.8,1175,3.2,36.4,38.79,90,12,50
272,20,523,34.69,8.9,-2.75,1175,8.65,9.05,1175,540,1175,43.2,44.1,1175,4.05,43.8,39.7,20,2,44
554,-,803,35.04,6.8,-2.4,1175,6.65,6.85,1175,550,1175,48.95,51.9,1175,3.95,50.75,38.76,17,4,12
189,11,182,35.88,5.35,-1.8,1175,5,5.4,1175,560,3525,56.7,61.75,3525,-,51,-,-,-,1
100,21,128,36.38,4.1,-1.65,1175,3.95,4.05,2350,570,4700,64.45,70.6,5875,-,55.5,-,-,-,1
190,34,175,36.77,3.1,-1.35,4700,3,3.15,3525,580,4700,73.2,79.55,5875,-,81.65,-,-,-,15
31,10,76,37.43,2.4,-0.95,2350,2.35,2.55,1175,590,4700,82.1,88.85,5875,-,89,-,-,-,1
430,79,314,38.93,2.05,-0.85,2350,1.85,1.95,1175,600,4700,92,97,1175,-,89.5,-,-,-,11
1,1,1,39.28,1.55,-2.15,1175,1.35,1.9,1175,610,4700,101.2,107.85,4700,-,-,-,-,-,-
116,43,78,39.5,1.15,-0.5,2350,1.05,1.2,2350,620,2350,110.55,117.5,11750,-,-,-,-,-,-
13,-,1,42.64,1.25,-,1175,0.75,1.1,1175,630,2350,120.35,127.35,5875,-,-,-,-,-,-
26,6,13,41.15,0.75,-0.4,1175,0.8,0.9,1175,640,2350,130.1,137.1,4700,-,-,-,-,-,-
11,-1,2,41.28,0.55,-0.2,1175,0.4,0.75,1175,650,2350,139.85,146.6,4700,-,-,-,-,-,-
-,-,-,-,-,-,4700,0.2,1.6,1175,660,2350,149.75,157.4,4700,-,-,-,-,-,-
11,-,-,-,2.2,-,3525,0.15,0.45,5875,680,4700,169.3,176.7,4700,-,-,-,-,-,-
