CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,400,1135.85,1224.2,400,5000,500,3.05,27,500,-,-,-,-,-,-
-,-,-,-,-,-,400,1038.9,1130.7,400,5100,2000,0.1,32.8,800,-,-,-,-,-,-
-,-,-,-,-,-,400,942.5,1053.3,400,5200,-,-,48.15,300,-,-,-,-,-,-
-,-,-,-,-,-,400,840.3,951.1,400,5300,100,13,55.15,4700,-,47.3,-,-,-,58
-,-,-,-,-,-,400,778.75,839.4,1000,5400,100,41.15,43.05,100,4.7,42.7,39.85,68,17,69
-,-,-,-,-,-,400,675.65,785.4,400,5500,-,-,87.65,400,-,-,-,-,-,-
3,-,-,-,710,-,700,605.65,653.45,300,5600,100,64.6,67,100,9.15,66.6,37.45,262,118,231
-,-,-,-,-,-,500,508.1,625.35,300,5700,300,43.85,139.55,1000,-,-,-,-,-,-
-,-,-,-,-,-,100,450,552.05,300,5800,2000,105,162.55,400,-,-,-,-,-,-
6,1,4,32.85,395.45,-46.3,100,358.05,405.5,100,5900,100,88,166.05,400,-,-,-,-,-,-
56,12,49,32.7,331.75,-52.5,100,327.35,337.8,100,6000,100,159.45,182.75,400,7.55,160.5,33.45,155,49,279
27,21,60,32.12,271.5,-48.15,100,271.7,275.9,200,6100,100,200.35,206.95,100,22.15,202.85,33.33,80,9,36
460,6,535,32.13,222,-42.9,100,219.25,222,100,6200,200,246.05,274,500,16.6,246.9,32.55,143,4,148
661,-4,539,31.97,177.9,-33.55,100,155,177.85,200,6300,100,300.8,308.75,200,9.45,312.1,33.81,42,7,442
215,66,351,31.72,139.7,-34.15,100,138.45,141.9,100,6400,300,348.75,390.35,200,-,-,-,-,-,-
269,45,417,32.04,111.4,-27,100,107.3,111.6,100,6500,100,430.85,443.1,100,63.75,444.75,34.22,12,8,34
192,7,185,32.09,86.5,-22.65,100,80.1,87.15,100,6600,300,493.7,533.15,700,-,-,-,-,-,-
-,-,-,-,-,-,100,40.35,133.05,100,6700,300,552,680.45,100,-,-,-,-,-,-
-,-,-,-,-,-,-,-,115.05,200,6800,100,612.55,770.5,100,-,608.05,-,-,-,14
-,-,-,-,-,-,-,-,101,200,6900,400,705.55,847.5,400,-,-,-,-,-,-
-,-,-,-,-,-,-,-,89.8,100,7000,400,805.3,938.7,500,-,-,-,-,-,-
74,73,145,35.43,22.25,-72.95,400,22,23.55,100,7200,400,1005.3,1066.6,400,-,-,-,-,-,-
