CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
7,7,7,-,526.85,-84.3,175,523.35,545.05,175,3300,175,8.4,12.6,175,-2.25,11.75,34.86,300,28,57
2,-,-,-,508,-,700,422.65,482.9,700,3400,175,12,39.15,1050,-,-,-,-,-,-
-,-,-,-,-,-,700,372.15,443.1,700,3450,2100,9,47.8,175,-,-,-,-,-,-
5,5,6,31.34,361.35,-231.45,175,347.15,373.55,350,3500,175,23.45,30.25,350,-2.7,28.5,31.23,343,51,92
-,-,-,-,-,-,875,287.8,350.8,525,3550,2100,19,61.7,700,-,-,-,-,-,-
-,-,-,-,-,-,525,239.25,308.5,700,3600,175,27.7,72.65,700,-,-,-,-,-,-
-,-,-,-,-,-,700,204.95,274.85,700,3650,-,-,86.15,700,-,-,-,-,-,-
1,-,-,-,270,-,700,170.5,238.8,700,3700,-,-,104.05,175,-,-,-,-,-,-
27,27,43,26.7,165.7,-229.4,175,157.75,173.45,175,3750,525,70.35,108.9,1225,-,-,-,-,-,-
54,48,149,26.09,135.05,-66.55,175,135.05,141.55,175,3800,175,97.45,115.1,175,-294.35,111.4,28.69,58,7,7
87,77,236,26.63,112.75,-95.05,175,108.25,114.35,350,3850,350,131.85,137,175,5.2,136.25,28.66,286,45,99
169,94,626,25.89,88,-48.05,175,86.45,90.65,350,3900,175,158.35,165.65,175,7.65,163.45,28.48,383,40,86
52,35,176,26.04,70.45,-49.55,175,66.15,70.35,175,3950,175,189.25,194.35,175,-179.7,187.45,26.86,34,20,20
699,543,1560,25.49,53,-39.45,350,50.05,54.15,175,4000,1050,201.95,229.55,175,20.85,222.9,27.21,482,361,524
-,-,-,-,-,-,-,-,85.85,700,4050,525,236.1,314.7,350,-,-,-,-,-,-
228,185,563,25.95,32.15,-27,175,30.5,33.2,175,4100,525,287.45,316.65,1225,-,-,-,-,-,-
-,-,-,-,-,-,-,-,69.15,175,4150,700,299.5,406.5,700,-,-,-,-,-,-
-,-,-,-,-,-,-,-,61.35,175,4200,700,349.15,446.45,700,-,-,-,-,-,-
-,-,-,-,-,-,-,-,53.1,175,4250,700,398.8,489.35,700,-,-,-,-,-,-
-,-,-,-,-,-,-,-,48.05,175,4300,700,448.45,534.6,875,-,-,-,-,-,-
-,-,-,-,-,-,-,-,54,175,4350,700,499.85,562.1,175,-,-,-,-,-,-
-,-,-,-,-,-,175,5,34.2,350,4400,700,546.75,608.95,350,-,-,-,-,-,-
3,2,4,29.75,5,-11.5,175,3.15,7.2,175,4500,350,646.1,687.75,700,-,-,-,-,-,-
