CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,800,323.65,341.35,1600,1640,7200,0.15,1.4,800,-,-,-,-,-,-
-,-,-,-,-,-,800,285.8,301.85,400,1680,3600,0.35,1.15,400,-,-,-,-,-,-
-,-,-,-,-,-,800,246.2,262.3,800,1720,400,0.75,1,2400,-,2.1,-,-,-,19
-,-,-,-,-,-,800,225.7,242.7,800,1740,400,0.9,1.8,400,-1.2,1.45,22.89,18,9,14
-,-,-,-,-,-,800,206.9,223.15,800,1760,400,1.3,1.45,800,-2.45,1.35,20.9,434,250,329
-,-,-,-,-,-,800,186.5,203.7,800,1780,400,1.9,2.2,400,-2.65,2.05,20.71,312,1,63
60,-,-,-,168.15,0.95,4800,172.5,183.2,3600,1800,800,2.6,2.8,1200,-3,2.8,20.15,581,118,440
35,35,66,16.08,156.6,-48.25,400,153.65,164.7,800,1820,400,3.4,3.55,400,-3.75,3.45,19.13,203,65,119
60,30,77,16.24,138,10.15,2800,132.15,140.25,400,1840,400,4.65,4.8,400,-4.35,4.75,18.6,358,-5,149
20,20,33,16.21,119.9,-55.8,400,113.3,122.7,400,1860,400,6.35,6.5,800,-5.25,6.4,17.98,570,-26,247
75,4,41,16.02,102.4,6.7,800,96.65,103.75,400,1880,800,8.75,9,400,-6.1,9.1,17.71,1061,-33,277
281,-6,437,15.9,85.95,7.2,400,85.75,88.1,400,1900,400,12,12.3,400,-7.65,12.45,17.29,2490,-153,847
162,71,404,15.71,70.55,5.5,400,70.5,71.75,400,1920,2000,16.65,17,400,-9.7,16.7,16.82,1781,128,1102
163,65,692,15.67,56.85,2.85,400,56.8,57.85,400,1940,400,22.2,23.8,400,-11.2,22.8,16.65,2775,310,605
1118,458,3382,15.63,44.75,1.15,800,44.5,45.2,400,1960,800,29.9,30.6,400,-14.55,29.85,16.25,3051,264,759
1150,399,5113,15.6,34.4,-0.75,400,32.85,34.5,400,1980,800,38.95,40.9,400,-14.75,39.5,16.28,1931,361,921
2127,-690,8378,15.59,25.8,-1.95,800,25.4,25.85,800,2000,400,50.4,51.95,400,-16.05,51.25,16.52,2295,249,1547
881,-477,4066,15.48,18.65,-2.55,400,18.6,19.1,400,2020,400,63.3,69.4,1600,-16.2,64.35,16.68,468,50,252
958,-1172,6262,15.62,13.5,-3.35,1200,13.15,13.8,400,2040,400,77.55,84.95,400,-19.25,78.95,16.91,342,57,491
270,42,1584,15.86,9.75,-3.35,2000,9.75,9.95,400,2060,400,93.4,95.05,400,-10.65,98.45,19.28,75,18,167
262,9,723,16.17,7.05,-3.1,400,6.9,7.15,400,2080,400,110.5,112.1,400,-17.1,111.55,17.49,89,26,71
2054,-354,3906,16.56,5.15,-2.8,1600,5.05,5.2,800,2100,400,128.4,130.15,800,-14.25,129.3,17.98,80,-15,510
123,117,314,16.89,3.7,-2.1,400,3.6,3.75,400,2120,400,146.95,154.35,400,2.1,148.5,19.35,52,24,27
272,69,454,17.42,2.8,-1.9,400,2.6,2.9,4400,2140,400,165.05,174.6,800,-15,167.35,20.22,67,43,75
136,134,208,17.72,2,-2.25,800,2.05,2.25,1200,2160,400,184.65,186.85,400,-16.65,186,20.61,11,9,72
49,-5,121,18.89,1.85,-1.35,400,1.4,2.15,800,2180,800,197.7,213.3,1600,-,159,-,-,-,1
688,220,1053,19.2,1.35,-1.1,800,1.3,1.45,1600,2200,400,222.15,227.75,400,-21.2,217,-,4,-,209
33,2,43,19.7,1.05,-1.8,1600,1.05,1.55,400,2220,800,237.05,252.5,1600,-,-,-,-,-,-
122,28,80,21.82,1.35,-0.55,800,1.35,1.4,5600,2240,800,256.8,273.55,800,-,257,-,-,-,2
103,9,54,22.88,0.9,-0.45,400,0.85,1,2800,2280,800,296.35,312.8,2000,-,305,-,-,-,4
5,2,3,25.41,0.95,-0.15,400,0.75,1,4400,2320,800,336,352.4,2000,-,-,-,-,-,-
-,-,-,-,-,-,1200,0.25,1.25,400,2360,800,375.4,391.1,1600,-,375.25,-,-,-,5
