CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1600,182.55,192.65,800,1000,400,1.95,2.25,400,-2.2,1.85,35.2,231,42,179
-,-,-,-,-,-,800,143.9,156.6,1600,1040,400,3.8,4.25,400,-0.5,4.1,34.35,25,5,5
5,-2,6,-,138.2,4.2,800,127.3,132.65,400,1060,400,5.6,6.25,400,-1.95,6.1,34.23,58,36,47
-,-,-,-,-,-,2800,108.1,119.05,1200,1080,400,8.35,9.45,400,-30.8,7.7,32.65,47,33,33
2,2,5,28.48,106.2,-66.9,800,93.1,101,1200,1100,400,11.55,11.95,400,-2.25,11.75,33.32,158,16,160
-,-,-,-,-,-,2800,76.8,86.75,1200,1120,400,15.7,16.4,400,-2.65,15.5,32.54,63,-5,52
-,-,-,-,-,-,800,62.75,71.1,1200,1140,400,21.2,22.05,400,-2.85,21.2,32.59,122,25,53
-,-,-,-,-,-,800,49.85,58.15,1200,1160,800,28.25,29.35,400,-3.85,28.25,32.69,336,29,100
46,27,175,23.59,43.4,-2.7,400,42.15,43.75,400,1180,400,37.75,38,1200,-2.05,37.8,33.62,639,62,149
452,146,1210,24.39,34,-2.25,400,33.3,34.4,800,1200,400,48.25,49.35,400,-2.15,48.75,34.53,336,28,347
202,22,255,25.54,26.9,-2.05,400,26.25,26.8,400,1220,800,60.35,61.4,400,-2.25,60.9,35.36,20,-1,38
294,43,239,26.08,20.55,-1.8,400,19.7,20.85,400,1240,800,71.3,77.95,400,-5.95,67.35,31.1,2,1,37
110,41,169,26.02,14.85,-2.45,400,15,15.9,400,1260,400,88.75,90.7,400,5.05,88.65,37.09,9,2,15
65,7,100,26.73,11.25,-1.75,400,11.4,12.05,400,1280,800,100.5,109.3,2800,-,-,-,-,-,-
568,37,477,27.86,8.9,-0.7,400,8.6,9.1,400,1300,400,120.15,126.25,400,-5.8,112.2,31.65,2,2,83
18,6,34,28.39,6.65,-0.9,400,6.45,6.85,400,1320,1600,132.7,144.9,1600,-,109,-,-,-,3
50,1,41,29.81,5.55,-0.35,400,4.9,5.1,400,1340,3600,154.35,162.3,1600,-,145.3,-,-,-,15
27,5,30,30.37,4.2,-0.05,800,3.65,3.9,400,1360,1600,169.4,181.15,1600,-,-,-,-,-,-
130,48,104,31.03,2.25,-0.25,3200,2.25,2.3,800,1400,1600,207.1,219.8,1600,-,206.55,-,-,-,14
