CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,-,-,-,-,600,3400,0.2,0.6,6800,-,1.8,-,-,-,1
12,-,-,-,155.25,-,8500,136.2,144.7,3400,720,1700,1.2,1.35,1700,-0.3,1.25,34.59,9,3,9
1,-,-,-,145,-,8500,117,125.9,6800,740,1700,2,2.2,1700,0.2,2.15,33.76,18,6,91
9,-,-,-,123.45,-,8500,107.5,116.25,1700,750,3400,2.45,2.65,1700,0.05,2.6,32.8,99,56,82
5,-,-,-,115.25,-,17000,98.2,107.3,6800,760,3400,3.1,3.25,1700,0.75,3.1,31.73,12,4,59
2,-,-,-,109.35,-,17000,89.05,97.8,6800,770,1700,3.9,4.35,1700,0.95,3.95,31.21,3,1,2
5,-1,6,21.96,83.2,-22.8,1700,82.65,84.25,1700,780,1700,4.9,5.05,1700,0.75,4.95,30.6,23,8,51
5,3,3,23.27,74.6,-7.4,1700,73.9,75.5,1700,790,1700,6.2,6.5,1700,1,6.25,30.11,20,6,17
59,-1,15,23.85,66.25,-11.75,1700,65.75,67.2,1700,800,1700,7.8,8.1,1700,0.95,8,29.88,159,3,166
4,-,2,28.6,61.4,-7.1,1700,56.9,60.4,1700,810,1700,9.8,10.25,1700,1.1,9.7,29.1,69,28,62
16,-,7,26.74,52.6,-11.5,1700,50.4,51.8,1700,820,1700,12.15,12.4,1700,1.25,12.4,29.14,98,22,89
27,4,7,24.99,44.15,-16.35,1700,43.65,44.8,1700,830,1700,15.1,15.6,1700,0.9,15,28.51,72,8,64
18,-,6,25.1,37.75,-6,1700,37.25,38.35,1700,840,1700,18.6,19.05,1700,1.75,18.95,28.85,130,2,108
49,2,47,25.2,31.95,-7.05,1700,31.65,32.4,1700,850,1700,22.65,23,1700,1.9,22.85,28.57,174,4,148
88,22,252,25.32,26.8,-5.65,1700,26.45,27.2,1700,860,1700,27.3,28.05,1700,2.65,27.75,28.75,303,11,145
164,27,580,25.38,22.2,-5.3,1700,21.95,22.45,1700,870,1700,32.65,33.35,1700,3.05,33.25,28.99,186,18,118
298,60,781,25.44,18.2,-5.3,3400,18.05,18.65,1700,880,1700,38.6,40.8,1700,3.25,39.05,29.01,86,1,122
117,9,113,25.54,14.8,-4.5,1700,14.65,15.1,1700,890,1700,45.05,45.9,1700,7.5,45.1,28.77,13,-,31
528,85,479,25.67,11.95,-3.95,3400,11.8,12.25,1700,900,1700,52,53.3,1700,4.2,52.9,29.9,46,20,136
90,13,89,26.16,9.85,-3.15,1700,9.35,9.85,1700,910,1700,58.75,60.55,1700,8.45,57.55,26.94,4,2,19
177,47,163,26.09,7.7,-2.9,1700,7.35,7.75,1700,920,1700,67.4,69.05,1700,7.95,68.35,30.83,9,1,13
290,207,346,26.18,6.05,-2.95,1700,5.75,6.05,3400,930,3400,69.8,79.65,6800,-,65,-,-,-,3
177,18,95,26.17,4.65,-2.6,1700,4.65,4.8,1700,940,6800,78.65,87.9,6800,-,80.4,-,-,-,3
56,24,63,26.69,3.8,-1.85,3400,3.6,3.8,1700,950,6800,88.6,96.9,6800,-,-,-,-,-,-
311,35,159,26.49,2.8,-1.85,1700,2.85,3,3400,960,1700,100.6,105.7,1700,17.3,99.9,27.59,4,1,7
130,35,120,27.32,1.8,-1.25,3400,1.65,1.85,5100,980,6800,116.05,125.3,8500,-,97.25,-,-,-,2
