CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2000,113.55,120.85,2000,440,10000,0.05,1.55,40000,-,-,-,-,-,-
-,-,-,-,-,-,2000,94.15,100.3,2000,460,30000,0.15,0.95,3000,-,-,-,-,-,-
-,-,-,-,-,-,2000,74.45,82.35,2000,480,30000,0.35,2.05,1000,-,-,-,-,-,-
-,-,-,-,-,-,4000,65,71.2,2000,490,1000,0.1,1.3,1000,-,-,-,-,-,-
77,10,23,-,58.95,6.1,1000,57.45,58.15,1000,500,1000,1.2,1.25,4000,-0.75,1.15,25.43,285,64,125
7,6,8,-,49.2,-17.05,1000,48.05,48.75,1000,510,2000,1.7,1.85,2000,-0.95,1.65,23.94,87,32,65
13,13,32,14.59,39.95,-79.95,1000,39,39.6,1000,520,1000,2.6,2.7,4000,-1.2,2.65,23.22,116,22,172
34,9,35,15.4,31,3.4,1000,30.55,31.15,1000,530,1000,4,4.1,2000,-1.6,4.05,22.29,374,71,380
72,46,135,15.95,23,3.45,1000,22.8,23.4,1000,540,1000,6.25,6.4,1000,-2.35,6.35,21.85,313,14,575
315,90,655,17.2,16.75,2.7,1000,16.65,16.8,2000,550,1000,9.65,9.8,5000,-3.1,9.9,21.96,608,138,858
910,178,1140,17.78,11.6,2,2000,11.05,11.75,2000,560,1000,14.3,14.55,1000,-3.95,14.3,21.73,326,73,594
904,115,924,18.07,7.6,1.3,1000,7.35,7.65,2000,570,2000,20.15,20.5,1000,-5.1,20,21.83,70,9,399
1044,107,789,18.22,4.7,0.7,1000,4.65,4.75,1000,580,1000,27.05,27.8,1000,-5.25,27.5,23.29,26,6,670
526,17,415,18.8,2.95,0.4,1000,2.9,3,2000,590,1000,35.2,36.15,3000,-6.25,34.75,22.96,15,3,198
1418,173,676,19.6,1.9,0.2,2000,1.8,1.9,2000,600,1000,43.95,44.7,1000,-5.95,44,25.53,19,8,950
177,25,131,20.28,1.2,-,7000,1.2,1.3,24000,610,1000,53.3,54.2,1000,-6.85,52.4,25.3,13,7,50
207,19,59,21.18,0.8,-,3000,0.7,0.85,1000,620,1000,62.8,64.15,1000,-7,62.5,29.08,12,6,101
159,115,149,22.13,0.55,0.25,1000,0.55,0.6,1000,630,2000,70.15,75.55,4000,-,76.3,-,-,-,45
137,21,37,23.67,0.45,-,7000,0.35,0.45,3000,640,2000,79.95,85.1,2000,-,86.4,-,-,-,78
145,-2,9,22.94,0.2,-0.15,2000,0.2,0.3,4000,650,2000,89.5,94.5,4000,-,96.5,-,-,-,152
17,-,-,-,0.2,-,70000,0.1,0.25,3000,660,2000,98.85,105,5000,0.3,108,-,-,-,32
51,-,-,-,0.1,-,4000,0.1,0.3,12000,680,2000,118.75,124.2,4000,-,124,-,-,-,79
3,-,-,-,0.1,-,30000,0.1,0.15,1000,700,2000,138.5,144.05,4000,-,141,-,-,-,22
