CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1400,132.7,142.1,1400,720,28700,0.05,1.3,700,-,-,-,-,-,-
3,-,-,-,122,-2.7,1400,113.05,121.55,1400,740,700,0.6,0.85,700,-0.1,0.9,28.17,9,5,9
-,-,-,-,-,-,2800,93.65,102.6,7000,760,700,1.05,1.35,700,-0.5,1.1,24.93,55,45,60
3,3,3,-,77.55,-121.55,1400,74.85,82,2800,780,700,2.15,2.35,1400,0.15,2.4,24.67,92,31,36
3,3,3,15.89,71.05,-52.8,1400,65.6,74.85,1400,790,1400,3,3.15,700,0.3,3.2,24.07,145,68,96
10,2,3,14.25,61.2,-18.8,700,59.5,63.55,1400,800,700,4.15,4.3,700,0.25,4.4,23.76,400,95,265
2,2,2,11.63,51.15,-57.15,1400,50.05,55.45,1400,810,700,5.65,6.1,700,0.55,5.85,23.28,53,19,42
2,1,3,18.59,45.5,-34.5,1400,39.1,48.7,1400,820,700,7.4,8.3,700,0.15,7.65,22.75,157,47,155
-,-,-,-,-,-,4900,33.5,39.5,1400,830,700,9.25,10.65,700,0.4,10.6,23.03,65,27,101
55,2,23,17.74,30.1,-5,700,28,32.05,1400,840,700,13.4,14.3,700,0.45,13.7,22.76,132,20,181
116,14,79,18.97,25.05,-3.6,1400,22.55,28.1,1400,850,16100,16.15,18.1,700,0.3,17.7,22.77,207,6,353
71,67,280,19.47,20.2,-4.1,1400,18.05,20.45,700,860,700,22.2,23.15,700,0.2,22.55,22.95,756,86,303
194,152,593,19.81,16,-2.4,700,15.4,16,2100,870,1400,25.65,29.5,2100,1.7,29.75,24.8,196,33,180
317,95,351,19.95,12.35,-2.45,1400,11,13,700,880,2100,33.1,36.9,1400,0.55,34.65,23.72,181,5,258
285,37,189,20.9,10.1,-1.65,1400,9.6,10.35,700,890,2100,40.55,44.15,1400,3.8,44.05,26.76,19,-1,125
1546,537,1395,21.21,7.8,-1.45,2100,7.65,7.95,700,900,2100,48.2,53.15,1400,3.45,51.75,27.61,40,4,452
233,50,222,21.83,6.2,-0.85,700,6.1,7.6,14000,910,2100,56.65,62.25,1400,17.6,59.6,28.22,7,2,4
323,36,410,22.15,4.75,-0.55,700,4.7,4.85,700,920,1400,64.05,71.15,1400,6.7,68.45,29.68,3,-1,57
128,26,260,22.62,3.7,-0.25,1400,3.6,3.8,700,930,700,73.6,78,700,1.4,73.9,25.95,8,1,11
121,23,138,22.9,2.8,-0.4,700,2.8,3.05,1400,940,2800,81.95,89.3,1400,17.6,85.1,30.28,4,2,6
309,33,277,23.55,2.25,-0.25,700,2.25,2.4,2800,950,700,92.2,98.5,700,9,97,35.59,9,-3,48
93,51,82,24.43,1.9,0.05,700,1.8,2,700,960,7000,99.25,108.1,2800,-,80,-,-,-,2
5,-,-,-,2.15,-,7000,1,2,700,970,7000,109.1,118,2800,-,83,-,-,-,3
47,33,59,26.01,1.35,-0.35,1400,1,1.5,700,980,7000,118.75,127.25,3500,-,84.3,-,-,-,1
5,1,3,26.1,1,-0.65,7000,0.65,1.2,700,990,1400,129.65,136.4,2800,-,-,-,-,-,-
574,105,556,26.57,0.8,-0.3,5600,0.8,0.85,700,1000,2100,137.7,146.25,700,-0.05,136.2,-,-,-,46
-,-,-,-,-,-,7000,0.45,6.95,2800,1010,1400,148.3,158.2,7000,-,-,-,-,-,-
10,-,-,-,1.45,-,7000,0.35,2.8,700,1020,1400,158.95,166.65,3500,-,-,-,-,-,-
3,-,-,-,0.8,-,7000,0.25,1.3,2100,1040,1400,177.15,186.05,2800,-,171,-,-,-,2
1,-,-,-,0.6,-,700,0.3,1,1400,1060,2800,198.75,206.15,3500,-,-,-,-,-,-
