CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
7,-,-,-,239.2,-,900,195.65,211.2,900,1000,450,2,2.2,450,-0.65,2.2,37.7,49,26,40
-,-,-,-,-,-,2250,156.95,170.9,1800,1040,450,2.95,5,450,-12.1,3.7,34.97,3,1,1
-,-,-,-,-,-,1800,139.7,152.85,1800,1060,450,1.95,7,450,-,-,-,-,-,-
-,-,-,-,-,-,900,123.1,137.5,4500,1080,450,7.5,8.1,450,-13.45,8.05,34.85,43,33,33
1,1,1,48.86,134,-51.5,900,105.75,116.5,450,1100,450,10.35,11,450,-0.4,10.95,34.33,199,86,138
-,-,-,-,-,-,900,90.4,100.45,1350,1120,900,12.9,14.85,450,0.65,14.8,33.95,120,39,117
1,1,1,32.22,87.05,-72.6,900,75.9,85.65,1350,1140,450,15.75,19.75,450,1.55,20.05,33.93,61,8,46
-,-,-,-,-,-,900,62.25,72.05,1350,1160,450,21.8,26.2,450,-10.8,26.05,33.57,43,18,18
11,10,21,27,54.2,-72.35,450,56,57.75,450,1180,450,31.65,33.75,450,2.35,34.4,34.06,477,25,137
118,63,471,28.46,45.05,-12,900,45.2,47.8,450,1200,450,40.75,42.75,450,3,43.35,34,632,68,182
52,37,143,28.07,34.95,-12.85,900,34.3,39.25,450,1220,450,49.3,53.55,450,5,54.5,34.57,55,20,37
180,65,520,28.91,28.1,-10.35,450,24.3,29.35,450,1240,900,62.6,65.65,450,6,66.25,34.68,77,-8,131
94,2,287,29.02,21.6,-9.35,450,22.3,22.85,450,1260,450,76.55,79.3,450,5.85,79.9,35.33,15,-1,61
68,18,79,29.68,17,-7.75,450,17.15,17.9,450,1280,450,92.3,94.3,450,7.35,94.7,36.1,11,4,52
516,109,563,30.15,13.15,-6.9,450,13.1,13.9,450,1300,1350,107.4,110.25,450,4.5,106.65,33.66,27,7,300
47,15,46,30.1,9.65,-5.6,900,10,10.65,450,1320,450,121.95,133.25,900,-,114,-,-,-,6
36,36,41,30.56,7.35,-59.9,450,7.65,8.2,450,1340,900,138.65,151.35,900,-,99.9,-,-,-,14
23,5,24,31.12,5.65,-4.1,450,5.75,6.35,450,1360,900,156.4,169.65,1800,-,129.5,-,-,-,13
10,10,14,31.41,4.2,-51.15,450,3.95,4.9,450,1380,900,174.5,186.9,900,-,-,-,-,-,-
123,-3,105,31.91,3.2,-2.4,450,3.15,3.5,450,1400,450,196.9,200,450,12.45,201.4,45.93,7,-5,50
-,-,-,-,-,-,2700,0.35,5.35,18000,1420,4500,210.05,227.45,1800,-,-,-,-,-,-
6,-,-,-,5.65,-0.05,2700,0.35,3.85,1350,1440,900,229.2,245.2,900,-,-,-,-,-,-
2,-,2,35.45,1.45,-1.55,450,0.75,1.1,450,1480,900,269.35,284.3,2250,-,-,-,-,-,-
-,-,-,-,-,-,9000,0.15,9.15,18000,1520,1800,310.85,330.15,1800,-,-,-,-,-,-
