CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,40158,49.35,52.2,44620,165,-,-,0.55,8924,-,-,-,-,-,-
10,-,-,-,49.95,-,22310,44.85,46.85,17848,170,53544,0.15,0.25,13386,-0.1,0.2,42.54,71,18,45
6,-,-,-,48.5,-,22310,39.8,42.25,26772,175,544364,0.05,0.35,13386,-,0.05,-,-,-,1
-,-,-,-,-,-,17848,37.45,39.25,17848,177.5,71392,0.05,0.35,4462,-,-,-,-,-,-
14,1,1,50.16,39.85,1.45,4462,35.65,36.4,4462,180,8924,0.3,0.4,8924,-0.05,0.35,37.66,32,30,31
-,-,-,-,-,-,22310,32.45,34.4,17848,182.5,4462,0.15,0.45,4462,-3.9,0.4,36.37,1,1,1
2,-,-,-,32.8,-,17848,30.2,32,17848,185,8924,0.35,0.5,4462,-,0.5,35.72,10,5,16
-,-,-,-,-,-,40158,27.8,29.6,17848,187.5,4462,0.35,0.7,4462,-5.2,0.55,34.11,5,5,5
2,-,-,-,27.95,-,40158,25.45,27.5,17848,190,8924,0.65,0.7,8924,-0.05,0.7,33.61,49,25,157
-,-,-,-,-,-,17848,22.8,26.15,17848,192.5,4462,0.55,1.25,26772,-,-,-,-,-,-
5,-,-,-,24,-,22310,20.95,22.95,17848,195,13386,1.05,1.15,40158,-0.1,1.1,32.5,50,14,81
4,2,7,-,19.7,10.4,8924,19.7,20,4462,197.5,4462,1.4,1.45,8924,-0.05,1.5,32.91,34,18,34
98,-6,41,-,17.6,-1.85,4462,17.55,17.9,4462,200,13386,1.75,1.8,8924,-0.1,1.75,31.77,311,47,334
5,1,6,33.68,18.85,-1.2,8924,15.6,16,4462,202.5,8924,2.25,2.35,4462,0.15,2.45,32.94,64,32,55
8,3,15,-,13.7,-1.95,4462,13.75,14.05,4462,205,8924,2.85,2.95,22310,0.1,3,32.64,97,24,253
6,2,13,19.03,12.4,-2.7,4462,11.95,12.3,4462,207.5,8924,3.55,3.65,4462,-,3.6,32.14,28,8,45
172,1,62,16.65,10,-2.05,4462,10.4,10.55,4462,210,13386,4.4,4.5,8924,0.05,4.45,32.33,384,6,492
24,4,40,20.44,8.95,-1.6,4462,8.95,9.2,4462,212.5,4462,5.4,5.6,4462,0.3,5.65,33.47,56,6,40
232,67,317,21.64,7.65,-1.55,4462,7.65,7.8,4462,215,4462,6.6,6.7,4462,0.25,6.7,33.47,514,18,458
125,48,227,22.41,6.45,-1.45,4462,6.4,6.6,4462,217.5,4462,7.85,8.05,4462,0.6,8.15,34.58,163,40,68
1314,269,1356,23.06,5.4,-1.4,13386,5.4,5.5,4462,220,4462,9.25,9.45,4462,0.4,9.4,34.45,479,45,573
141,13,158,23.47,4.45,-1.25,8924,4.4,4.55,8924,222.5,4462,10.85,11,4462,0.75,11,35.27,50,-11,31
321,87,843,23.68,3.6,-1.15,13386,3.6,3.7,13386,225,4462,12.35,12.65,4462,0.6,12.8,36.49,45,10,109
326,280,439,23.95,2.9,-0.95,13386,2.85,2.95,8924,227.5,4462,14.15,14.4,4462,0.65,14.5,36.95,18,-,250
573,119,752,24.12,2.3,-0.9,182942,2.25,2.35,17848,230,4462,16.05,16.3,4462,1.4,16.4,37.9,29,4,69
77,31,68,23.7,1.7,-0.95,13386,1.75,1.9,4462,232.5,4462,18,18.35,4462,1,18.3,38.54,14,2,24
448,321,515,24.4,1.4,-0.7,26772,1.35,1.45,8924,235,4462,20,20.35,4462,3.6,20.3,39.34,13,6,8
37,24,41,24.34,1.05,-0.7,8924,1.05,1.15,4462,237.5,8924,21.6,23.65,17848,-15.45,20.45,30.41,2,2,2
383,10,382,24.89,0.85,-0.55,4462,0.85,0.9,22310,240,4462,24.55,24.85,4462,0.35,23.95,38.35,16,2,10
58,7,26,25.53,0.7,-0.5,8924,0.65,0.75,8924,242.5,4462,26.85,27.2,4462,-17.55,22.55,-,6,4,4
120,32,99,25.85,0.55,-0.3,40158,0.5,0.6,8924,245,17848,28.35,30.3,17848,-,26.7,-,-,-,2
180,40,118,26.67,0.35,-0.3,142784,0.35,0.4,35696,250,17848,32.95,35.3,17848,-,26.05,-,-,-,1
52,44,47,28,0.25,-0.2,8924,0.2,0.3,13386,255,8924,38.05,40,22310,-,-,-,-,-,-
