CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,600,851.25,907.45,300,4200,150,2.15,6.2,150,-1,6,37.3,1,1,2
1,-,-,-,675,-,750,653.8,710.7,300,4400,150,4.2,7.45,150,-8.15,6.85,30.86,8,-,3
-,-,-,-,-,-,750,561.95,599.75,300,4500,300,11.8,13.5,300,-3.3,11.8,30.49,118,51,66
13,-,-,-,669,-,750,465.6,507.05,300,4600,150,15.6,21.1,150,-6.45,16,28.62,65,12,73
9,-,-,-,460.1,-,750,380.5,415.9,150,4700,150,27.5,31.95,150,-0.9,31.4,29.87,105,19,140
1,-,-,-,348,-,300,300.45,339.8,300,4800,150,49.5,51.65,150,1.35,51.35,30.31,142,35,112
5,-,-,-,280,-,2400,230.3,271.6,300,4900,150,77.3,79.7,150,1.85,75.5,30.08,204,32,86
29,5,39,15.27,196.35,-16.25,150,184.7,207.8,300,5000,150,115.15,118.85,150,9.8,117,31.63,432,47,275
103,13,254,16.55,135.95,-25.6,150,133.2,144.8,150,5100,300,162.25,168.7,150,12.6,165.65,32.77,231,57,173
259,81,569,19.08,100,-17.75,150,96.55,98.5,150,5200,150,224,227.6,150,12.2,221.2,33.66,130,41,148
314,-36,393,20.35,69.55,-15,150,66.2,68.9,150,5300,150,281,297.5,150,8.65,284.6,34.61,12,2,101
262,44,457,21.27,47,-12.85,150,45.05,47.35,300,5400,450,355.3,375.85,150,21.15,370.45,38.34,14,5,82
535,235,1224,22.44,32.65,-9.95,150,30.7,32.8,150,5500,450,435.3,460.15,150,27.65,460.85,42.2,10,5,58
179,59,194,22.83,20.55,-10.4,150,20.55,21.3,150,5600,150,542.2,554.7,300,31.1,545.9,44.52,9,2,13
163,115,272,23.56,13.5,-7,150,12.05,14.95,150,5700,300,598.5,661.5,300,-,-,-,-,-,-
119,44,104,24.6,9.45,-5.75,150,6.2,11.3,150,5800,300,692.75,758.8,300,-,-,-,-,-,-
374,167,498,26.81,5.05,-4.6,150,4.55,5,600,6000,300,889.6,946.45,750,-,688,-,-,-,9
