CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,1,1,-,610,-119.25,350,606,636.7,350,3000,525,1.1,1.3,350,-1.9,1.1,28.61,17,1,55
-,-,-,-,-,-,350,507,538.7,350,3100,3500,1.4,2.3,175,-1.2,2.3,27.05,16,14,35
54,1,7,-,422.6,42.9,175,417.1,425.15,175,3200,175,2,2.6,175,-2.75,2.15,22.16,215,63,87
-,-,-,-,-,-,350,358.95,392,350,3250,175,2.95,3.2,175,-3,3,21.05,225,124,302
11,11,22,-,323.35,-161.2,175,322.85,333.4,175,3300,175,4.5,4.6,1225,-3.95,4.6,20.29,534,168,430
-,-,-,-,-,-,350,260.7,300.45,350,3350,-,-,16.35,175,-,-,-,-,-,-
247,-11,77,-,229.6,35.05,175,229.8,235.5,525,3400,175,9.35,9.95,175,-8.45,9.85,18.37,988,25,675
72,17,90,10.9,187.55,35.85,175,184.8,188.75,175,3450,175,14.45,15.1,175,-11.4,15.35,17.78,1288,105,177
336,15,1412,12.57,145.9,30.7,175,144.95,146.8,175,3500,175,23.05,23.4,350,-16.8,23.25,17.12,2924,25,2266
383,-42,2249,13.04,108.25,23.75,175,108.8,110.7,175,3550,175,36.05,37,175,-22.25,36.7,17.03,2542,329,759
2912,101,9225,13.68,78,19,350,77.4,78.7,175,3600,525,54.1,55.55,525,-28.1,54.9,16.91,4395,405,3142
1497,248,5373,13.96,53.2,13.15,175,52.9,53.7,175,3650,175,77.75,81.45,175,-33.05,80,17.17,939,129,818
2136,211,6514,14.2,34.7,8.75,350,34.35,34.95,175,3700,175,109,111.3,175,-37,111,17.59,771,19,1218
485,232,1777,14.51,21.95,5.3,175,21.55,22,175,3750,175,145.1,157.25,3150,-40.7,147.7,18.33,153,60,178
1477,208,4449,14.89,13.65,3.2,175,13.4,13.7,350,3800,175,187,192.2,350,-39,189.05,19.45,195,105,398
-,-,-,-,-,-,175,5.4,28.1,175,3850,525,222.5,256,700,-,-,-,-,-,-
-,-,-,-,-,-,175,5.05,17.5,175,3900,175,278.1,285.9,350,-49.85,283.15,23.78,128,112,179
142,107,484,16.61,3.55,0.9,175,3.15,3.7,175,3950,350,309.5,343.35,700,-,-,-,-,-,-
1051,266,1961,17.63,2.65,-0.05,350,2.6,2.7,1575,4000,175,372.3,378.35,175,-37.5,382.5,29.22,32,-11,403
34,26,55,18.36,1.85,-0.4,175,1.9,2.9,175,4050,350,410.95,442.8,350,-,461,-,-,-,1
38,34,44,20.08,1.85,0.1,175,1.55,2.85,175,4100,350,457.75,494.35,350,-,-,-,-,-,-
125,19,78,21.75,1.1,-0.3,525,1.05,1.3,175,4200,350,555.1,590.1,700,-,-,-,-,-,-
