CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,850,376,400.9,1700,1520,425,0.15,5.95,12750,-,-,-,-,-,-
-,-,-,-,-,-,850,338.05,357.8,1700,1560,425,0.25,0.95,8500,-,-,-,-,-,-
-,-,-,-,-,-,850,299.05,325.5,2125,1600,850,0.6,8.95,12750,-,-,-,-,-,-
-,-,-,-,-,-,850,259.55,290.75,850,1640,4250,0.35,11.1,12750,-,-,-,-,-,-
-,-,-,-,-,-,850,239,262.25,1700,1660,1700,0.65,5.55,425,-,6,-,-,-,2
-,-,-,-,-,-,2125,220,239.45,1700,1680,425,1.65,4.15,425,-0.5,4,28.79,1,-,13
-,-,-,-,-,-,4250,202.7,223.75,850,1700,425,4.1,4.5,425,-2.05,4.15,26.94,83,46,120
-,-,-,-,-,-,1700,183.2,207.65,850,1720,425,3.8,8.9,12750,-,-,-,-,-,-
-,-,-,-,-,-,1700,164.95,188.05,850,1740,425,6.35,7.2,425,-0.9,7,26.03,37,10,50
-,-,-,-,-,-,850,147.55,166.25,1700,1760,425,8.1,8.9,850,-1.65,8.7,25.31,46,20,69
-,-,-,-,-,-,850,127.15,156.2,850,1780,850,7.3,17.9,425,-,-,-,-,-,-
4,3,4,23.34,128.1,-14.4,850,123.6,126.35,425,1800,425,13.75,16.4,425,-1.5,15.55,25.33,257,8,463
1,-,-,-,110,-,850,98.6,115.6,1275,1820,425,17.4,18.4,425,-,19.3,24.8,68,35,68
14,-,-,-,96,-0.35,850,82.75,98.85,425,1840,850,21.2,23.35,425,-1,24.6,24.7,109,15,72
20,7,17,24.24,86.2,3.8,425,78.3,81.45,425,1860,425,26.6,29.6,425,-1,31,24.65,126,22,107
14,3,27,19.96,64.8,-8.45,425,67,70.15,425,1880,850,32.6,36.8,425,-1.65,37.95,24.36,302,11,155
193,44,631,20.63,54.75,-4.65,425,55.85,57.8,425,1900,425,44.3,45.55,425,-3.65,44.65,23.47,421,72,427
133,26,303,20.55,44.45,-4.6,425,46.05,50.4,850,1920,425,53.75,55.55,425,0.5,58.6,25.32,111,7,131
241,61,286,21.3,37.35,-3.15,425,37.3,39.1,425,1940,850,64.5,66.55,850,-1.45,67.95,24.61,94,10,132
139,51,294,20.49,28.1,-5.4,425,29.75,30.95,425,1960,425,76.65,79.1,425,1.65,83.05,26.01,23,-1,91
269,99,284,21.27,23.4,-3.1,425,23.7,24,425,1980,850,89.3,92.9,425,0.4,95.6,25.81,16,2,114
623,47,818,21.52,18.6,-3.15,425,18.85,20.1,8925,2000,850,103.7,108.95,425,0.2,110.2,26.16,62,33,206
46,15,53,21.96,15,-2.45,425,14.75,17.05,425,2020,425,119.65,130.6,425,-,125.1,-,-,-,51
94,20,63,21.72,11.1,-2.4,425,11.45,13.15,425,2040,1700,132.2,150.5,2125,-,147.5,-,-,-,3
74,15,72,22.11,8.8,-2.15,850,8.95,9.35,425,2060,850,149.75,168.4,1700,-,-,-,-,-,-
102,50,102,22.25,6.7,-2,850,7.1,7.4,425,2080,1700,167.45,186.4,1700,-,-,-,-,-,-
483,92,479,22.92,5.55,-1.65,425,5.55,7.2,850,2100,425,186.65,197.75,425,-0.05,195.45,-,-,-,98
-,-,-,-,-,-,425,1.65,11.8,12750,2120,850,199.65,232.6,1700,-,-,-,-,-,-
43,20,55,23.18,3.15,-2.65,425,3.15,3.55,425,2140,850,218.75,243.1,1700,-,-,-,-,-,-
54,32,43,24.37,2.95,-0.55,425,2.5,3.65,425,2160,1700,242.95,260.5,1700,-,-,-,-,-,-
-,-,-,-,-,-,3400,1.25,9.45,425,2180,1700,261.8,286.2,850,-,-,-,-,-,-
282,129,228,24.31,1.55,-1.45,1275,1.5,2.1,425,2200,850,281.3,300.35,2125,-,293.5,-,-,-,39
-,-,-,-,-,-,1700,1.1,2.7,425,2220,850,299.7,321.15,850,-,-,-,-,-,-
28,-,-,-,2.4,-,425,0.55,2.25,425,2240,850,319.45,339.75,850,-,-,-,-,-,-
32,2,4,28.26,1.2,-0.9,1275,1,3.1,1275,2280,850,358.5,379.2,850,-,-,-,-,-,-
84,30,57,28.92,0.8,-0.6,6375,0.6,0.9,2550,2320,850,397.9,419.5,850,-,399,-,-,-,29
