CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,12000,52.95,56.5,12000,210,3000,0.2,0.9,30000,-,-,-,-,-,-
-,-,-,-,-,-,12000,42.75,46.25,12000,220,3000,0.1,0.95,3000,-,0.75,-,-,-,11
-,-,-,-,-,-,12000,37.9,40.8,12000,225,18000,0.2,0.75,30000,-,0.75,-,-,-,1
-,-,-,-,-,-,12000,33.05,36.7,12000,230,6000,0.55,0.7,9000,-0.5,0.6,30.45,40,17,43
-,-,-,-,-,-,21000,28.5,30.85,9000,235,6000,0.8,0.9,9000,-0.4,0.95,29.82,216,174,183
6,3,7,21.4,24.3,-4.7,3000,25.45,26,3000,240,3000,1.2,1.3,9000,-0.5,1.35,28.47,649,384,500
14,11,19,25.78,20.55,-6.25,3000,21.1,21.65,3000,245,6000,1.9,2,3000,-0.45,2.1,28.08,70,-4,75
79,-,60,26.07,16.7,-1.9,3000,17.15,17.7,3000,250,3000,2.9,3,6000,-0.45,3.05,27.27,498,224,437
28,23,40,27.69,13.65,-5.1,3000,13.55,14,3000,255,6000,4.15,4.3,6000,-0.35,4.25,26.15,191,14,109
77,30,168,26.18,10.2,-1.2,3000,10.15,10.85,3000,260,6000,5.9,6.1,6000,-0.2,6.05,25.75,490,77,390
122,54,283,26.35,7.7,-0.55,9000,7.85,8.15,3000,265,3000,8.25,8.5,3000,-0.05,8.6,26.23,290,68,172
545,153,835,27.44,5.95,-0.5,6000,5.85,5.95,3000,270,3000,11,11.4,3000,0.2,11.7,26.96,118,-,194
174,18,257,26.93,4.15,-0.6,3000,4.2,4.3,3000,275,3000,14.4,14.8,3000,0.5,15.15,27.47,15,-4,47
376,50,412,27.58,3.05,-0.4,6000,3.05,3.1,3000,280,3000,17.85,19.7,12000,0.1,19.1,-,-,-,26
75,24,90,28.1,2.2,-0.3,6000,2.15,2.25,3000,285,3000,22.2,22.75,3000,5.45,23.25,29.44,15,1,12
213,51,211,28.48,1.55,-0.35,15000,1.55,1.65,12000,290,3000,26.05,27.9,3000,2.95,26.9,26.25,1,-,12
57,-,62,28.62,1.05,-0.45,9000,1.1,1.25,6000,295,6000,30.45,33.05,12000,-,-,-,-,-,-
431,99,307,30.93,0.95,-0.15,36000,0.85,0.95,6000,300,6000,35.3,37.45,6000,-,33.5,-,-,-,16
81,46,77,32.62,0.55,-0.15,3000,0.5,0.55,6000,310,12000,43.85,47.45,27000,-,-,-,-,-,-
