CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,450,472.75,497.7,900,2000,2025,0.35,2,450,-1.9,1.1,34.06,8,8,8
-,-,-,-,-,-,450,377.3,409.2,450,2100,225,1.15,9.1,225,-,-,-,-,-,-
-,-,-,-,-,-,450,280.1,299.15,675,2200,225,4.45,6.95,225,-3.05,5.55,28.23,29,22,39
-,-,-,-,-,-,450,233.75,257.6,675,2250,225,9.5,10.55,225,-3.3,10.5,28.54,64,26,62
1,-,-,-,300,-,450,190.95,210.65,675,2300,225,16.55,17.4,225,-5.15,17.3,28.28,36,-,81
1,-,-,-,165.5,-,450,152.3,170.95,675,2350,225,24.95,27.25,225,-31.4,26,27.48,17,17,17
-,-,-,-,-,-,450,114.2,134.7,675,2400,225,39.2,41.2,225,-4.65,42.35,28.36,64,18,83
9,8,29,27.37,104.15,-5.8,225,96.4,105.85,225,2450,225,51.45,59.85,225,-6.7,59.6,27.77,57,8,43
94,15,211,24.94,71,-10.7,225,71.3,73.35,225,2500,675,76.1,84.25,225,-6.75,84,28.06,93,23,132
25,4,60,26.84,55.4,-9.15,225,51.5,55.45,450,2550,675,104.55,125.15,450,-,112,-,-,-,4
249,7,242,25.78,36.1,-9.8,225,36.05,37.95,225,2600,900,141.15,148.2,225,-6.45,149.4,29.69,31,-9,95
67,20,55,27.11,27.05,-7.55,225,24.65,28.2,225,2650,675,175.5,197.2,450,-,-,-,-,-,-
153,11,103,26.4,16.6,-8.15,225,16.95,22.1,225,2700,675,220.1,239.35,1575,-,237.9,-,-,-,13
54,-21,26,27.02,11.4,-13.2,225,11.05,22.75,225,2750,675,260.85,284.65,1575,-,-,-,-,-,-
89,-7,70,27.3,7.4,-4.6,225,7.25,9.75,225,2800,900,303.1,330.55,450,-,-,-,-,-,-
-,-,-,-,-,-,225,1.4,11.2,225,2850,900,351.45,381,450,-,-,-,-,-,-
39,8,28,27.86,3,-4,225,2.85,3,225,2900,450,398.1,428.85,450,-,-,-,-,-,-
12,-1,7,31.58,2.35,-1,450,1.1,1.65,225,3000,450,497.25,522.15,450,-,-,-,-,-,-
