CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,6000,125.35,131.8,2400,600,15600,0.3,0.4,3600,-0.25,0.35,31.42,17,-,45
2,-,-,-,119.9,-,6000,105.7,112.05,2400,620,9600,0.35,0.55,235200,-4.9,0.55,28.83,28,25,25
-,-,-,-,-,-,6000,95.8,102.25,2400,630,1200,0.45,0.9,1200,-,-,-,-,-,-
-,-,-,-,-,-,2400,85.6,92.45,2400,640,2400,0.65,0.85,2400,-0.3,0.7,25.14,15,6,13
4,3,5,-,72.6,5.6,1200,78.05,79.45,1200,650,3600,0.7,0.9,1200,-1.1,0.9,23.83,206,56,58
-,-,-,-,-,-,4800,66.8,74.15,2400,660,38400,1.05,1.3,1200,-1.2,1.25,22.85,76,24,39
25,-,-,-,53,-,1200,57.55,62.25,1200,670,1200,1.65,1.85,1200,-1.85,1.8,22.05,144,6,85
4,2,3,-,44.2,-0.8,1200,49.65,51.15,1200,680,3600,2.65,2.75,1200,-2.45,2.8,21.79,281,-12,159
4,4,6,11.44,42.4,-3.9,1200,41.95,42.7,1200,690,2400,4,4.15,1200,-3.5,4.15,21.39,229,20,172
43,11,56,13.64,34,8.8,1200,34.1,34.85,1200,700,2400,6.05,6.2,2400,-5.1,6.15,21.21,485,-9,377
24,9,76,15.76,27.25,7,1200,27,27.7,1200,710,1200,8.85,9.1,1200,-6.6,8.9,21.14,199,74,106
158,-10,949,16.6,21.1,5.35,1200,21.1,21.45,1200,720,1200,12.5,12.9,1200,-7.8,12.9,21.64,411,50,147
225,62,1354,17.27,16,4.3,1200,16.05,16.25,1200,730,2400,17.25,17.75,1200,-10.2,17.4,21.68,225,14,111
217,71,675,17.49,11.6,3.15,1200,11.6,11.95,1200,740,1200,22.9,23.45,1200,-10.85,22.7,21.68,19,1,52
320,54,562,17.91,8.35,2.25,1200,8.3,8.65,1200,750,1200,29.4,30.05,1200,-11.65,29.35,22.34,11,1,70
196,59,560,18.46,6,1.65,2400,5.85,6.05,1200,760,1200,36.05,38.75,2400,-6.6,47.75,36.92,1,1,1
234,77,521,18.52,4,1,3600,4,4.2,1200,770,2400,43.1,47.8,2400,-,-,-,-,-,-
435,198,574,19.14,2.85,0.65,3600,2.75,2.9,2400,780,1200,53.25,55.55,1200,21.65,57.3,31.08,1,-,1
96,12,73,19.67,2,0.25,2400,1.9,2.05,3600,790,4800,59.3,65.6,2400,-,-,-,-,-,-
432,162,459,20.52,1.5,0.1,2400,1.45,1.55,19200,800,4800,68.45,75.05,2400,2.85,83.75,46.89,1,1,1
-,-,-,-,-,-,12000,0.65,1.4,3600,810,2400,78.05,84.8,4800,-,-,-,-,-,-
179,138,160,21.54,0.75,-0.05,4800,0.55,0.7,4800,820,2400,87.7,94.6,12000,-,-,-,-,-,-
-,-,-,-,-,-,4800,0.25,0.8,2400,840,2400,107.55,114.4,12000,-,-,-,-,-,-
-,-,-,-,-,-,4800,0.1,0.8,3600,860,2400,127.1,134.35,12000,-,-,-,-,-,-
