CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,100,3958.7,4479.35,100,10600,400,4.65,5,50,3.65,4.65,47.9,51,36,37
-,-,-,-,-,-,100,3771.55,4267.35,50,10800,150,2,20,250,-,-,-,-,-,-
1,-,-,-,3790,-,100,3584.35,4050.8,100,11000,500,3.5,8.9,300,0.4,6,44.62,15,12,13
-,-,-,-,-,-,100,3490.75,3956.5,100,11100,200,2,20,250,-,-,-,-,-,-
-,-,-,-,-,-,100,3397.1,3841.55,50,11200,150,3.25,-,-,-,-,-,-,-,-
-,-,-,-,-,-,100,3303.5,3734.05,50,11300,200,3.55,-,-,-,-,-,-,-,-
-,-,-,-,-,-,100,3209.95,3916.75,100,11400,50,4.25,5.8,200,-4.8,5.75,39.72,15,1,62
-,-,-,-,-,-,100,3116.35,3816.05,100,11500,150,4.25,9,300,-,-,-,-,-,-
-,-,-,-,-,-,100,3022.75,3713.05,100,11600,1900,1.85,12,50,-,-,-,-,-,-
-,-,-,-,-,-,100,2929.2,3615.3,50,11700,1900,2.25,-,-,-,-,-,-,-,-
-,-,-,-,-,-,100,2830.3,3515.25,100,11800,1900,2.25,20.7,250,-,-,-,-,-,-
-,-,-,-,-,-,100,2871.45,3032.1,100,11900,1900,2.35,19.95,50,-,-,-,-,-,-
46,-,-,-,2795,-,50,2797.65,2899.2,200,12000,600,7.3,9.7,1950,-4.45,9.15,35.18,971,74,1046
-,-,-,-,-,-,100,2679.5,2834.8,50,12100,50,2.5,21.8,50,-,-,-,-,-,-
