CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1050,195.55,208.7,2100,960,1050,0.3,4.25,525,-,-,-,-,-,-
-,-,-,-,-,-,1050,156.95,168.3,1050,1000,525,1.5,2.5,525,-0.55,2.4,31.63,48,22,52
-,-,-,-,-,-,1050,118.6,131.4,1050,1040,525,3.95,4.3,525,-4.6,4.1,28.28,101,56,58
-,-,-,-,-,-,1050,98.15,111.35,1575,1060,525,2.05,6.75,525,-11.95,6,27.45,2,2,2
-,-,-,-,-,-,1050,83.85,93.3,1575,1080,525,8.7,9.15,525,-1,8.95,26.96,318,136,205
1,1,1,33.12,79.9,-103.9,525,68.55,77.25,1575,1100,525,12.8,13.4,525,-1.35,13,26.48,240,52,182
-,-,-,-,-,-,1050,54.05,63.95,1575,1120,525,17.35,19.2,525,-0.75,18.55,26.15,63,16,91
34,19,40,27.2,47.45,-7.4,525,46.9,48.25,525,1140,525,24.05,26.8,525,-0.8,25.95,26.02,69,12,53
220,125,441,26.54,36.1,-7.35,1050,36.2,37.45,525,1160,525,31.3,35.5,525,-0.1,34.9,25.75,376,159,341
192,51,206,26.28,27,-5.9,525,27,27.95,525,1180,1050,43.25,46.4,525,1.3,46.65,26.24,62,11,53
771,143,1195,26.59,20.3,-5.5,525,20.2,20.45,1050,1200,525,57.15,59.25,525,1.1,59,25.93,107,-5,422
237,16,224,26.34,14.4,-5.55,525,14.05,14.5,1050,1220,525,71.15,73.3,525,2.65,73.15,25.81,9,-,52
524,9,356,26.31,10.1,-3.7,525,9.9,10.35,1050,1240,525,86.85,88.95,525,7.55,88.2,25.19,10,-1,208
330,118,402,26.53,7.1,-2.85,525,6.85,7.15,525,1260,525,101.3,110.05,525,-,101.75,-,-,-,74
287,-6,346,26.71,4.9,-2.4,1050,4.85,5.05,525,1280,1050,118.6,128.2,1050,-,54,-,-,-,3
1167,376,1189,27.32,3.55,-2.3,1050,3.55,3.75,1050,1300,1050,135.5,142.55,525,6,142,26.93,26,1,530
58,18,97,27.97,2.6,-1.5,525,2.45,2.8,525,1320,1050,153.5,165.95,2100,-,150,-,-,-,1
-,-,-,-,-,-,5250,1.5,3.5,525,1340,1050,172.45,185.95,2100,-,-,-,-,-,-
239,14,51,30.9,1.9,-1.1,525,1.65,2.05,1050,1360,1050,192.9,204.25,2100,-,-,-,-,-,-
-,-,-,-,-,-,5250,0.8,4.55,525,1380,1050,212.3,225.65,2100,-,-,-,-,-,-
81,32,72,31.7,1,-0.85,525,1,1.3,1050,1400,1050,231.85,244.4,2100,-,-,-,-,-,-
-,-,-,-,-,-,8400,0.15,3.95,21000,1440,1050,271.7,284.85,2100,-,-,-,-,-,-
-,-,-,-,-,-,525,0.25,2.95,21000,1480,1050,311.45,323.3,2100,-,-,-,-,-,-
